Gene	Effect	case	total	rank
CHEK2	C.Splice	1	7	1
CHEK2	A.Missense	2	7	1
CHEK2	E.Frameshift	4	7	1
PTEN	D.Stop	2	4	2
PTEN	A.Missense	1	4	2
PTEN	E.Frameshift	1	4	2
BLM	D.Stop	1	3	3
BLM	E.Frameshift	2	3	3
ATM	E.Frameshift	1	1	4
CBL	C.Splice	1	1	5
PIK3R3	E.Frameshift	1	1	6
PALB2	E.Frameshift	1	1	7
BARD1	E.Frameshift	1	1	8
BRCA2	C.Splice	1	1	9
FANCA	B.Inframe	1	1	10
FANCC	C.Splice	1	1	11
FANCD2	C.Splice	1	1	12
FANCL	D.Stop	1	1	13
MRE11	D.Stop	1	1	14
MUTYH	D.Stop	1	1	15
HLA-A	D.Stop	1	1	16
IRF1	E.Frameshift	1	1	17
NOTCH4	D.Stop	1	1	18
NSD1	D.Stop	1	1	19
RNF43	D.Stop	1	1	20
