LINE1	L1_age
L1HS	1
L1PA2	2
L1PA3	3
L1PA4	4
L1PA5	5
L1PA6	6
L1PA7	7
L1PA8	8
L1PA8A	9
L1PA10	10
L1PA11	11
L1PA12	12
L1PA13	13
L1PA14	14
L1PA15	15
L1PA15-16	16
L1PA16	17
L1PA17	18
L1P1	19
L1P2	20
L1P3	21
L1P3b	22
L1P4a	23
L1P4b	24
L1P4c	25
L1P4d	26
L1P4e	27
L1PB	28
L1PB1	29
L1PB2	30
L1PB3	31
L1PB4	32
L1PBa	33
L1PBa1	34
L1PBb	35
L1MA1	36
L1MA2	37
L1MA3	38
L1MA4	39
L1MA4A	40
L1MA5	41
L1MA5A	42
L1MA6	43
L1MA7	44
L1MA8	45
L1MA9	46
L1MA10	47
L1MB1	48
L1MB2	49
L1MB3	50
L1MB4	51
L1MB5	52
L1MB7	53
L1MB8	54
L1MC1	55
L1MC2	56
L1MC3	57
L1MC4	58
L1MC4a	59
L1MC5	60
L1MC5a	61
L1MCa	62
L1MCb	63
L1MCc	64
L1MD1	65
L1MD2	66
L1MD3	67
L1MDa	68
L1MDb	69
L1ME1	70
L1ME2	71
L1ME2z	72
L1ME3	73
L1ME3A	74
L1ME3B	75
L1ME3C	76
L1ME3Cz	77
L1ME3D	78
L1ME3E	79
L1ME3F	80
L1ME3G	81
L1ME4a	82
L1ME4b	83
L1ME4c	84
L1MEa	85
L1MEb	86
L1MEc	87
L1MEd	88
L1MEf	89
L1MEg	90
L1MEg1	91
L1MEg2	92
L1MEh	93
L1MEi	94
L1MEj	95
L1M1	96
L1M2	97
L1M2a	98
L1M2a1	99
L1M2b	100
L1M2c	101
L1M3a	102
L1M3b	103
L1M3c	104
L1M3d	105
L1M3de	106
L1M3e	107
L1M3f	108
L1M4	109
L1M4a1	110
L1M4a2	111
L1M4b	112
L1M4c	113
L1M6	114
L1M6B	115
L1M7	116
L1M8	117
L1PREC2	118
HAL1	119
HAL1b	120
HAL1M8	121
HAL1ME	122
