LINE1	L1_age
L1HS	1
L1PA2	2
L1PA3	3
L1PA4	4
L1PA5	5
L1PA6	6
L1PA7	7
L1PA8	8
L1PA8A	9
L1PA10	10
L1PA11	11
L1PA14	12
L1PA15	13
L1PA15-16	14
L1PA16	15
L1PB3	16
L1PB4	17
L1PBa	18
L1PBb	19
L1MA1	20
L1MA2	21
L1MA3	22
L1MA4	23
L1MA4A	24
L1MA5	25
L1MA7	26
L1MA9	27
L1MB4	28
L1MB5	29
L1MB7	30
L1MB8	31
L1MC1	32
L1MC2	33
L1MC3	34
L1MCa	35
L1MCb	36
L1MCc	37
L1MD1	38
L1MD2	39
L1MDa	40
L1MDb	41
L1ME1	42
L1ME2	43
L1ME2z	44
L1ME3A	45
L1ME3Cz	46
L1ME3D	47
L1MEc	48
L1MEd	49
L1MEf	50
L1MEg	51
L1MEg2	52
L1MEi	53
L1M1	54
L1M2	55
L1M2a 	56
L1M4	57
L1M4a1	58
L1M4a2	59
L1M4b	60
L1M4c	61
L1M6	62
L1M7	63
L1M8	64
HAL1M8	65
HAL1	66
L1P1	67
L1P2	68
L1P3	69
L1P4a	70
L1P4d	71
L1PREC2	72
