case	exp_HAL1
TCGA_YU_A90Y	13.0161561039452
TCGA_VF_A8A8	12.9904817255429
TCGA_2G_AAFI	12.9610768726544
TCGA_2G_AAG0	13.2091317063391
TCGA_2G_AAGJ	12.6423397046514
TCGA_2G_AAGZ	12.5776286137959
TCGA_2G_AAKD	13.1571932275112
TCGA_2G_AAKM	12.8758826940564
TCGA_2G_AAGW	12.781306966493
TCGA_2G_AAFV	13.3153944350575
TCGA_YU_A94I	13.426379541049
TCGA_2G_AAGT	12.7493074680968
TCGA_YU_AA4L	13.100202315359
TCGA_2G_AAL7	12.8032889940063
TCGA_SN_A84Y	12.5796372174714
TCGA_VF_A8AD	13.0256639147827
TCGA_XY_A8S3	12.4847598502649
TCGA_W4_A7U4	13.0702832079072
TCGA_XE_A8H1	12.9769754517681
TCGA_2G_AAGE	13.1004248112758
TCGA_2G_AAKL	12.9170768528264
TCGA_YU_A90P	13.4385792411639
TCGA_2G_AAFL	12.4748544899958
TCGA_2G_AAFM	12.9883263249438
TCGA_2G_AAFN	12.6558468312152
TCGA_2G_AAFO	12.5394480207812
TCGA_2G_AAFY	13.4385933257279
TCGA_2G_AAG8	12.565181430469
TCGA_2G_AAGA	12.9407582566971
TCGA_2G_AAGN	12.711418061109
TCGA_2G_AAGO	12.8635278652862
TCGA_XY_A8S2	12.9845048529763
TCGA_XE_AAOC	13.3659625113367
TCGA_XE_AANI	12.9842914551671
TCGA_2G_AAGM	12.9380171441466
TCGA_XE_AAOJ	13.262658989191
TCGA_2G_AAL5	12.953386595275
TCGA_2G_AAH4	12.7358504535899
TCGA_2G_AALP	12.6475065800436
TCGA_X3_A8G4	12.4939169770153
TCGA_2G_AAGK	12.6736097795633
TCGA_YU_AA61	12.9332650980738
TCGA_2G_AAFJ	13.3336051474699
TCGA_2G_AAG6	13.2250961955861
TCGA_2G_AAGG	13.3250281729148
TCGA_SN_A84W	13.2810788277074
TCGA_2G_AAFZ	13.0914616987337
TCGA_W4_A7U3	12.9032975546406
TCGA_2G_AAGC	12.9935864180339
TCGA_2G_AAGP	13.1671878872698
TCGA_2G_AAKH	13.015885554767
TCGA_SN_A84X	12.564282845509
TCGA_2G_AAH2	12.9185152258582
TCGA_2G_AAFG.2	13.1981831247478
TCGA_2G_AAG3	13.583570559614
TCGA_2G_AAGI.2	13.3636544363454
TCGA_2G_AAGY.2	13.5293390661463
TCGA_2G_AAHP.2	13.4869542941182
TCGA_2G_AAFE	13.3338897418711
TCGA_2G_AAH0	13.3956241915176
TCGA_W4_A7U2	13.7309764002376
TCGA_2G_AAH3	13.9382006670351
TCGA_SN_A6IS	13.5466076944435
TCGA_XE_AAOD	13.0852492753717
TCGA_2G_AAG7	13.0275975690615
TCGA_2G_AAHP	13.1286578829182
