case	exp_L1PA2
TCGA_YU_A90Y	14.7729078959183
TCGA_VF_A8A8	15.3291335273221
TCGA_2G_AAFI	15.0515204311634
TCGA_2G_AAG0	15.1316001166229
TCGA_2G_AAGJ	15.3174172495858
TCGA_2G_AAGZ	14.5794082520328
TCGA_2G_AAKD	15.9592687470334
TCGA_2G_AAKM	15.0009313704858
TCGA_2G_AAGW	15.7098791557302
TCGA_2G_AAFV	15.7975767133193
TCGA_YU_A94I	16.028221083578
TCGA_2G_AAGT	14.9141742387847
TCGA_YU_AA4L	16.0681877317438
TCGA_2G_AAL7	14.779891319185
TCGA_SN_A84Y	15.7857310481178
TCGA_VF_A8AD	15.5307718198409
TCGA_XY_A8S3	14.3671710470417
TCGA_W4_A7U4	15.4417571047561
TCGA_XE_A8H1	16.0972634781564
TCGA_2G_AAGE	15.3720466940026
TCGA_2G_AAKL	15.514155163256
TCGA_YU_A90P	16.0011263581555
TCGA_2G_AAFL	13.6799879584181
TCGA_2G_AAFM	15.012774167419
TCGA_2G_AAFN	14.9515579531824
TCGA_2G_AAFO	14.042773863434
TCGA_2G_AAFY	15.8197199680862
TCGA_2G_AAG8	14.7804755610225
TCGA_2G_AAGA	15.411555753134
TCGA_2G_AAGN	15.063016378713
TCGA_2G_AAGO	15.7174522209016
TCGA_XY_A8S2	16.1261146694924
TCGA_XE_AAOC	13.6534653598402
TCGA_XE_AANI	13.5691314981712
TCGA_2G_AAGM	14.1655806718104
TCGA_XE_AAOJ	14.0849231142636
TCGA_2G_AAL5	13.6948022046589
TCGA_2G_AAH4	13.4545876574827
TCGA_2G_AALP	14.1895787810229
TCGA_X3_A8G4	15.0041086496548
TCGA_2G_AAGK	15.0077224244209
TCGA_YU_AA61	15.681227588159
TCGA_2G_AAFJ	14.2943916382404
TCGA_2G_AAG6	14.3335873459802
TCGA_2G_AAGG	14.4506496736227
TCGA_SN_A84W	13.8180249079911
TCGA_2G_AAFZ	15.0479112101666
TCGA_W4_A7U3	15.1216056020037
TCGA_2G_AAGC	15.8281412049412
TCGA_2G_AAGP	14.8880541520025
TCGA_2G_AAKH	15.2540269304213
TCGA_SN_A84X	14.3470152554133
TCGA_2G_AAH2	15.0849250718783
TCGA_2G_AAFG.2	13.6778621449789
TCGA_2G_AAG3	14.5670091720023
TCGA_2G_AAGI.2	14.5233021965728
TCGA_2G_AAGY.2	14.2695444912908
TCGA_2G_AAHP.2	14.535684462116
TCGA_2G_AAFE	13.7959553489252
TCGA_2G_AAH0	14.4345455038525
TCGA_W4_A7U2	14.4895379771932
TCGA_2G_AAH3	14.9128760929196
TCGA_SN_A6IS	14.8180954048834
TCGA_XE_AAOD	14.866599415054
TCGA_2G_AAG7	16.5051049179378
TCGA_2G_AAHP	14.8769506056083
TCGA_2X_A9D5	14.3699580139562
TCGA_2X_A9D6	14.5387625587429
TCGA_SO_A8JP	14.5223263067911
TCGA_VF_A8AB	14.065521262808
TCGA_WZ_A7V5	14.0721790022261
TCGA_XE_AANJ	14.5892829300884
TCGA_XE_AAO3	16.4279222405552
TCGA_XE_AAO4	14.3835762368335
TCGA_YU_A90Q	14.8129040585967
TCGA_YU_A90W	15.4970874594392
TCGA_ZM_AA0H	14.1671680551808
TCGA_2G_AAF6	13.5755629293506
TCGA_4K_AA1G	13.9895099884725
TCGA_SB_A76C	14.8384394282014
TCGA_XE_AANR	13.5991975105049
TCGA_2G_AAEW	14.5490989632394
TCGA_2G_AAEX	15.0251737030063
TCGA_2G_AAF1	14.3276526933095
TCGA_2G_AAF4	15.3115690660519
TCGA_2G_AAF8	16.170683187515
TCGA_2G_AAFG	14.1553001029704
TCGA_2G_AAFH	15.220816026996
TCGA_2G_AAG9	14.0668338343979
TCGA_2G_AAH8	14.1312599897665
TCGA_2G_AAHA	14.9234188099228
TCGA_2G_AAHC	13.8277367081351
TCGA_2G_AAHG	15.287073177124
TCGA_2G_AAHL	13.3532294199838
TCGA_2G_AAHN	13.2178437450488
TCGA_2G_AAHT	14.133614162754
TCGA_4K_AA1H	13.0924364062569
TCGA_4K_AA1I	14.4393555633018
TCGA_4K_AAAL	13.3138456079875
TCGA_S6_A8JW	14.6975290259697
TCGA_S6_A8JX	15.469021185888
TCGA_S6_A8JY	14.4870514907316
TCGA_SB_A6J6	15.1092388919208
TCGA_VF_A8A9	14.5427892690908
TCGA_VF_A8AA	14.3017326241747
TCGA_VF_A8AC	14.3045792577071
TCGA_VF_A8AE	14.2484006054828
TCGA_WZ_A7V3	14.0680002840466
TCGA_WZ_A7V4	14.3284903569505
TCGA_WZ_A8D5	14.2919649904512
TCGA_XE_A8H4	14.9633144342403
TCGA_XE_A8H5	15.4673746874407
TCGA_XE_A9SE	15.6057670308526
TCGA_XE_AANV	13.4026108871467
TCGA_XE_AAO6	15.0021553329921
TCGA_XE_AAOF	14.7062079111678
TCGA_XE_AAOL	15.3180225508654
TCGA_XY_A89B	14.0603802567645
TCGA_XY_A9T9	14.9007826968676
TCGA_YU_A90S	13.148288855662
TCGA_YU_A912	14.6354248118255
TCGA_ZM_AA05	14.2884947213649
TCGA_ZM_AA06	15.1016376121802
TCGA_ZM_AA0B	14.6478051101879
TCGA_ZM_AA0D	13.7488798019769
TCGA_ZM_AA0E	13.727654123551
TCGA_ZM_AA0F	13.9318433199717
TCGA_ZM_AA0N	16.5591519924544
TCGA_2G_AAKG.2	14.6233566995962
TCGA_2G_AAGF	14.9824679694614
TCGA_2G_AAGI	15.4660706590844
TCGA_2G_AAGS	15.0299072164362
TCGA_2G_AAGX	14.4607047764467
TCGA_2G_AAGY	14.206626863903
TCGA_XE_AAOB	14.2300330526932
TCGA_YU_A94D	14.5336124900698
TCGA_2G_AAKG	14.7328288345372
TCGA_2G_AAKO.2	13.6420907376748
TCGA_2G_AAKO	14.1379346339693
TCGA_2G_AALR	13.7677831927739
TCGA_2G_AALF	14.4678491253661
TCGA_2G_AALQ	13.5454153312664
TCGA_2G_AALY	14.7362450840296
TCGA_2G_AAM2	15.0526596764778
TCGA_2G_AAM4	16.0145055466232
TCGA_2G_AAM3	14.1341352743022
TCGA_2G_AALG	13.3733922294041
TCGA_2G_AALO	14.3971126435672
TCGA_2G_AALN	14.1510028872904
TCGA_2G_AALS	14.6573746244967
TCGA_2G_AALW	15.165496821951
TCGA_2G_AALX	15.0511459646879
TCGA_2G_AALZ	12.5461885587602
TCGA_2G_AALT	12.9501658981052
TCGA_2G_AAG5	13.6898410027955
TCGA_2G_AAGV	14.2167444386944
