AID	purity	ploidy	msn
C001	0.688140886	2.995702929	0.840168751
C002	0.642124182	3.090025873	0.930469353
C003	0.824544154	3.441348735	0.915994659
C004	0.1	2	0
C005	0.572955128	3.132864489	0.902157017
C006	0.343347968	1.601174726	0.035404822
C007	0.663695172	2.111709671	0.095541146
C008	0.1	2	0
C009	0.767500707	3.216243827	0.770216387
C010	0.1	2	0
C010r	0.1	2	0
C011	0.1	2	0
C013	0.1	2	0
C014	0.608466999	2.074759505	0.085696524
F001	0.1	2	0
F002	0.1	2	0
F002r	0.606238138	2.724316813	0.710661537
F004	0.1	2	0
F005	0.1	2	0
F006	0.1	2	0
F007	0.566791064	4.715064941	0.974254037
F008	0.454786239	1.898380138	0.178167627
F010	0.812548977	2.05363406	0.084342187
F011	0.1	2	0
F012	0.1	2	0
F013	0.1	2	0
F014	0.875282999	1.944640749	0.012002783
F015	0.697527657	3.66670278	0.999996305
F016	0.864061758	2.140855726	0.280761597
F017	0.768472829	1.77775504	0.068907322
F018	0.1	2	0
F019	0.1	2	0
F020	0.609882842	3.0910656	0.915989857
F021	0.3	1.91	0.02
F022	0.514530038	3.417043249	0.914348341
F023	0.1	2	0
F024	0.1	2	0
F026	0.559413497	2.964188197	0.902149143
F027	0.245797369	1.878479981	0
F028	0.828013539	1.810177896	0.070888589
F029	0.498804553	2.196284626	0.225063863
F030	0.500362464	2.920056269	0.674996528
F031	0.680519115	3.759298924	0.986975007
F032	0.30589375	2.744376309	0.922394137
F033	0.432217875	1.758140976	0.176907835
F034	0.919998428	2.048263057	0.062222195
F035	0.946208063	1.975484395	0.000224071
F036	0.332836982	1.829288268	0.283713779
F037	0.1	2	0
F038	0.648848214	1.890144494	0.271362936
F039	0.866251752	2.030856973	0.158426878
F041	0.694927557	3.486361908	0.946080709
F042	0.46396409	1.914741117	0.173486546
F043	0.533737123	2.225195371	0.471064842
F044	0.179378971	1.950694302	0.240073813
F045	0.630679742	2.10696713	0.174539084
F046	0.204925798	1.69538682	0.139729579
F048	0.132826769	2.076940136	0.266681244
F049	0.245135325	2.195842393	0.299318108
F050	0.1	2	0
F052	0.164177274	1.744559384	0.071346442
F053	0.395168332	1.84564303	0.119424439
F054	0.32565602	1.933512746	0.076815076
F055	0.778618033	1.796633194	0.125894759
F056	0.19437	3.25707376847687	0.84259234038329
F057	0.815784905	2.974817356	0.896183532
F058	0.800400523	3.133575024	0.915913331
F059	0.1	2	0
F059r	0.655712997	1.971261192	0.026638525
G1	0.162841898	2.620697643	0.428939116
G10	0.650974244	2.079319323	0.312013589
G11	0.331410388	3.48283812	0.9149017
G12	0.1	2	0
G2	0.800226238	3.576697638	0.950274554
G4	0.717744802	3.236404802	0.994081379
G5	0.272480774	2.139488342	0.152644515
G7	0.389798952	2.723824612	0.597311884
G8	0.566197762	3.676082107	0.923580081
G9	0.422143597	3.733884261	0.924876418
M1	0.318981744	3.224444443	0.860880375
M2	0.447845878	2.20204284	0.37057999
M3	0.488018308	2.07994386	0.011738275
M4	0.714215056	3.883277884	1
NG10	0.710652577	2.385378244	1
NG11	0.1	2	0
NG12	0.619408797	1.887970222	0.259136124
NG2	0.1	2	0
NG3	0.1	2	0
NG5	0.46623576	3.417996614	0.965823175
NG6	0.1	2	0
NG7	0.874742816	2.078699377	0.261795469
NG8	0.920502488	2.137502828	0.113208005
NG9	0.882954888	3.011024182	0.999979747
SJ01	0.848489503	1.98187272	0.085387507
SJ02	0.300304577	3.618406689	0.972956761
SJ03	0.777541994	3.557171056	0.967736172
SJ04	0.567136605	2.002255348	0.00064127
SJ05	0.238820894	2.426891176	0.233110974
SJ06	0.322113016	4.294307226	0.987915366
SJ07	0.194249035	2.442930196	0.100095432
SJ08	0.274744936	3.11025668	0.809849955
SJ09	0.435852408	1.763115332	0.086012998
SJ10	0.222568087	1.889418589	0.297879052
SJ12	0.60542313	2.734877041	0.69502461
SJ13	0.206041786	2.608526083	0.64058397
SJ14	0.3	2.067467152	0.099847943
SJ15	0.729641251	3.69825513	0.99937036
SJ16	0.640734871	2.643295866	0.69610727
SJ17	0.52602579	2.607253361	0.758406078
SJ18	0.592602661	3.191640301	0.960712093
SJ19	0.699507617	2.650593481	0.999977389
SJ20	0.527869487	2.372843656	0.596705393
SJ22	0.370320333	4.825693863	0.939394358
SJ23	0.385058791	3.049734313	0.637625082
SJ24	0.278433868	2.278451197	0.089390044
SJ25	0.16385447	2.916559944	0.911539703
SJ26	0.155981052	2.138469427	0.247847243
SJ27	0.370727853	3.140560737	0.9878987
SJ28	0.78227678	2.984989934	0.772747848
SJ29	0.2	2	0
SJ31	0.855794928	1	0.999938696
SJ32	0.433522469	3.61497185	0.929731806
SJ33	0.3	2.141986704	0.12412991
SJ35	0.1	2	0
SJ36	0.1	2	0
SJ37	0.327339888	4.087036249	0.732094804
SJ38	0.691109102	2.2	0.177798557
SJ39	0.769538964	3.705315429	0.824679127
SJ40	0.209870606	2	0
