CaseID	SBS1	SBS5	SBS17a	SBS17b	SBS18	SBS31	SBS39	SBSyst
C001	0	1	0	0	0	0	0	0
C002	0	0.568561524667066	0	0	0	0	0.431438475332934	0
C003	0	1	0	0	0	0	0	0
C005	0.0793574211369069	0.465150875500227	0	0	0.248736463454462	0	0	0.206755239908404
C006	0.094749808022632	0.905250191977368	0	0	0	0	0	0
C007	0.109540398771439	0.890459601228561	0	0	0	0	0	0
C009	0	1	0	0	0	0	0	0
C014	0	1	0	0	0	0	0	0
F001	0	1	0	0	0	0	0	0
F002r	0	1	0	0	0	0	0	0
F005	0.153814823827379	0.846185176172621	0	0	0	0	0	0
F007	0	0.593809127685514	0.0689846089373119	0.106036330865093	0	0	0	0.231169932512081
F008	0	0.69807083002908	0	0	0.30192916997092	0	0	0
F010	0	1	0	0	0	0	0	0
F012	0	1	0	0	0	0	0	0
F014	0.116118996577132	0.883881003422868	0	0	0	0	0	0
F015	0	1	0	0	0	0	0	0
F016	0	1	0	0	0	0	0	0
F017	0.0758974837125795	0.28875819706438	0	0	0.216199040477805	0	0	0.419145278745236
F020	0	1	0	0	0	0	0	0
F022	0	1	0	0	0	0	0	0
F026	0	0.312374069619768	0	0.0852357967675858	0	0	0	0.602390133612646
F029	0	0.769276285895622	0	0	0.230723714104378	0	0	0
F031	0	1	0	0	0	0	0	0
F034	0	1	0	0	0	0	0	0
F036	0.0687514452436298	0.308872257089906	0	0	0.192120706636939	0	0	0.430255591029525
F038	0	1	0	0	0	0	0	0
F039	0	1	0	0	0	0	0	0
F041	0	1	0	0	0	0	0	0
F042	0	1	0	0	0	0	0	0
F043	0	0.916499603588903	0	0.0835003964110967	0	0	0	0
F045	0	1	0	0	0	0	0	0
F053	0	1	0	0	0	0	0	0
F055	0	0.275783864423231	0	0	0.724216135576769	0	0	0
F057	0	1	0	0	0	0	0	0
F058	0	1	0	0	0	0	0	0
F059	0.208562206834452	0.791437793165548	0	0	0	0	0	0
F059r	0.233132709862168	0.766867290137832	0	0	0	0	0	0
SJ02	0	1	0	0	0	0	0	0
SJ03	0.0942906375110524	0.905709362488948	0	0	0	0	0	0
SJ08	0.107829679738325	0.892170320261675	0	0	0	0	0	0
SJ09	0	1	0	0	0	0	0	0
SJ10	0	0.314730307739409	0	0	0.142449985086115	0	0	0.542819707174477
SJ12	0	1	0	0	0	0	0	0
SJ13	0	0.547697521969834	0	0	0	0	0.452302478030166	0
SJ14	0	1	0	0	0	0	0	0
SJ17	0	1	0	0	0	0	0	0
SJ18	0	1	0	0	0	0	0	0
SJ19	0	1	0	0	0	0	0	0
SJ20	0	0.691746099428591	0	0	0	0	0.308253900571409	0
SJ25	0	0.486082911612631	0	0.118241075698386	0	0	0	0.395676012688983
SJ28	0	1	0	0	0	0	0	0
SJ31	0	1	0	0	0	0	0	0
SJ32	0.0839575179761711	0.517478191943481	0	0	0.171107844602431	0	0	0.227456445477917
SJ33	0	1	0	0	0	0	0	0
C004	0.117813921014874	0.882186078985126	0	0	0	0	0	0
C008	0.45765420128195	0.54234579871805	0	0	0	0	0	0
C010	0.142089454704969	0.857910545295031	0	0	0	0	0	0
C010r	0	1	0	0	0	0	0	0
C011	0.245590137401134	0.754409862598866	0	0	0	0	0	0
C013	0.209108226116768	0.790891773883232	0	0	0	0	0	0
F002	0	1	0	0	0	0	0	0
F004	0.171490141421158	0.828509858578842	0	0	0	0	0	0
F006	0	1	0	0	0	0	0	0
F011	0.141513162948292	0.858486837051708	0	0	0	0	0	0
F013	0	1	0	0	0	0	0	0
F018	0.477797408666444	0.522202591333556	0	0	0	0	0	0
F019	0.0178910820224234	0.982108917977577	0	0	0	0	0	0
F021	0	1	0	0	0	0	0	0
F023	0.255880877227638	0.744119122772362	0	0	0	0	0	0
F024	0	1	0	0	0	0	0	0
F027	0.121327116570395	0.878672883429604	0	0	0	0	0	0
F037	0	1	0	0	0	0	0	0
F044	0.0746848154229842	0.925315184577016	0	0	0	0	0	0
F046	0.00966541629137795	0.990334583708622	0	0	0	0	0	0
F048	0	1	0	0	0	0	0	0
F050	0	1	0	0	0	0	0	0
F052	0	1	0	0	0	0	0	0
F054	0.0130147997800462	0.986985200219954	0	0	0	0	0	0
F056	0.0389686426889828	0.961031357311017	0	0	0	0	0	0
SJ04	0	1	0	0	0	0	0	0
SJ01	0	0	0	0	0.199888872879797	0.800111127120203	0	0
T135	0	0	0	0	0	0.676823578865442	0.323176421134558	0
