NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	8.064	176.805	2.686	95.089	3.098	0.208	80000.0
2	8.377	174.57	2.577	93.986	2.978	0.241	20000.0
3	8.264	176.85	2.8	94.759	3.101	0.217	40000.0
4	8.029	177.111	2.614	94.599	3.068	0.21	40000.0
5	8.581	176.269	2.635	94.62	3.047	0.226	40000.0
6	8.704	177.244	2.815	94.82	3.115	0.217	20000.0
7	8.596	177.489	2.878	95.364	3.106	0.203	40000.0
8	8.297	178.471	2.473	95.301	3.118	0.191	20000.0
9	8.195	177.552	2.727	95.21	3.148	0.2	20000.0
10	8.519	175.212	2.693	94.009	3.0	0.25	20000.0
11	8.845	178.038	2.701	95.055	3.151	0.208	20000.0
12	8.391	176.066	2.637	94.559	3.016	0.229	20000.0
13	8.295	177.445	2.614	94.411	3.012	0.222	20000.0
14	8.484	175.447	2.634	93.874	2.925	0.248	20000.0
15	8.173	175.23	2.601	93.486	2.903	0.265	40000.0
16	7.806	173.332	2.631	93.621	2.977	0.247	40000.0
17	8.355	177.019	2.7	95.146	3.12	0.201	20000.0
18	8.389	177.097	2.592	94.718	3.026	0.214	40000.0
19	8.199	176.083	2.657	94.315	2.951	0.235	20000.0
20	8.265	178.088	2.599	95.489	3.1	0.19	40000.0
21	8.36	178.016	2.73	94.976	3.072	0.202	20000.0
22	8.197	175.371	2.563	93.998	3.044	0.235	20000.0
23	8.235	177.94	2.655	94.469	3.162	0.213	20000.0
24	8.169	174.464	2.616	94.246	3.064	0.238	20000.0
25	8.338	178.337	2.718	95.341	3.098	0.198	20000.0
26	8.358	175.827	2.656	94.611	3.016	0.235	40000.0
27	8.591	176.654	2.872	94.851	3.112	0.22	20000.0
28	8.34	177.903	2.703	94.892	3.106	0.212	60000.0
29	7.8	174.972	2.502	94.07	3.033	0.227	40000.0
30	7.76	175.201	2.469	93.815	3.062	0.23	40000.0
31	8.117	177.719	2.604	95.394	3.104	0.195	20000.0
32	8.84	179.627	2.765	96.234	3.302	0.168	20000.0
33	7.916	175.047	2.427	94.153	2.985	0.229	40000.0
34	8.297	176.878	2.57	94.353	3.068	0.223	40000.0
35	8.424	176.994	2.841	95.067	3.173	0.21	20000.0
36	8.429	179.935	2.692	96.02	3.236	0.169	20000.0
37	8.136	176.544	2.608	94.3	3.002	0.231	40000.0
38	8.28	177.993	2.802	95.629	3.132	0.198	40000.0
39	8.276	178.393	2.57	95.267	3.185	0.193	40000.0
40	7.994	177.757	2.596	94.956	3.185	0.199	40000.0
41	8.566	175.187	2.787	94.384	3.012	0.237	40000.0
42	8.284	176.706	2.637	94.654	3.031	0.223	20000.0
43	8.395	178.189	2.635	94.943	3.09	0.208	20000.0
44	8.903	178.829	2.74	95.515	3.168	0.193	20000.0
45	8.087	175.436	2.677	94.22	3.051	0.228	60000.0
46	8.285	177.411	2.693	95.255	3.093	0.203	40000.0
47	8.271	176.818	2.688	95.109	3.109	0.211	20000.0
48	8.393	178.006	2.737	95.35	3.132	0.198	40000.0
49	8.615	177.672	2.787	94.748	3.12	0.216	20000.0
50	8.268	176.747	2.603	94.649	3.069	0.218	40000.0
51	8.852	178.597	2.852	95.682	3.097	0.196	40000.0
52	7.998	177.198	2.636	94.873	3.054	0.211	20000.0
53	8.364	178.594	2.805	95.416	3.215	0.196	40000.0
54	8.221	175.579	2.564	93.366	2.961	0.259	20000.0
55	7.922	174.87	2.567	94.096	2.983	0.238	40000.0
56	7.942	173.378	2.586	93.772	3.066	0.235	20000.0
57	7.99	174.844	2.727	93.546	2.904	0.258	20000.0
