Samples	DBS78A	DBS78B
C001	3.54E-02	3.54E-02
C002	6.58E-02	6.58E-02
C005	9.02E-02	9.02E-02
C006	3.54E-02	3.54E-02
C007	3.37E-02	3.37E-02
C009	1.51E-01	1.51E-01
C011	3.23E-02	3.23E-02
F002r	1.86E-01	1.86E-01
F007	2.01E-01	2.01E-01
F008	3.28E-02	3.28E-02
F012	6.63E-02	6.63E-02
F016	1.68E-02	1.68E-02
F017	5.93E-02	5.93E-02
F020	1.21E-02	1.21E-02
F022	4.91E-02	4.91E-02
F026	4.64E-01	4.64E-01
F031	2.89E-02	2.89E-02
F036	1.46E-01	1.46E-01
F038	2.30E-02	2.30E-02
F042	7.06E-02	7.06E-02
F043	4.38E-02	4.38E-02
F045	1.01E-01	1.01E-01
F046	3.26E-02	3.26E-02
F052	3.25E-02	3.25E-02
F054	3.23E-02	3.23E-02
F055	1.39E-01	1.39E-01
F057	3.26E-02	3.26E-02
F058	2.26E-01	2.26E-01
F059r	3.38E-02	3.38E-02
SJ01	1.61E+00	1.61E+00
SJ03	3.26E-02	3.26E-02
SJ10	1.25E-01	1.25E-01
SJ18	3.25E-02	3.25E-02
SJ20	8.14E-02	8.14E-02
SJ28	2.57E-02	2.57E-02
SJ31	3.38E-02	3.38E-02
SJ32	1.08E-01	1.08E-01
T135	1.97E+00	1.97E+00
