Samples	DBS78A	DBS78B	DBS78C
C001	3.40E-02	2.96E-02	3.49E-02
C002	4.01E-02	7.96E-02	8.53E-02
C005	6.23E-02	9.30E-02	8.99E-02
C006	3.50E-02	3.28E-02	3.15E-02
C007	1.72E-02	4.61E-02	4.84E-02
C009	1.16E-01	1.56E-01	1.71E-01
C011	2.69E-02	3.07E-02	3.50E-02
F002r	1.94E-01	1.49E-01	1.69E-01
F007	1.77E-01	2.09E-01	2.20E-01
F008	2.57E-02	3.40E-02	3.54E-02
F012	6.00E-02	6.17E-02	6.80E-02
F016	8.62E-03	2.30E-02	2.42E-02
F017	6.29E-02	4.51E-02	5.31E-02
F020	2.03E-02	2.03E-02	0.00E+00
F022	3.53E-02	5.57E-02	6.06E-02
F026	3.39E-01	4.51E-01	5.04E-01
F031	2.08E-02	3.39E-02	3.53E-02
F036	8.44E-02	1.60E-01	1.66E-01
F038	2.17E-02	1.47E-02	1.68E-02
F042	3.47E-02	8.57E-02	8.84E-02
F043	3.87E-02	5.60E-02	6.26E-02
F045	5.76E-02	1.15E-01	1.20E-01
F046	3.17E-02	3.25E-02	3.50E-02
F052	2.86E-02	2.94E-02	3.50E-02
F054	2.69E-02	3.07E-02	3.50E-02
F055	1.24E-01	1.45E-01	1.09E-01
F057	3.07E-02	3.33E-02	1.92E-02
F058	1.59E-01	2.30E-01	2.68E-01
F059r	3.54E-02	2.89E-02	3.11E-02
SJ01	1.51E+00	1.60E+00	3.49E-01
SJ03	3.07E-02	3.33E-02	1.92E-02
SJ10	1.16E-01	1.23E-01	1.27E-01
SJ18	2.86E-02	2.94E-02	3.50E-02
SJ20	6.12E-02	9.25E-02	8.84E-02
SJ28	1.62E-02	3.11E-02	3.29E-02
SJ31	3.54E-02	2.89E-02	3.11E-02
SJ32	9.82E-02	9.44E-02	1.20E-01
T135	3.57E+00	3.60E+00	3.30E-01
