Samples	DBS78A	DBS78B	DBS78C	DBS78D
C001	0	0	1	0
C002	0	0	2	1
C005	0	1	0	2
C006	0	0	1	0
C007	0	0	0	2
C009	0	0	0	5
C011	0	0	1	0
F002r	4	0	2	0
F007	0	2	5	1
F008	0	0	1	0
F012	0	0	2	0
F016	0	0	0	1
F017	2	0	0	0
F020	1	0	0	0
F022	0	0	0	2
F026	3	0	7	6
F031	0	0	1	0
F036	0	0	5	0
F038	1	0	0	0
F042	0	0	0	3
F043	0	0	0	2
F045	0	0	2	2
F046	0	0	1	0
F052	0	0	1	0
F054	0	0	1	0
F055	0	4	0	1
F057	0	1	0	0
F058	1	0	0	9
F059r	0	0	1	0
SJ01	0	61	0	0
SJ03	0	1	0	0
SJ10	0	0	4	0
SJ18	0	0	1	0
SJ20	0	1	0	2
SJ28	0	0	1	0
SJ31	0	0	1	0
SJ32	0	0	3	1
T135	173	30	0	0
