Samples	DBS78A	DBS78B	DBS78C	DBS78D
C001	2.98E-02	2.03E-02	3.51E-02	3.05E-02
C002	1.00E-02	4.88E-02	9.34E-02	9.39E-02
C005	5.54E-02	8.77E-02	6.85E-02	8.79E-02
C006	3.07E-02	2.78E-02	3.25E-02	3.11E-02
C007	1.41E-02	3.23E-02	2.61E-02	4.25E-02
C009	7.57E-02	1.24E-01	1.49E-01	1.69E-01
C011	2.13E-02	2.30E-02	3.52E-02	3.35E-02
F002r	1.97E-01	1.31E-01	1.93E-01	1.33E-01
F007	1.29E-01	1.57E-01	2.11E-01	2.02E-01
F008	1.75E-02	2.53E-02	3.35E-02	3.53E-02
F012	4.92E-02	5.13E-02	6.86E-02	6.45E-02
F016	7.05E-03	1.62E-02	1.30E-02	2.13E-02
F017	6.74E-02	2.85E-02	6.04E-02	4.22E-02
F020	1.81E-02	1.81E-02	0.00E+00	0.00E+00
F022	1.64E-02	3.89E-02	5.06E-02	5.99E-02
F026	2.55E-01	2.98E-01	5.33E-01	5.08E-01
F031	1.30E-02	2.72E-02	3.51E-02	3.38E-02
F036	6.79E-02	1.12E-01	1.71E-01	1.62E-01
F038	3.18E-02	1.54E-02	2.60E-02	1.81E-02
F042	2.76E-02	5.97E-02	8.84E-02	9.27E-02
F043	3.09E-02	3.69E-02	4.66E-02	6.05E-02
F045	5.08E-02	8.16E-02	1.18E-01	1.26E-01
F046	2.42E-02	2.86E-02	3.22E-02	3.42E-02
F052	1.92E-02	2.17E-02	3.41E-02	3.53E-02
F054	2.13E-02	2.30E-02	3.52E-02	3.35E-02
F055	8.79E-02	1.36E-01	9.94E-02	1.19E-01
F057	2.13E-02	3.33E-02	2.50E-02	1.98E-02
F058	9.75E-02	1.51E-01	2.12E-01	2.55E-01
F059r	3.37E-02	2.42E-02	3.40E-02	2.60E-02
SJ01	9.00E-01	1.07E+00	3.27E-01	3.52E-01
SJ03	2.13E-02	3.33E-02	2.50E-02	1.98E-02
SJ10	8.87E-02	9.74E-02	1.31E-01	1.16E-01
SJ18	1.92E-02	2.17E-02	3.41E-02	3.53E-02
SJ20	4.18E-02	7.76E-02	7.67E-02	8.76E-02
SJ28	7.05E-03	1.87E-02	3.54E-02	3.44E-02
SJ31	3.37E-02	2.42E-02	3.40E-02	2.60E-02
SJ32	7.17E-02	4.41E-02	1.11E-01	1.13E-01
T135	3.35E+00	3.38E+00	4.88E-01	2.11E-01
