Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
C001	1.75E-02	9.92E-03	2.26E-02	3.23E-02	2.08E-02
C002	2.75E-02	2.62E-02	8.97E-02	2.11E-02	9.21E-02
C005	4.83E-02	8.19E-02	8.40E-02	5.40E-02	6.38E-02
C006	2.96E-02	2.22E-02	3.01E-02	2.75E-02	3.05E-02
C007	1.00E-02	1.72E-02	4.16E-02	1.00E-02	3.62E-02
C009	5.99E-02	7.00E-02	1.61E-01	1.48E-01	1.48E-01
C011	1.39E-02	1.75E-02	3.07E-02	3.49E-02	2.98E-02
F002r	1.59E-01	8.36E-02	1.08E-01	1.99E-01	1.39E-01
F007	1.10E-01	1.27E-01	1.80E-01	1.46E-01	2.09E-01
F008	1.47E-02	1.47E-02	3.31E-02	3.13E-02	3.32E-02
F012	3.99E-02	3.45E-02	6.25E-02	5.73E-02	6.70E-02
F016	5.00E-03	8.62E-03	2.08E-02	5.00E-03	1.81E-02
F017	6.55E-02	1.79E-02	4.32E-02	6.71E-02	4.86E-02
F020	1.11E-02	1.11E-02	0.00E+00	0.00E+00	0.00E+00
F022	1.72E-02	2.42E-02	6.07E-02	4.73E-02	4.33E-02
F026	7.03E-02	1.16E-01	4.22E-01	4.88E-01	3.12E-01
F031	5.00E-03	1.54E-02	3.23E-02	3.54E-02	2.63E-02
F036	4.96E-02	9.79E-02	1.39E-01	9.07E-02	1.68E-01
F038	3.53E-02	1.21E-02	1.62E-02	3.31E-02	2.50E-02
F042	1.50E-02	3.37E-02	9.31E-02	8.63E-02	6.46E-02
F043	1.79E-02	3.26E-02	6.24E-02	4.10E-02	4.93E-02
F045	3.45E-02	5.87E-02	1.20E-01	7.73E-02	1.22E-01
F046	2.13E-02	2.03E-02	3.26E-02	3.05E-02	3.11E-02
F052	1.39E-02	9.92E-03	3.38E-02	2.94E-02	3.42E-02
F054	1.39E-02	1.75E-02	3.07E-02	3.49E-02	2.98E-02
F055	8.83E-02	1.30E-01	1.11E-01	9.16E-02	8.82E-02
F057	2.13E-02	3.46E-02	1.62E-02	2.13E-02	2.42E-02
F058	7.38E-02	3.90E-02	2.70E-01	1.82E-01	2.34E-01
F059r	2.94E-02	1.92E-02	2.30E-02	3.45E-02	2.81E-02
SJ01	6.97E-01	7.72E-01	1.21E-01	1.72E-01	2.21E-01
SJ03	2.13E-02	3.46E-02	1.62E-02	2.13E-02	2.42E-02
SJ10	8.33E-02	7.97E-02	9.78E-02	8.21E-02	1.36E-01
SJ18	1.39E-02	9.92E-03	3.38E-02	2.94E-02	3.42E-02
SJ20	3.43E-02	6.98E-02	8.70E-02	5.97E-02	7.33E-02
SJ28	1.11E-02	1.39E-02	3.01E-02	9.92E-03	3.31E-02
SJ31	2.94E-02	1.92E-02	2.30E-02	3.45E-02	2.81E-02
SJ32	4.80E-02	2.88E-02	9.92E-02	9.86E-02	9.66E-02
T135	2.23E+00	2.08E+00	2.79E-01	8.69E-01	2.19E-01
