MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
AC>CA	0.004794782442496839	0.015373248555892331	0.017354826357330353	0.0027571259480813825	0.009834029330278896
AC>CG	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
AC>CT	0.0005642544872557842	0.0012820510677228824	0.00884605048481717	0.00928769439801258	0.01279860103871897
AC>GA	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
AC>GG	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
AC>GT	0.00018914404694680086	0.0018258433622704829	0.01247957560091436	0.007395060390778667	0.012594318610588288
AC>TA	0.00015525724870923074	0.0015199976986015706	0.010440947464763326	0.011364757886045984	0.014699832888170476
AC>TG	0.006544018897999386	0.002014431158840111	0.004621416029384023	0.006371028348910386	0.01744735576148173
AC>TT	0.005284186974217561	2.3128162959409336e-05	3.074225177442713e-05	0.00015689208027424683	3.2294686354816805e-05
AT>CA	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
AT>CC	0.00010442057035082831	0.0006244755164360072	0.00739456759078152	0.0046020601127264625	0.02017466906597747
AT>CG	2.505022075922625e-06	6.0916690995327374e-06	3.329119545924186e-05	2.9965592175358325e-05	3.555575627615326e-05
AT>GA	0.015660687928317145	9.618769788172443e-05	2.6594412738631944e-05	0.0004554819861539272	2.7833862225179475e-05
AT>GC	0.0050372216224673135	2.3463496656290772e-05	3.068740483286092e-05	0.00012605427470816722	3.2796204932310504e-05
AT>TA	0.00031409875074162486	0.015798450608656367	0.010144034253903271	0.010070008028575026	0.043789423020206046
CC>AA	0.12655060138605223	0.04526112343699801	0.027096663042536814	0.11528190341962415	0.05146012207083172
CC>AG	0.015224523384416102	0.026530820704613517	0.019281175241614833	0.025735122792006137	0.01563505165807399
CC>AT	0.03380183637274967	0.1013631067981305	0.00784804146743328	0.01564697491001	0.027006108298615886
CC>GA	0.011031508291927707	2.2264161510445747e-05	2.8312100316725263e-05	0.00038910276875185444	2.97161402590973e-05
CC>GG	0.005437415058455031	4.4647051104362846e-06	3.079788893501245e-05	8.632442291627739e-05	3.2183682478716946e-05
CC>GT	0.0042488779745059446	0.01420240686128409	2.75671943791167e-05	0.00010715429125582432	0.00027524594465830885
