Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	1	0.615	1.694	169.4%	0.87	87.0%	1.8779	0.637
C002	3	0.875	3.755	125.167%	1.531	68.468%	1.02537	0.896
C005	3	0.616	3.726	124.2%	1.365	78.808%	1.7516	0.595
C006	1	0.034	1.98	198.0%	1.034	103.4%	4.58884	-0.01
C007	2	0.967	2.207	110.35%	1.129	56.45%	0.80267	0.975
C009	5	0.489	7.411	148.22%	2.129	95.212%	2.01858	0.449
C011	1	0.213	1.894	189.4%	0.978	97.8%	2.9363	0.183
F002r	6	0.782	8.155	135.917%	2.251	71.183%	1.19174	0.795
F007	8	0.834	8.553	106.913%	1.873	59.229%	0.9389	0.826
F008	1	0.102	1.939	193.9%	1.014	101.4%	3.49718	0.064
F012	2	0.112	3.857	192.85%	1.436	101.541%	3.39342	0.037
F016	1	0.967	1.104	110.4%	0.564	56.4%	0.80267	0.975
F017	2	0.52	3.36	168.0%	1.245	88.035%	1.98519	0.517
F020	1	0.655	1.66	166.0%	0.853	85.3%	1.77283	0.678
F022	2	0.723	2.105	105.25%	0.982	69.438%	1.54085	0.714
F026	16	0.862	11.886	74.288%	2.381	50.763%	0.53824	0.836
F031	1	0.332	1.835	183.5%	0.947	94.7%	2.49504	0.317
F036	5	0.701	6.784	135.68%	2.225	74.167%	1.5452	0.693
F038	1	0.488	1.747	174.7%	0.902	90.2%	2.06711	0.491
F042	3	0.651	3.672	122.4%	1.319	76.153%	1.53317	0.633
F043	2	0.703	2.158	107.9%	1.008	71.276%	1.90002	0.694
F045	4	0.708	4.418	110.45%	1.421	71.05%	1.42698	0.689
F046	1	0.043	1.974	197.4%	1.031	103.1%	4.35842	-0.0
F052	1	0.201	1.88	188.0%	0.984	98.4%	2.81753	0.172
F054	1	0.213	1.894	189.4%	0.978	97.8%	2.9363	0.183
F055	5	0.745	6.136	122.72%	1.821	68.827%	1.56821	0.734
F057	1	0.306	1.797	179.7%	0.952	95.2%	2.28905	0.286
F058	10	0.92	8.397	83.97%	1.883	40.146%	0.76902	0.916
F059r	1	0.204	1.899	189.9%	0.98	98.0%	2.98199	0.172
SJ01	61	0.996	9.173	15.038%	1.89	9.3%	0.06192	0.996
SJ03	1	0.306	1.797	179.7%	0.952	95.2%	2.28905	0.286
SJ10	4	0.531	5.559	138.975%	1.7	85.0%	1.95171	0.493
SJ18	1	0.201	1.88	188.0%	0.984	98.4%	2.81753	0.172
SJ20	3	0.618	3.719	123.967%	1.362	78.635%	1.7042	0.597
SJ28	1	0.876	1.479	147.9%	0.753	75.3%	1.3452	0.906
SJ31	1	0.204	1.899	189.9%	0.98	98.0%	2.98199	0.172
SJ32	4	0.742	5.02	125.5%	1.424	71.2%	1.22047	0.737
T135	203	1.0	8.219	4.049%	1.454	2.788%	0.0083	1.0
