Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
C001	1.21E-02	7.05E-03	2.03E-02	3.09E-02	1.62E-02	1.81E-02
C002	0.00E+00	2.76E-02	8.48E-02	3.31E-02	0.00E+00	8.82E-02
C005	3.19E-02	7.82E-02	8.45E-02	4.99E-02	6.07E-02	5.70E-02
C006	2.42E-02	2.50E-02	2.53E-02	2.63E-02	2.89E-02	2.81E-02
C007	0.00E+00	1.00E-02	3.50E-02	0.00E+00	0.00E+00	3.37E-02
C009	4.31E-02	8.37E-02	1.59E-01	8.21E-02	1.57E-01	1.30E-01
C011	1.62E-02	1.39E-02	2.86E-02	3.17E-02	3.11E-02	2.63E-02
F002r	1.16E-01	4.04E-02	7.25E-02	1.74E-01	9.29E-02	9.28E-02
F007	6.94E-02	1.16E-01	1.48E-01	1.19E-01	1.76E-01	2.08E-01
F008	1.30E-02	2.08E-02	2.98E-02	2.22E-02	3.26E-02	2.96E-02
F012	3.67E-02	2.78E-02	5.63E-02	5.21E-02	6.18E-02	6.10E-02
F016	0.00E+00	5.00E-03	1.75E-02	0.00E+00	0.00E+00	1.68E-02
F017	5.80E-02	1.49E-02	2.76E-02	6.54E-02	5.22E-02	3.84E-02
F020	9.92E-03	8.62E-03	0.00E+00	0.00E+00	5.00E-03	0.00E+00
F022	0.00E+00	2.15E-02	5.97E-02	3.05E-02	4.16E-02	4.22E-02
F026	8.00E-02	1.45E-01	3.98E-01	4.91E-01	4.83E-01	1.77E-01
F031	5.00E-03	1.68E-02	3.03E-02	3.15E-02	3.32E-02	2.13E-02
F036	4.04E-02	6.73E-02	1.21E-01	7.27E-02	8.08E-02	1.58E-01
F038	3.22E-02	9.92E-03	1.11E-02	3.51E-02	2.60E-02	1.81E-02
F042	1.80E-02	2.33E-02	8.78E-02	7.83E-02	7.25E-02	5.82E-02
F043	1.72E-02	2.21E-02	6.05E-02	3.17E-02	3.58E-02	4.69E-02
F045	1.50E-02	3.93E-02	1.16E-01	5.85E-02	7.19E-02	1.20E-01
F046	1.54E-02	2.34E-02	2.84E-02	2.72E-02	3.09E-02	2.78E-02
F052	9.92E-03	1.11E-02	3.05E-02	2.53E-02	3.07E-02	3.28E-02
F054	1.62E-02	1.39E-02	2.86E-02	3.17E-02	3.11E-02	2.63E-02
F055	6.25E-02	1.31E-01	1.08E-01	6.78E-02	1.21E-01	8.95E-02
F057	1.21E-02	3.54E-02	2.13E-02	1.92E-02	2.89E-02	2.03E-02
F058	3.25E-02	4.94E-02	2.73E-01	1.43E-01	1.96E-01	2.31E-01
F059r	2.53E-02	9.92E-03	2.22E-02	3.52E-02	2.42E-02	2.50E-02
SJ01	3.79E-01	6.43E-01	1.72E-01	1.26E-01	4.42E-01	1.67E-01
SJ03	1.21E-02	3.54E-02	2.13E-02	1.92E-02	2.89E-02	2.03E-02
SJ10	6.86E-02	5.23E-02	8.53E-02	7.33E-02	9.08E-02	1.32E-01
SJ18	9.92E-03	1.11E-02	3.05E-02	2.53E-02	3.07E-02	3.28E-02
SJ20	2.11E-02	6.05E-02	8.57E-02	4.10E-02	6.76E-02	5.74E-02
SJ28	0.00E+00	8.62E-03	2.69E-02	1.30E-02	0.00E+00	2.96E-02
SJ31	2.53E-02	9.92E-03	2.22E-02	3.52E-02	2.42E-02	2.50E-02
SJ32	3.52E-02	1.12E-02	9.82E-02	1.01E-01	4.62E-02	9.51E-02
T135	1.62E+00	1.44E+00	2.23E-01	6.34E-01	6.05E-01	3.75E-01
