Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
C001	5.00E-03	0.00E+00	1.30E-02	3.49E-02	3.47E-02	1.92E-02	1.87E-02
C002	0.00E+00	1.50E-02	7.87E-02	1.86E-02	1.80E-02	1.50E-02	8.14E-02
C005	3.26E-02	7.03E-02	8.19E-02	4.60E-02	5.78E-02	5.63E-02	5.33E-02
C006	2.13E-02	1.87E-02	2.66E-02	2.46E-02	2.72E-02	2.69E-02	2.60E-02
C007	0.00E+00	1.00E-02	3.50E-02	0.00E+00	0.00E+00	0.00E+00	3.37E-02
C009	2.00E-02	7.77E-02	1.48E-01	9.09E-02	1.22E-01	1.41E-01	1.23E-01
C011	7.05E-03	1.21E-02	2.38E-02	1.87E-02	3.52E-02	2.84E-02	2.26E-02
F002r	6.54E-02	0.00E+00	6.55E-02	1.87E-01	1.43E-01	1.12E-01	7.64E-02
F007	5.42E-02	1.09E-01	1.49E-01	1.82E-01	8.36E-02	1.39E-01	2.02E-01
F008	8.62E-03	1.81E-02	2.63E-02	2.30E-02	2.57E-02	3.15E-02	2.86E-02
F012	3.12E-02	2.15E-02	5.21E-02	4.84E-02	4.70E-02	6.25E-02	5.88E-02
F016	0.00E+00	5.00E-03	1.75E-02	0.00E+00	0.00E+00	0.00E+00	1.68E-02
F017	4.16E-02	0.00E+00	2.59E-02	6.48E-02	4.96E-02	3.40E-02	3.14E-02
F020	1.54E-02	7.05E-03	0.00E+00	8.62E-03	0.00E+00	1.11E-02	0.00E+00
F022	0.00E+00	2.04E-02	5.82E-02	2.40E-02	2.99E-02	4.41E-02	3.62E-02
F026	0.00E+00	7.50E-02	2.77E-01	2.93E-01	4.35E-01	1.55E-01	1.64E-01
F031	0.00E+00	1.47E-02	2.34E-02	1.68E-02	3.43E-02	2.13E-02	1.47E-02
F036	0.00E+00	5.48E-02	1.05E-01	5.32E-02	8.52E-02	1.05E-01	1.56E-01
F038	2.53E-02	0.00E+00	8.62E-03	3.05E-02	1.21E-02	1.11E-02	1.11E-02
F042	1.50E-02	1.93E-02	8.40E-02	3.50E-02	8.79E-02	4.66E-02	4.98E-02
F043	1.98E-02	1.98E-02	6.23E-02	2.51E-02	3.58E-02	4.08E-02	4.12E-02
F045	2.86E-02	2.90E-02	1.11E-01	4.17E-02	4.71E-02	6.77E-02	1.18E-01
F046	1.47E-02	2.08E-02	2.94E-02	2.17E-02	2.84E-02	2.78E-02	2.50E-02
F052	7.05E-03	0.00E+00	2.69E-02	3.05E-02	2.17E-02	2.84E-02	3.13E-02
F054	7.05E-03	1.21E-02	2.38E-02	1.87E-02	3.52E-02	2.84E-02	2.26E-02
F055	5.47E-02	1.28E-01	1.04E-01	7.47E-02	1.05E-01	1.01E-01	7.90E-02
F057	1.11E-02	3.46E-02	1.75E-02	1.54E-02	1.62E-02	3.40E-02	1.62E-02
F058	0.00E+00	0.00E+00	2.63E-01	2.05E-01	6.33E-02	1.48E-01	2.00E-01
F059r	1.81E-02	7.05E-03	1.47E-02	3.43E-02	2.50E-02	3.07E-02	2.17E-02
SJ01	5.62E-01	8.25E-01	1.51E-01	1.77E-01	2.53E-01	5.17E-01	5.37E-02
SJ03	1.11E-02	3.46E-02	1.75E-02	1.54E-02	1.62E-02	3.40E-02	1.62E-02
SJ10	3.71E-02	2.54E-02	6.71E-02	8.22E-02	7.06E-02	1.08E-01	1.30E-01
SJ18	7.05E-03	0.00E+00	2.69E-02	3.05E-02	2.17E-02	2.84E-02	3.13E-02
SJ20	1.80E-02	5.37E-02	8.48E-02	3.38E-02	4.18E-02	8.73E-02	4.44E-02
SJ28	0.00E+00	5.00E-03	2.38E-02	8.62E-03	8.62E-03	0.00E+00	2.63E-02
SJ31	1.81E-02	7.05E-03	1.47E-02	3.43E-02	2.50E-02	3.07E-02	2.17E-02
SJ32	0.00E+00	0.00E+00	8.93E-02	7.82E-02	8.22E-02	4.99E-02	9.32E-02
T135	2.34E+00	1.13E+00	2.69E-01	1.98E+00	1.64E-01	6.51E-01	1.56E-01
