MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
AC>CA	0.004306927841068103	0.016529811827252418	0.01922505477023151	0.009743272619368781	0.0010092910046262916	0.005813820438128232	0.0068788563080681795
AC>CG	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
AC>CT	0.00027400603090633525	0.0019288955498353655	0.008069751035117178	0.006789390374535742	0.009307848651628205	0.018593723237935934	0.007652134771185501
AC>GA	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
AC>GG	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
AC>GT	0.00021988648522178522	0.00048527214944403595	0.013039779962558668	0.004253327350995306	0.011398356714597461	0.016853452710667512	0.008096268308270283
AC>TA	2.7045687178017806e-05	0.0008834307924983907	0.008130982226521439	0.005799507696759566	0.010276422458704694	0.019664491413741415	0.01011989323087846
AC>TG	0.0053620138263489	2.3306148876549564e-06	0.00380856533528371	0.009351666872399989	0.008144214312388733	0.02055345802836801	0.023316869910927077
AC>TT	0.005278448054828573	3.554753902257346e-06	3.036852968762105e-05	0.00023459487316301875	2.3683762312884936e-05	0.0001147554892190783	3.038698938780726e-05
AT>CA	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
AT>CC	8.104464953362367e-07	0.0004842840270399051	0.004261352619757304	0.007270858827920699	0.004065347136930768	0.009475567882325321	0.02384522501029551
AT>CG	1.572853358879911e-06	4.3296633413092425e-06	3.233568794257735e-05	2.8215472711110578e-05	2.7207471053998232e-05	4.357072542347851e-05	3.3091895165853205e-05
