Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
C001	0	0	0	0	0	0	1	0
C002	0	0	1	0	0	2	0	0
C005	0	1	2	0	0	0	0	0
C006	0	0	0	0	0	0	1	0
C007	0	0	2	0	0	0	0	0
C009	0	0	2	0	1	0	1	1
C011	0	0	0	0	1	0	0	0
F002r	0	0	0	3	0	0	3	0
F007	0	2	1	2	0	3	0	0
F008	0	0	0	0	0	0	0	1
F012	0	0	0	0	0	0	1	1
F016	0	0	1	0	0	0	0	0
F017	0	0	0	2	0	0	0	0
F020	1	0	0	0	0	0	0	0
F022	0	0	1	0	0	0	0	1
F026	0	0	1	2	13	0	0	0
F031	0	0	0	0	1	0	0	0
F036	0	0	0	0	0	5	0	0
F038	0	0	0	1	0	0	0	0
F042	0	0	1	0	2	0	0	0
F043	0	0	2	0	0	0	0	0
F045	0	0	2	0	0	2	0	0
F046	0	0	0	0	0	0	1	0
F052	0	0	0	0	0	0	0	1
F054	0	0	0	0	1	0	0	0
F055	0	3	1	0	1	0	0	0
F057	0	0	0	0	0	0	0	1
F058	0	0	6	3	0	1	0	0
F059r	0	0	0	0	0	0	1	0
SJ01	6	50	2	0	0	0	0	3
SJ03	0	0	0	0	0	0	0	1
SJ10	0	0	0	0	0	3	1	0
SJ18	0	0	0	0	0	0	0	1
SJ20	0	0	1	0	0	0	0	2
SJ28	0	0	0	0	0	1	0	0
SJ31	0	0	0	0	0	0	1	0
SJ32	0	0	1	0	0	1	2	0
T135	169	13	1	15	0	1	4	0
