Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
C001	0.00E+00	0.00E+00	1.11E-02	3.23E-02	2.91E-02	1.54E-02	3.45E-02	1.21E-02
C002	0.00E+00	0.00E+00	7.36E-02	1.86E-02	5.00E-03	7.48E-02	5.00E-03	1.50E-02
C005	2.71E-02	6.79E-02	7.97E-02	5.20E-02	4.78E-02	5.01E-02	3.17E-02	6.46E-02
C006	2.30E-02	1.47E-02	2.13E-02	2.13E-02	2.22E-02	2.78E-02	2.66E-02	2.63E-02
C007	0.00E+00	0.00E+00	3.50E-02	1.00E-02	2.21E-02	2.61E-02	0.00E+00	0.00E+00
C009	0.00E+00	4.73E-02	1.46E-01	6.71E-02	1.29E-01	1.07E-01	1.26E-01	1.29E-01
C011	7.05E-03	7.05E-03	2.26E-02	1.98E-02	3.53E-02	1.98E-02	2.26E-02	2.38E-02
F002r	5.79E-02	2.00E-02	7.63E-02	1.90E-01	9.36E-02	4.13E-02	1.78E-01	4.56E-02
F007	3.91E-02	1.07E-01	1.37E-01	1.76E-01	7.34E-02	1.83E-01	6.98E-02	1.49E-01
F008	0.00E+00	1.54E-02	2.60E-02	1.47E-02	2.78E-02	2.57E-02	2.84E-02	2.84E-02
F012	2.42E-02	2.21E-02	3.87E-02	4.86E-02	4.65E-02	4.83E-02	5.59E-02	6.06E-02
F016	0.00E+00	0.00E+00	1.75E-02	5.00E-03	1.11E-02	1.30E-02	0.00E+00	0.00E+00
F017	3.97E-02	5.00E-03	2.10E-02	6.30E-02	4.38E-02	2.55E-02	4.19E-02	1.96E-02
F020	1.68E-02	7.05E-03	0.00E+00	5.00E-03	0.00E+00	0.00E+00	1.21E-02	8.62E-03
F022	1.00E-02	1.79E-02	6.07E-02	2.46E-02	2.59E-02	3.62E-02	2.71E-02	4.91E-02
F026	0.00E+00	0.00E+00	2.27E-01	2.73E-01	4.55E-01	1.56E-01	2.89E-01	1.45E-01
F031	5.00E-03	1.47E-02	2.03E-02	1.62E-02	3.39E-02	1.62E-02	1.54E-02	1.62E-02
F036	0.00E+00	4.04E-02	7.38E-02	7.65E-02	7.19E-02	1.50E-01	8.31E-02	7.75E-02
F038	2.34E-02	7.05E-03	8.62E-03	2.75E-02	5.00E-03	8.62E-03	8.62E-03	0.00E+00
F042	1.50E-02	2.22E-02	8.41E-02	3.00E-02	8.73E-02	3.28E-02	4.62E-02	5.12E-02
F043	1.98E-02	1.00E-02	6.13E-02	2.73E-02	3.82E-02	3.78E-02	3.38E-02	2.71E-02
F045	0.00E+00	3.06E-02	9.99E-02	4.83E-02	4.78E-02	1.08E-01	5.82E-02	8.61E-02
F046	1.11E-02	1.47E-02	2.60E-02	2.17E-02	2.75E-02	2.91E-02	2.38E-02	2.42E-02
F052	5.00E-03	0.00E+00	2.91E-02	2.91E-02	1.92E-02	2.69E-02	1.92E-02	2.98E-02
F054	7.05E-03	7.05E-03	2.26E-02	1.98E-02	3.53E-02	1.98E-02	2.26E-02	2.38E-02
F055	6.20E-02	1.26E-01	9.85E-02	5.87E-02	1.20E-01	6.89E-02	8.15E-02	5.89E-02
F057	1.21E-02	3.05E-02	1.87E-02	1.75E-02	1.21E-02	1.87E-02	1.11E-02	3.53E-02
F058	1.50E-02	4.00E-02	2.71E-01	1.90E-01	6.81E-02	1.76E-01	1.43E-01	1.77E-01
F059r	1.11E-02	7.05E-03	1.75E-02	3.18E-02	1.87E-02	1.54E-02	3.51E-02	1.75E-02
SJ01	5.37E-01	1.22E+00	3.37E-01	2.43E-01	2.21E-01	5.65E-02	3.48E-01	1.02E+00
SJ03	1.21E-02	3.05E-02	1.87E-02	1.75E-02	1.21E-02	1.87E-02	1.11E-02	3.53E-02
SJ10	1.31E-02	3.21E-02	6.45E-02	5.25E-02	7.71E-02	1.28E-01	1.10E-01	9.02E-02
SJ18	5.00E-03	0.00E+00	2.91E-02	2.91E-02	1.92E-02	2.69E-02	1.92E-02	2.98E-02
SJ20	1.00E-02	4.07E-02	8.15E-02	3.26E-02	4.06E-02	4.48E-02	3.43E-02	8.61E-02
SJ28	0.00E+00	0.00E+00	1.87E-02	8.62E-03	0.00E+00	2.13E-02	5.00E-03	5.00E-03
SJ31	1.11E-02	7.05E-03	1.75E-02	3.18E-02	1.87E-02	1.54E-02	3.51E-02	1.75E-02
SJ32	0.00E+00	0.00E+00	8.04E-02	6.87E-02	7.30E-02	8.89E-02	8.44E-02	3.49E-02
T135	2.48E+00	1.24E+00	3.44E-01	1.69E+00	1.65E-01	1.94E-01	8.44E-01	1.02E+00
