MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
AC>CA	0.004009277090142824	0.01438569698786474	0.01761114605029519	0.01600144942584393	0.0027079287684466245	0.003875888265486367	0.01448132546723283	0.00953025477293437	0.003948142636490956
AC>CG	2.2682294817855107e-06	3.3996507060152224e-06	2.5305387150638126e-05	3.296472956208163e-05	2.812298667322466e-05	3.219025044472801e-05	4.020068192858162e-05	3.518352222897647e-05	2.9192264663038258e-05
AC>CT	2.4733769279037253e-05	0.0015311805851182245	0.00842555577159894	0.004175595621508137	0.009373380093522598	0.0066814498039639144	0.024064011650155523	0.011252439345049617	0.015970811720595036
AC>GA	2.2682294817855107e-06	3.3996507060152224e-06	2.5305387150638126e-05	3.296472956208163e-05	2.812298667322466e-05	3.219025044472801e-05	4.020068192858162e-05	3.518352222897647e-05	2.9192264663038258e-05
AC>GG	2.2682294817855107e-06	3.3996507060152224e-06	2.5305387150638126e-05	3.296472956208163e-05	2.812298667322466e-05	3.219025044472801e-05	4.020068192858162e-05	3.518352222897647e-05	2.9192264663038258e-05
AC>GT	0.00019986289052672745	0.00014466432243509078	0.009809324063985981	0.013524361652472408	0.00977490352672234	0.005411285021896219	0.019913731197221694	0.007598971517397786	0.011367051713450567
AC>TA	1.1978584989790568e-06	2.097933581215483e-06	0.0018294814306161996	0.007091476844884002	0.004209650428963056	0.004056606028051157	0.05264749428155653	0.006658422452385982	0.003979148805626873
AC>TG	0.005607655866671617	0.0006914924406810517	0.00619916739856214	0.002112368852733724	0.007390752598227124	0.023458634250928406	0.015343907371604912	0.010687576696030411	0.0200150121440302
AC>TT	0.005527653031551552	3.0146259790022613e-05	0.00037388862851514657	3.139944386020943e-05	2.716684530184921e-05	3.0115826953078794e-05	3.765239126551023e-05	0.0001265228130836249	2.7849278262692677e-05
AT>CA	2.2682294817855107e-06	3.3996507060152224e-06	2.5305387150638126e-05	3.296472956208163e-05	2.812298667322466e-05	3.219025044472801e-05	4.020068192858162e-05	3.518352222897647e-05	2.9192264663038258e-05
