Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1*,1.0,1.0,YES,Most Stab Sigs,42.3%,181.38%,199.5%,96.15%,103.66,2.9391,5.9106,0.709,0.988,0.243,-0.051
2,0.65,0.49,NO,N/A,30.58%,172.18%,198.7%,91.33%,105.22,2.4215,5.0642,0.582,0.977,0.389,-0.026
3,0.47,0.2,NO,N/A,24.35%,168.6%,198.6%,88.69%,104.5,2.2851,4.9716,0.552,0.977,0.423,-0.027
4,0.44,0.05,NO,N/A,19.02%,157.48%,198.3%,85.7%,102.25,2.1249,4.7556,0.494,0.964,0.486,-0.02
5,0.45,0.11,NO,N/A,14.91%,143.44%,198.0%,81.9%,103.4,1.9403,4.5888,0.446,0.966,0.54,-0.01
6,0.41,-0.18,NO,N/A,14.58%,138.48%,196.8%,80.52%,100.3,1.8291,4.1201,0.412,0.917,0.574,0.021
7,0.39,-0.14,NO,N/A,13.72%,129.9%,196.3%,73.47%,100.3,1.6819,3.9849,0.37,0.911,0.622,0.033
8,0.35,-0.14,NO,N/A,14.18%,123.19%,196.4%,71.74%,101.2,1.5594,4.0298,0.332,0.928,0.663,0.023
9,0.34,-0.07,NO,N/A,15.36%,116.35%,196.7%,72.41%,100.6,1.4676,4.0949,0.308,0.922,0.685,0.021
10,0.33,-0.33,NO,N/A,18.56%,116.63%,197.0%,68.58%,102.5,1.33,4.202,0.271,0.947,0.723,0.008
