Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	1	0.399	1.852	185.2%	0.942	94.2%	2.60658	0.42
C002	3	0.903	2.037	67.9%	1.074	48.031%	0.43056	0.902
C005	3	0.429	4.0	133.333%	1.755	101.325%	16.02992	0.403
C006	1	0.015	1.984	198.4%	1.117	111.7%	4.84431	-0.01
C007	2	0.742	2.479	123.95%	1.417	70.85%	0.96703	0.74
C009	5	0.357	7.715	154.3%	2.734	122.268%	3.24405	0.319
C011	1	0.085	1.968	196.8%	1.001	100.1%	4.149	0.02
F002r	6	0.728	7.507	125.117%	2.237	70.74%	1.26202	0.716
F007	8	0.752	7.443	93.038%	2.125	67.198%	2.70097	0.728
F008	1	0.274	1.899	189.9%	0.966	96.6%	2.98455	0.26
F012	2	0.07	3.927	196.35%	1.437	101.611%	4.01075	-0.036
F016	1	0.742	1.24	124.0%	0.709	70.9%	0.96703	0.74
F017	2	0.697	1.999	99.95%	1.124	79.479%	3.4829	0.689
F020	1	0.393	1.833	183.3%	0.937	93.7%	2.48398	0.395
F022	2	0.526	2.475	123.75%	1.235	87.328%	3.27854	0.51
F026	16	0.45	21.889	136.806%	4.382	93.425%	1.49057	0.313
F031	1	0.138	1.949	194.9%	0.991	99.1%	3.66556	0.088
F036	5	0.451	6.38	127.6%	2.937	97.9%	2.25082	0.428
F038	1	0.985	0.553	55.3%	0.304	30.4%	0.32349	0.986
F042	3	0.438	3.952	131.733%	1.741	100.517%	4.73207	0.412
F043	2	0.525	2.479	123.95%	1.236	87.398%	8.94216	0.508
F045	4	0.699	3.931	98.275%	1.572	78.6%	10.19605	0.683
F046	1	0.109	1.96	196.0%	0.997	99.7%	3.90013	0.051
F052	1	0.44	1.813	181.3%	0.926	92.6%	2.37111	0.451
F054	1	0.085	1.968	196.8%	1.001	100.1%	4.149	0.02
F055	5	0.706	5.584	111.68%	2.017	76.235%	2.59286	0.691
F057	1	0.534	1.803	180.3%	0.915	91.5%	2.31643	0.591
F058	10	0.821	11.318	113.18%	2.789	59.462%	1.08376	0.811
F059r	1	0.172	1.936	193.6%	0.985	98.5%	3.44687	0.131
SJ01	61	0.885	46.43	76.115%	9.444	46.471%	0.63604	0.869
SJ03	1	0.534	1.803	180.3%	0.915	91.5%	2.31643	0.591
SJ10	4	0.32	5.998	149.95%	2.362	118.1%	6.19784	0.284
SJ18	1	0.44	1.813	181.3%	0.926	92.6%	2.37111	0.451
SJ20	3	0.447	3.901	130.033%	1.727	99.708%	2.93586	0.422
SJ28	1	0.639	1.346	134.6%	0.78	78.0%	1.11709	0.633
SJ31	1	0.172	1.936	193.6%	0.985	98.5%	3.44687	0.131
SJ32	4	0.761	4.474	111.85%	1.347	67.35%	1.15701	0.751
T135	203	0.89	133.369	65.699%	26.06	49.977%	0.40193	0.867
