Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	1	0.162	1.925	192.5%	0.989	98.9%	3.28683	0.123
C002	3	0.372	5.151	171.7%	2.08	93.02%	2.15213	0.345
C005	3	0.392	5.058	168.6%	1.593	91.972%	2.00509	0.346
C006	1	0.023	1.989	198.9%	1.021	102.1%	5.22934	-0.037
C007	2	0.394	3.636	181.8%	1.867	93.35%	2.39744	0.39
C009	5	0.239	8.766	175.32%	2.259	101.026%	2.92089	0.136
C011	1	0.049	1.977	197.7%	1.015	101.5%	4.47836	-0.007
F002r	6	0.407	9.986	166.433%	2.89	91.39%	1.88036	0.355
F007	8	0.601	9.783	122.288%	2.528	79.942%	1.43226	0.551
F008	1	0.024	1.989	198.9%	1.021	102.1%	5.17776	-0.036
F012	2	0.05	3.935	196.75%	1.466	103.662%	4.18129	-0.034
F016	1	0.394	1.818	181.8%	0.934	93.4%	2.39744	0.39
F017	2	0.35	3.543	177.15%	1.325	93.692%	2.40827	0.315
F020	1	0.434	1.799	179.9%	0.923	92.3%	2.29962	0.437
F022	2	0.295	3.615	180.75%	1.352	95.601%	3.11647	0.251
F026	16	0.471	21.317	133.231%	4.395	93.702%	1.41777	0.351
F031	1	0.082	1.962	196.2%	1.008	100.8%	3.96574	0.031
F036	5	0.172	9.39	187.8%	3.023	100.767%	3.27407	0.093
F038	1	0.4	1.815	181.5%	0.932	93.2%	2.3821	0.397
F042	3	0.288	5.308	176.933%	1.67	96.417%	2.75644	0.225
F043	2	0.287	3.625	181.25%	1.356	95.884%	3.45099	0.242
F045	4	0.335	6.76	169.0%	1.901	95.05%	2.46778	0.264
F046	1	0.012	1.995	199.5%	1.024	102.4%	5.91058	-0.051
F052	1	0.073	1.966	196.6%	1.01	101.0%	4.08195	0.02
F054	1	0.049	1.977	197.7%	1.015	101.5%	4.47836	-0.007
F055	5	0.576	7.597	151.94%	2.194	82.925%	1.61443	0.553
F057	1	0.191	1.912	191.2%	0.982	98.2%	3.12106	0.156
F058	10	0.514	14.314	143.14%	4.025	85.813%	1.54033	0.468
F059r	1	0.082	1.962	196.2%	1.008	100.8%	3.96716	0.031
SJ01	61	0.826	45.438	74.489%	11.755	57.843%	0.4408	0.805
SJ03	1	0.191	1.912	191.2%	0.982	98.2%	3.12106	0.156
SJ10	4	0.209	7.226	180.65%	2.02	101.0%	2.95778	0.116
SJ18	1	0.073	1.966	196.6%	1.01	101.0%	4.08195	0.02
SJ20	3	0.351	5.157	171.9%	1.624	93.762%	2.48149	0.298
SJ28	1	0.219	1.899	189.9%	0.976	97.6%	2.98425	0.189
SJ31	1	0.082	1.962	196.2%	1.008	100.8%	3.96716	0.031
SJ32	4	0.434	6.394	159.85%	1.802	90.1%	1.73602	0.381
T135	203	0.939	72.87	35.897%	18.083	34.679%	0.12203	0.924
