Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
C001	0	12	0	1	0	1	16	5	4	0
C002	16	3	8	2	8	3	0	0	12	24
C003	2	0	8	1	1	0	2	2	7	0
C004	0	0	0	1	0	0	0	5	4	0
C005	11	1	35	4	11	14	0	0	0	0
C006	0	4	7	7	0	9	0	2	0	0
C007	14	0	2	13	12	0	30	0	0	0
C008	0	0	0	0	2	0	0	0	0	0
C009	32	0	16	30	5	0	10	0	0	4
C010	0	3	3	0	4	0	0	0	0	0
C010r	5	0	0	1	0	2	0	0	0	3
C011	0	0	0	0	10	0	0	0	2	0
C013	0	2	0	0	0	0	0	3	12	0
C014	0	0	0	4	0	9	4	0	0	0
F001	0	2	2	0	0	5	0	6	0	0
F002	0	0	0	1	0	0	1	5	0	2
F002r	0	0	0	0	0	0	0	64	1	0
F004	1	1	0	0	1	0	3	0	0	13
F005	0	1	0	0	0	0	8	0	2	0
F006	0	0	0	0	0	0	0	0	5	0
F007	0	8	54	0	3	4	45	0	0	4
F008	0	0	0	0	4	0	0	0	0	5
F010	3	1	0	0	11	0	0	0	2	0
F011	0	0	0	2	5	0	0	7	1	3
F012	0	0	0	4	1	0	1	0	0	2
F013	0	0	2	0	1	0	0	0	1	9
F014	0	1	3	12	1	0	0	0	4	0
F015	8	0	4	9	7	0	0	20	0	0
F016	5	0	0	5	9	0	7	0	0	0
F017	6	5	12	0	18	0	0	0	8	6
F018	0	2	0	0	2	5	1	0	2	0
F019	0	0	2	3	0	1	0	0	2	0
F020	1	0	2	18	11	0	0	0	0	0
F021	1	0	0	0	3	0	5	0	2	0
F022	0	0	3	16	8	0	0	9	5	0
F023	0	0	0	0	1	0	1	0	0	0
F024	0	0	0	0	2	3	0	0	4	0
F026	7	5	33	6	0	4	1	0	2	2
F027	1	0	2	0	2	0	0	2	2	1
F029	0	0	22	3	0	0	0	5	0	0
F031	8	0	3	1	3	4	0	27	8	6
F034	0	0	0	0	0	0	0	0	1	16
F036	0	1	21	0	0	0	17	0	9	0
F037	0	5	0	0	0	0	0	0	0	0
F038	0	0	0	0	0	9	0	0	8	0
F039	0	1	0	2	11	0	0	5	4	0
F041	0	5	0	12	6	0	14	4	5	0
F042	8	0	0	16	2	0	8	0	3	0
F043	0	2	0	8	0	0	5	9	0	0
F044	0	0	5	0	0	0	0	0	0	11
F045	0	2	4	12	2	2	2	1	0	3
F046	0	0	0	3	0	0	0	0	0	0
F048	0	0	1	0	1	0	1	0	3	3
F050	2	0	0	0	1	0	0	0	0	0
F052	0	0	0	0	1	3	0	0	1	1
F053	3	0	2	3	0	0	1	0	4	0
F054	0	0	2	3	4	0	0	1	3	2
F055	6	6	37	0	24	0	0	0	0	8
F056	0	3	0	0	0	1	0	0	0	0
F057	1	5	0	4	8	0	22	0	1	4
F058	0	14	17	29	12	17	0	0	5	0
F059	0	0	0	0	12	1	0	1	2	8
F059r	4	2	0	1	30	2	10	0	0	0
SJ01	9	177	15	0	32	0	0	30	0	0
SJ02	0	3	0	0	2	7	2	0	0	0
SJ03	0	10	1	2	3	25	0	0	0	0
SJ04	0	0	0	0	0	0	2	0	0	0
SJ08	0	5	9	1	0	10	0	0	0	0
SJ09	0	0	0	0	3	1	0	0	4	16
SJ10	2	0	3	4	1	5	0	0	2	3
SJ12	0	5	0	2	8	5	4	0	0	0
SJ13	1	2	0	0	0	0	1	0	0	0
SJ14	0	0	3	0	0	0	0	4	0	0
SJ17	0	1	0	0	0	9	9	0	0	8
SJ18	0	4	0	0	0	2	0	0	3	0
SJ19	0	0	6	0	7	0	0	0	9	6
SJ20	0	2	5	47	5	13	0	0	10	0
SJ25	0	4	1	3	0	1	0	0	3	3
SJ28	21	0	6	32	0	26	0	0	26	26
SJ31	0	4	0	0	0	17	7	0	37	0
SJ32	15	23	12	0	6	36	0	13	0	0
SJ33	1	0	0	1	1	0	13	0	2	0
T135	371	45	0	0	0	39	0	20	8	0
