Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
C001	1.85E-01	5.87E-01	2.73E-01	4.20E-01	3.59E-01	5.78E-01	6.22E-01	6.07E-01	4.71E-01	3.78E-01
C002	7.71E-01	4.28E-01	8.18E-01	5.66E-01	6.93E-01	7.35E-01	6.57E-01	6.65E-01	7.44E-01	1.03E+00
C003	1.42E-01	8.96E-02	2.75E-01	2.59E-01	2.10E-01	1.87E-01	2.32E-01	2.34E-01	3.02E-01	1.92E-01
C004	7.12E-02	7.72E-02	8.49E-02	1.65E-01	1.50E-01	1.63E-01	1.43E-01	1.89E-01	1.73E-01	1.59E-01
C005	4.92E-01	6.60E-01	1.25E+00	6.85E-01	1.07E+00	6.38E-01	6.78E-01	7.83E-01	1.51E-01	2.98E-01
C006	2.19E-01	2.58E-01	2.98E-01	4.05E-01	2.51E-01	3.47E-01	2.86E-01	3.77E-01	1.73E-01	3.57E-01
C007	6.68E-01	5.02E-01	6.89E-01	7.76E-01	8.52E-01	6.34E-01	1.12E+00	8.16E-01	2.22E-01	5.13E-01
C008	1.41E-02	1.22E-02	3.50E-02	7.05E-03	5.82E-02	3.31E-02	3.26E-02	3.18E-02	3.50E-02	5.34E-02
C009	1.09E+00	5.91E-01	1.09E+00	1.38E+00	6.78E-01	7.16E-01	1.21E+00	8.62E-01	5.02E-01	9.71E-01
C010	7.32E-02	1.46E-01	1.97E-01	1.23E-01	2.02E-01	1.38E-01	1.19E-01	1.60E-01	5.95E-02	1.36E-01
C010r	2.49E-01	9.44E-02	8.75E-02	2.59E-01	1.21E-01	1.58E-01	1.67E-01	2.09E-01	1.15E-01	1.96E-01
C011	7.12E-02	7.93E-02	9.03E-02	1.18E-01	2.40E-01	2.04E-01	1.98E-01	1.76E-01	1.58E-01	1.21E-01
C013	4.27E-02	1.47E-01	3.59E-02	5.99E-02	4.53E-02	2.43E-01	9.19E-02	1.87E-01	3.43E-01	1.91E-01
C014	1.49E-01	8.91E-02	9.91E-02	2.53E-01	2.28E-01	3.19E-01	2.91E-01	2.48E-01	1.20E-01	2.05E-01
F001	1.96E-01	2.29E-01	2.02E-01	8.54E-02	1.90E-01	2.81E-01	1.58E-01	2.45E-01	1.36E-01	1.21E-01
F002	8.21E-02	7.41E-02	7.60E-02	1.69E-01	1.13E-01	1.29E-01	1.72E-01	1.82E-01	1.19E-01	1.85E-01
F002r	8.91E-01	7.84E-01	4.17E-01	6.03E-01	3.97E-01	7.13E-01	6.16E-01	1.43E+00	2.99E-01	5.36E-01
F004	1.55E-01	1.51E-01	1.32E-01	2.79E-01	2.55E-01	2.70E-01	3.03E-01	1.90E-01	2.33E-01	3.86E-01
F005	5.00E-03	1.15E-01	1.55E-01	5.68E-02	1.70E-01	1.10E-01	2.10E-01	9.25E-02	1.62E-01	1.39E-01
F006	1.86E-02	4.42E-02	4.46E-02	6.28E-02	2.75E-02	8.74E-02	3.66E-02	5.07E-02	1.31E-01	6.81E-02
F007	4.20E-01	6.24E-01	1.72E+00	6.87E-01	1.23E+00	6.07E-01	1.37E+00	9.40E-01	2.76E-01	9.96E-01
F008	0.00E+00	3.10E-02	1.04E-01	1.28E-01	1.88E-01	8.36E-02	1.42E-01	1.23E-01	1.39E-01	1.90E-01
F010	2.08E-01	2.28E-01	2.06E-01	1.19E-01	3.43E-01	1.71E-01	2.77E-01	2.16E-01	1.58E-01	1.50E-01
F011	1.37E-01	1.25E-01	2.03E-01	3.17E-01	2.72E-01	1.29E-01	2.41E-01	3.11E-01	1.81E-01	3.07E-01
F012	3.05E-02	3.33E-02	5.96E-02	1.54E-01	1.41E-01	1.12E-01	1.50E-01	8.21E-02	1.12E-01	1.40E-01
F013	4.45E-02	6.31E-02	1.62E-01	7.34E-02	1.89E-01	1.33E-01	1.43E-01	1.33E-01	2.37E-01	2.99E-01
F014	1.75E-01	1.64E-01	3.49E-01	3.92E-01	2.98E-01	2.29E-01	3.96E-01	2.46E-01	2.32E-01	2.63E-01
F015	4.74E-01	2.98E-01	5.21E-01	5.98E-01	4.05E-01	4.77E-01	6.02E-01	7.07E-01	2.24E-01	4.79E-01
F016	2.54E-01	1.94E-01	3.30E-01	3.07E-01	4.84E-01	2.71E-01	4.84E-01	3.58E-01	1.27E-01	1.82E-01
F017	3.31E-01	4.34E-01	5.95E-01	2.25E-01	6.92E-01	3.65E-01	3.84E-01	4.44E-01	4.00E-01	4.93E-01
F018	1.47E-01	1.80E-01	1.06E-01	9.14E-02	1.43E-01	2.03E-01	1.38E-01	1.37E-01	2.01E-01	9.19E-02
F019	2.77E-02	1.31E-02	1.16E-01	1.69E-01	8.16E-02	1.35E-01	9.95E-02	1.06E-01	1.52E-01	6.20E-02
F020	1.34E-01	1.70E-01	6.16E-01	6.59E-01	5.75E-01	4.64E-01	6.53E-01	3.36E-01	1.20E-01	3.48E-01
F021	6.28E-02	1.12E-01	8.64E-02	4.07E-02	2.39E-01	1.46E-01	1.87E-01	1.27E-01	1.76E-01	1.18E-01
F022	1.27E-01	1.38E-01	4.34E-01	6.82E-01	6.32E-01	5.40E-01	6.29E-01	5.41E-01	4.18E-01	4.48E-01
F023	0.00E+00	1.98E-02	2.84E-02	1.40E-02	6.38E-02	1.71E-02	6.26E-02	7.05E-03	2.96E-02	2.34E-02
F024	6.00E-02	8.62E-02	3.87E-02	7.17E-02	1.24E-01	1.63E-01	5.96E-02	9.58E-02	1.85E-01	8.85E-02
F026	3.34E-01	3.84E-01	1.08E+00	6.43E-01	7.89E-01	5.42E-01	6.37E-01	4.66E-01	2.30E-01	6.69E-01
F027	1.38E-01	1.37E-01	1.45E-01	5.76E-02	1.42E-01	1.09E-01	1.01E-01	1.47E-01	1.28E-01	1.20E-01
F029	1.45E-01	2.04E-01	6.06E-01	3.56E-01	3.84E-01	2.14E-01	2.54E-01	4.02E-01	1.00E-01	3.11E-01
F031	5.28E-01	5.16E-01	3.50E-01	4.71E-01	5.33E-01	6.73E-01	4.95E-01	7.93E-01	5.36E-01	6.27E-01
F034	9.56E-02	3.63E-02	1.07E-01	1.02E-01	1.45E-01	2.97E-01	1.81E-01	1.60E-01	3.89E-01	4.15E-01
F036	2.76E-01	2.15E-01	7.23E-01	3.17E-01	5.39E-01	4.71E-01	6.07E-01	4.34E-01	3.39E-01	5.42E-01
