Samples	ID83A
C001	39
C002	76
C003	23
C004	10
C005	76
C006	29
C007	71
C008	2
C009	97
C010	10
C010r	11
C011	12
C013	17
C014	17
F001	15
F002	9
F002r	65
F004	19
F005	11
F006	5
F007	118
F008	9
F010	17
F011	18
F012	8
F013	13
F014	21
F015	48
F016	26
F017	55
F018	12
F019	8
F020	32
F021	11
F022	41
F023	2
F024	9
F026	60
F027	10
F029	30
F031	60
F034	17
F036	48
F037	5
F038	17
F039	23
F041	46
F042	37
F043	24
F044	16
F045	28
F046	3
F048	9
F050	3
F052	6
F053	13
F054	15
F055	81
F056	4
F057	45
F058	94
F059	24
F059r	49
SJ01	263
SJ02	14
SJ03	41
SJ04	2
SJ08	25
SJ09	24
SJ10	20
SJ12	24
SJ13	4
SJ14	7
SJ17	27
SJ18	9
SJ19	28
SJ20	82
SJ25	15
SJ28	137
SJ31	65
SJ32	105
SJ33	18
T135	483
