Samples	ID83A	ID83B
C001	5.96E-01	5.96E-01
C002	8.59E-01	8.59E-01
C003	2.78E-01	2.78E-01
C004	2.03E-01	2.04E-01
C005	1.02E+00	1.02E+00
C006	3.96E-01	3.95E-01
C007	1.02E+00	1.02E+00
C008	4.48E-02	4.48E-02
C009	1.03E+00	1.03E+00
C010	2.32E-01	2.32E-01
C010r	2.53E-01	2.53E-01
C011	2.31E-01	2.31E-01
C013	4.36E-01	4.36E-01
C014	2.95E-01	2.96E-01
F001	2.69E-01	2.69E-01
F002	2.27E-01	2.27E-01
F002r	7.59E-01	7.59E-01
F004	3.42E-01	3.42E-01
F005	1.46E-01	1.47E-01
F006	1.28E-01	1.28E-01
F007	1.12E+00	1.12E+00
F008	8.65E-02	8.65E-02
F010	3.42E-01	3.42E-01
F011	3.27E-01	3.27E-01
F012	9.61E-02	9.61E-02
F013	2.76E-01	2.76E-01
F014	2.75E-01	2.75E-01
F015	5.84E-01	5.84E-01
F016	4.69E-01	4.69E-01
F017	5.78E-01	5.78E-01
F018	2.47E-01	2.48E-01
F019	1.60E-01	1.60E-01
F020	4.40E-01	4.40E-01
F021	2.55E-01	2.55E-01
F022	6.63E-01	6.63E-01
F023	2.94E-02	2.94E-02
F024	2.00E-01	2.00E-01
F026	7.80E-01	7.79E-01
F027	1.93E-01	1.93E-01
F029	4.41E-01	4.42E-01
F031	7.14E-01	7.15E-01
F034	4.57E-01	4.57E-01
F036	5.37E-01	5.37E-01
F037	9.13E-02	9.03E-02
F038	3.56E-01	3.56E-01
F039	4.29E-01	4.29E-01
F041	5.36E-01	5.36E-01
F042	4.79E-01	4.79E-01
F043	3.94E-01	3.94E-01
F044	2.55E-01	2.55E-01
F045	3.28E-01	3.28E-01
F046	8.57E-02	8.57E-02
F048	1.31E-01	1.31E-01
F050	7.22E-02	7.20E-02
F052	1.34E-01	1.34E-01
F053	2.42E-01	2.42E-01
F054	2.63E-01	2.63E-01
F055	1.01E+00	1.01E+00
F056	2.06E-02	2.06E-02
F057	6.03E-01	6.03E-01
F058	7.96E-01	7.96E-01
F059	3.79E-01	3.79E-01
F059r	8.15E-01	8.14E-01
SJ01	2.85E+00	2.85E+00
SJ02	2.72E-01	2.72E-01
SJ03	4.26E-01	4.26E-01
SJ04	1.72E-02	1.72E-02
SJ08	4.50E-01	4.50E-01
SJ09	5.30E-01	5.31E-01
SJ10	3.93E-01	3.93E-01
SJ12	4.60E-01	4.60E-01
SJ13	1.04E-01	1.04E-01
SJ14	1.70E-01	1.70E-01
SJ17	3.99E-01	3.99E-01
SJ18	1.94E-01	1.93E-01
SJ19	3.35E-01	3.35E-01
SJ20	9.20E-01	9.21E-01
SJ25	2.30E-01	2.30E-01
SJ28	1.48E+00	1.48E+00
SJ31	1.29E+00	1.29E+00
SJ32	8.34E-01	8.34E-01
SJ33	3.07E-01	3.07E-01
T135	1.47E+00	1.47E+00
