NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	36.353	133.796	7.481	82.809	1.524	0.444	40000.0
2	36.702	133.762	7.78	82.837	1.525	0.454	60000.0
3	36.108	132.218	7.414	81.985	1.52	0.465	40000.0
4	36.454	133.073	7.651	82.377	1.472	0.464	60000.0
5	35.965	132.092	7.488	82.483	1.5	0.455	40000.0
6	37.044	135.287	7.662	82.993	1.566	0.445	40000.0
7	37.496	134.51	7.898	83.231	1.551	0.45	40000.0
8	36.046	131.522	7.545	81.946	1.462	0.472	40000.0
9	36.312	133.201	7.514	82.641	1.51	0.451	40000.0
10	36.89	133.058	7.671	82.266	1.479	0.466	40000.0
11	36.582	132.664	7.571	82.325	1.517	0.457	80000.0
12	36.996	134.125	7.871	82.637	1.52	0.46	40000.0
13	36.14	131.96	7.614	82.211	1.462	0.466	40000.0
14	37.171	132.508	7.671	82.466	1.48	0.462	60000.0
15	37.076	132.073	7.676	81.598	1.495	0.475	40000.0
16	37.55	134.35	7.887	82.699	1.54	0.463	60000.0
17	35.861	129.887	7.446	80.382	1.465	0.495	40000.0
18	36.811	132.092	7.688	81.866	1.486	0.476	60000.0
19	36.933	132.144	7.742	82.62	1.466	0.465	60000.0
20	37.116	133.08	7.627	82.277	1.493	0.461	60000.0
21	36.871	132.677	7.614	82.334	1.486	0.462	40000.0
22	37.075	133.821	7.756	82.932	1.502	0.456	40000.0
23	36.087	132.934	7.593	82.132	1.523	0.461	40000.0
24	37.333	134.515	7.797	82.417	1.495	0.466	60000.0
25	36.452	133.298	7.683	82.323	1.517	0.462	60000.0
26	36.974	134.827	7.668	82.822	1.529	0.451	40000.0
27	35.437	130.239	7.386	80.68	1.446	0.489	60000.0
28	37.797	133.477	7.976	82.508	1.55	0.459	80000.0
29	36.586	130.286	7.652	81.418	1.457	0.484	40000.0
30	37.41	134.209	7.752	82.615	1.483	0.463	60000.0
31	37.109	133.008	7.559	82.658	1.495	0.453	40000.0
32	36.113	131.58	7.454	81.775	1.479	0.468	60000.0
33	36.948	133.051	7.535	82.289	1.499	0.463	40000.0
34	36.826	134.384	7.683	83.047	1.563	0.442	40000.0
