Samples	ID83A	ID83B	ID83C
C001	4.50E-01	5.96E-01	6.55E-01
C002	7.52E-01	9.58E-01	1.07E+00
C003	2.17E-01	3.08E-01	3.39E-01
C004	1.69E-01	2.29E-01	2.46E-01
C005	6.67E-01	9.72E-01	7.53E-01
C006	3.54E-01	3.90E-01	4.64E-01
C007	7.74E-01	9.75E-01	9.02E-01
C008	2.31E-02	5.95E-02	5.79E-02
C009	1.03E+00	1.27E+00	1.26E+00
C010	1.83E-01	2.26E-01	1.48E-01
C010r	2.59E-01	2.07E-01	2.39E-01
C011	1.86E-01	2.50E-01	2.70E-01
C013	2.35E-01	1.89E-01	3.02E-01
C014	2.52E-01	2.96E-01	3.79E-01
F001	2.62E-01	2.44E-01	2.06E-01
F002	1.89E-01	2.19E-01	2.69E-01
F002r	8.20E-01	7.39E-01	8.54E-01
F004	2.63E-01	4.14E-01	3.87E-01
F005	7.29E-02	2.47E-01	2.41E-01
F006	7.27E-02	7.55E-02	1.01E-01
F007	6.76E-01	1.43E+00	1.36E+00
F008	2.54E-02	2.36E-01	2.38E-01
F010	2.99E-01	3.27E-01	2.64E-01
F011	2.70E-01	3.63E-01	3.64E-01
F012	5.26E-02	1.82E-01	1.89E-01
F013	9.54E-02	2.88E-01	2.83E-01
F014	1.57E-01	4.64E-01	4.50E-01
F015	5.11E-01	6.60E-01	6.42E-01
F016	3.61E-01	5.52E-01	4.47E-01
F017	5.33E-01	6.94E-01	6.00E-01
F018	2.49E-01	2.20E-01	2.51E-01
F019	6.61E-02	1.85E-01	1.85E-01
F020	2.81E-01	7.08E-01	6.83E-01
F021	2.12E-01	2.44E-01	2.31E-01
F022	4.49E-01	7.69E-01	7.63E-01
F023	0.00E+00	5.92E-02	5.92E-02
F024	1.50E-01	1.29E-01	1.85E-01
F026	6.02E-01	9.41E-01	8.49E-01
F027	1.98E-01	1.99E-01	1.72E-01
F029	3.15E-01	4.83E-01	4.08E-01
F031	6.31E-01	6.79E-01	6.96E-01
F034	2.66E-01	2.70E-01	3.65E-01
F036	3.63E-01	7.35E-01	6.98E-01
F037	1.13E-01	8.73E-02	9.64E-02
F038	2.00E-01	2.91E-01	3.39E-01
F039	3.31E-01	3.76E-01	4.31E-01
F041	3.72E-01	6.75E-01	6.94E-01
F042	4.70E-01	6.29E-01	5.81E-01
F043	3.38E-01	4.74E-01	4.58E-01
F044	2.15E-01	3.74E-01	3.72E-01
F045	2.51E-01	5.68E-01	5.39E-01
F046	9.36E-02	6.82E-02	9.09E-02
F048	5.00E-03	1.76E-01	1.75E-01
F050	8.59E-02	8.53E-02	1.58E-02
F052	1.34E-01	9.96E-02	1.46E-01
F053	1.77E-01	2.16E-01	2.30E-01
F054	1.66E-01	3.04E-01	3.08E-01
F055	7.85E-01	1.11E+00	8.28E-01
F056	4.08E-02	3.97E-02	1.00E-02
F057	5.07E-01	6.67E-01	6.70E-01
F058	6.70E-01	1.15E+00	1.13E+00
F059	1.67E-01	4.27E-01	4.32E-01
F059r	5.06E-01	8.01E-01	6.41E-01
SJ01	3.29E+00	3.33E+00	1.39E+00
SJ02	2.47E-01	2.69E-01	2.32E-01
SJ03	4.46E-01	5.05E-01	5.95E-01
SJ04	1.12E-02	6.88E-02	6.91E-02
SJ08	3.82E-01	4.24E-01	4.92E-01
SJ09	3.17E-01	4.19E-01	4.60E-01
SJ10	3.09E-01	3.49E-01	3.73E-01
SJ12	3.81E-01	4.58E-01	4.69E-01
SJ13	1.13E-01	1.15E-01	4.74E-02
SJ14	1.51E-01	1.61E-01	1.70E-01
SJ17	3.12E-01	4.85E-01	5.68E-01
SJ18	2.07E-01	1.62E-01	2.02E-01
SJ19	1.75E-01	4.51E-01	4.54E-01
SJ20	5.90E-01	1.35E+00	1.29E+00
SJ25	1.74E-01	2.70E-01	2.78E-01
SJ28	9.85E-01	1.37E+00	1.47E+00
SJ31	6.03E-01	5.86E-01	8.34E-01
SJ32	9.59E-01	9.08E-01	9.13E-01
SJ33	2.16E-01	3.60E-01	3.39E-01
T135	2.61E+00	1.10E+00	2.42E+00
