MutationType	ID83A	ID83B	ID83C
1:Del:C:0	9.20E-04	1.06E-03	1.37E-03
1:Del:C:1	8.33E-04	1.06E-03	7.49E-04
1:Del:C:2	3.42E-04	6.34E-04	4.36E-04
1:Del:C:3	2.59E-04	2.46E-04	2.46E-04
1:Del:C:4	2.51E-04	3.31E-04	3.43E-04
1:Del:C:5	8.57E-05	3.91E-04	4.16E-04
1:Del:T:0	1.47E-03	1.69E-03	1.00E-03
1:Del:T:1	9.64E-04	9.40E-04	5.56E-04
1:Del:T:2	7.37E-04	7.18E-04	8.27E-04
1:Del:T:3	2.59E-04	7.91E-04	9.71E-04
1:Del:T:4	2.11E-04	7.87E-04	7.60E-04
1:Del:T:5	1.20E-04	1.98E-03	1.86E-03
1:Ins:C:0	2.86E-04	1.07E-03	1.21E-03
1:Ins:C:1	4.33E-04	5.16E-04	4.63E-04
1:Ins:C:2	1.82E-04	2.34E-04	3.31E-04
1:Ins:C:3	6.24E-05	3.09E-04	1.88E-04
1:Ins:C:4	1.08E-04	1.85E-04	2.68E-04
1:Ins:C:5	3.58E-04	5.53E-04	3.87E-04
1:Ins:T:0	5.25E-04	1.08E-03	2.11E-03
1:Ins:T:1	9.16E-04	6.81E-04	1.13E-03
1:Ins:T:2	4.18E-04	3.80E-04	5.57E-04
1:Ins:T:3	3.18E-04	5.62E-04	4.97E-04
1:Ins:T:4	4.53E-05	3.11E-04	3.04E-04
1:Ins:T:5	9.49E-04	2.25E-03	2.09E-03
2:Del:R:0	5.31E-04	7.01E-04	9.24E-04
2:Del:R:1	5.46E-04	2.08E-03	2.47E-03
2:Del:R:2	1.65E-04	6.63E-04	7.16E-04
2:Del:R:3	2.36E-04	1.67E-04	2.88E-04
2:Del:R:4	1.07E-04	1.02E-04	8.55E-05
2:Del:R:5	7.74E-06	1.87E-04	1.70E-04
3:Del:R:0	3.50E-04	2.76E-04	5.09E-04
3:Del:R:1	2.63E-04	1.10E-03	1.20E-03
3:Del:R:2	4.62E-05	3.04E-04	4.71E-04
3:Del:R:3	6.17E-05	2.39E-04	3.49E-04
3:Del:R:4	3.93E-05	1.24E-04	1.17E-04
3:Del:R:5	1.09E-04	6.15E-05	8.75E-05
4:Del:R:0	2.56E-04	2.37E-04	2.22E-04
4:Del:R:1	3.36E-04	4.36E-04	6.64E-04
4:Del:R:2	1.69E-05	2.76E-04	3.87E-04
4:Del:R:3	1.15E-04	5.91E-05	1.49E-04
4:Del:R:4	1.91E-08	3.68E-08	4.46E-08
4:Del:R:5	1.91E-08	3.68E-08	4.46E-08
5:Del:R:0	8.72E-04	6.96E-04	8.45E-04
5:Del:R:1	3.52E-04	4.29E-04	7.19E-04
5:Del:R:2	1.48E-04	1.01E-04	2.30E-04
5:Del:R:3	1.34E-04	8.20E-05	1.71E-04
5:Del:R:4	5.37E-05	3.64E-05	5.94E-05
5:Del:R:5	1.91E-08	3.68E-08	4.46E-08
2:Ins:R:0	2.05E-04	8.61E-04	1.25E-03
2:Ins:R:1	3.64E-04	5.05E-04	6.85E-04
2:Ins:R:2	2.57E-04	1.85E-04	1.41E-04
2:Ins:R:3	2.08E-04	1.80E-04	2.68E-04
2:Ins:R:4	1.23E-04	1.85E-04	1.82E-04
2:Ins:R:5	2.61E-04	2.72E-04	2.48E-04
3:Ins:R:0	2.21E-04	3.36E-04	4.76E-04
3:Ins:R:1	2.57E-04	1.46E-04	1.85E-04
3:Ins:R:2	6.77E-05	1.91E-04	9.82E-05
3:Ins:R:3	1.91E-08	3.68E-08	4.46E-08
3:Ins:R:4	8.82E-05	3.13E-05	4.09E-05
3:Ins:R:5	7.68E-05	1.49E-04	1.33E-04
4:Ins:R:0	2.42E-04	3.24E-04	4.94E-04
4:Ins:R:1	3.10E-04	3.90E-04	2.99E-04
4:Ins:R:2	7.18E-05	7.98E-05	6.29E-05
4:Ins:R:3	8.52E-05	1.30E-04	1.19E-04
4:Ins:R:4	1.67E-04	1.19E-04	1.37E-04
4:Ins:R:5	2.86E-04	3.17E-04	5.14E-04
5:Ins:R:0	6.90E-04	3.86E-04	5.76E-04
5:Ins:R:1	3.96E-04	8.35E-04	9.67E-04
5:Ins:R:2	1.68E-04	6.88E-05	1.99E-04
5:Ins:R:3	7.11E-05	1.65E-04	2.16E-04
5:Ins:R:4	2.06E-04	1.47E-04	1.04E-04
5:Ins:R:5	1.39E-04	8.25E-05	1.72E-04
2:Del:M:1	5.50E-04	1.24E-03	1.53E-03
3:Del:M:1	4.01E-04	3.13E-04	2.34E-04
3:Del:M:2	3.54E-04	8.97E-04	1.04E-03
4:Del:M:1	3.42E-04	4.59E-04	4.59E-04
4:Del:M:2	2.30E-04	3.26E-04	5.46E-04
4:Del:M:3	3.23E-04	6.76E-04	8.91E-04
5:Del:M:1	9.42E-04	9.69E-04	8.32E-04
5:Del:M:2	1.01E-03	1.03E-03	4.81E-04
5:Del:M:3	6.51E-04	4.39E-04	5.23E-04
5:Del:M:4	5.08E-04	5.13E-04	6.48E-04
5:Del:M:5	5.18E-04	7.38E-04	9.53E-04
