Samples	ID83A	ID83B	ID83C	ID83D
C001	12	4	9	14
C002	15	0	25	36
C003	0	0	10	13
C004	0	3	0	7
C005	9	17	50	0
C006	5	18	3	3
C007	7	51	13	0
C008	0	0	2	0
C009	15	75	7	0
C010	1	0	9	0
C010r	4	4	0	3
C011	0	0	9	3
C013	1	0	0	16
C014	0	15	0	2
F001	7	0	6	2
F002	0	7	0	2
F002r	30	27	1	7
F004	3	1	5	10
F005	0	0	4	7
F006	0	0	0	5
F007	4	20	84	10
F008	0	2	5	2
F010	4	0	11	2
F011	0	12	4	2
F012	0	7	0	1
F013	0	0	5	8
F014	0	21	0	0
F015	10	29	9	0
F016	1	18	7	0
F017	6	0	35	14
F018	4	0	2	6
F019	0	4	0	4
F020	0	28	4	0
F021	2	0	5	4
F022	0	33	4	4
F023	0	0	2	0
F024	1	0	1	7
F026	6	21	33	0
F027	2	0	5	3
F029	0	5	25	0
F031	18	7	11	24
F034	1	0	0	16
F036	0	0	30	18
F037	5	0	0	0
F038	0	0	0	17
F039	2	1	12	8
F041	1	34	4	7
F042	2	34	0	1
F043	5	19	0	0
F044	0	8	5	3
F045	0	28	0	0
F046	0	3	0	0
F048	0	0	3	6
F050	1	0	2	0
F052	1	0	1	4
F053	1	5	0	7
F054	0	1	8	6
F055	5	0	74	2
F056	4	0	0	0
F057	5	24	11	5
F058	8	57	23	6
F059	0	0	17	7
F059r	4	12	33	0
SJ01	169	0	94	0
SJ02	7	1	4	2
SJ03	18	7	9	7
SJ04	0	1	0	1
SJ08	6	0	14	5
SJ09	0	0	5	19
SJ10	2	8	3	7
SJ12	5	11	8	0
SJ13	4	0	0	0
SJ14	2	1	3	1
SJ17	7	10	0	10
SJ18	4	0	0	5
SJ19	0	0	14	14
SJ20	0	70	0	12
SJ25	2	2	4	7
SJ28	21	50	0	66
SJ31	3	0	0	62
SJ32	61	0	33	11
SJ33	2	10	2	4
T135	423	27	0	33
