Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	39	0.684	37.793	96.905%	6.588	73.2%	0.8198	0.561
C002	76	0.847	49.409	65.012%	7.961	53.431%	0.48376	0.769
C003	23	0.826	20.737	90.161%	3.732	58.284%	0.74098	0.798
C004	10	0.414	14.949	149.49%	2.948	93.224%	2.16272	0.282
C005	76	0.896	51.566	67.85%	8.129	44.48%	0.42081	0.866
C006	29	0.724	29.645	102.224%	5.028	69.065%	0.87815	0.643
C007	71	0.848	49.471	69.677%	7.672	53.068%	0.49246	0.778
C008	2	0.557	3.197	159.85%	1.207	85.348%	2.18409	0.55
C009	97	0.869	60.919	62.803%	10.133	49.622%	0.39087	0.815
C010	10	0.67	12.657	126.57%	2.571	74.218%	1.69155	0.623
C010r	11	0.478	17.097	155.427%	3.622	87.846%	1.96099	0.396
C011	12	0.588	17.707	147.558%	3.618	80.901%	1.80367	0.533
C013	17	0.784	20.276	119.271%	4.349	66.322%	0.99718	0.776
C014	17	0.678	19.579	115.171%	3.69	73.8%	1.13917	0.613
F001	15	0.501	19.866	132.44%	3.992	87.113%	1.52886	0.383
F002	9	0.403	14.159	157.322%	3.047	91.871%	2.18878	0.292
F002r	65	0.741	55.537	85.442%	9.497	67.322%	0.62962	0.63
F004	19	0.576	23.234	122.284%	4.117	82.34%	1.1749	0.444
F005	11	0.617	13.599	123.627%	2.841	78.795%	1.21045	0.551
F006	5	0.765	6.912	138.24%	1.938	73.25%	1.63814	0.78
F007	118	0.908	59.987	50.836%	10.91	42.661%	0.26703	0.876
F008	9	0.536	13.705	152.278%	3.049	84.564%	1.85756	0.48
F010	17	0.669	21.99	129.353%	4.15	74.536%	1.28465	0.615
F011	18	0.583	23.127	128.483%	4.304	81.338%	1.26964	0.483
F012	8	0.722	10.882	136.025%	2.347	74.219%	1.31088	0.727
F013	13	0.587	15.962	122.785%	3.337	80.934%	1.40463	0.506
F014	21	0.633	25.218	120.086%	4.32	77.589%	1.31378	0.529
F015	48	0.811	37.231	77.565%	5.761	58.798%	0.59077	0.721
F016	26	0.765	26.619	102.381%	4.589	64.898%	0.91788	0.713
F017	55	0.912	34.138	62.069%	5.328	41.478%	0.44008	0.887
F018	12	0.581	15.56	129.667%	2.82	81.406%	1.36516	0.476
F019	8	0.641	10.686	133.575%	2.199	77.746%	1.60945	0.597
F020	32	0.768	34.813	108.791%	6.066	65.411%	0.98523	0.73
F021	11	0.656	15.089	137.173%	3.192	77.417%	1.27277	0.629
F022	41	0.743	37.447	91.334%	6.001	67.517%	0.83274	0.635
F023	2	0.584	3.159	157.95%	1.191	84.216%	1.9658	0.58
F024	9	0.696	11.925	132.5%	2.45	73.87%	1.39709	0.67
F026	60	0.808	47.403	79.005%	8.702	58.937%	0.57173	0.753
F027	10	0.594	13.081	130.81%	2.543	80.417%	1.37802	0.515
F029	30	0.771	32.065	106.883%	5.975	63.694%	0.89542	0.733
F031	60	0.852	37.856	63.093%	5.768	53.099%	0.4829	0.76
F034	17	0.569	21.723	127.782%	4.325	83.235%	1.15572	0.48
F036	48	0.822	37.964	79.092%	5.972	58.005%	0.63748	0.753
