Samples	ID83A	ID83B	ID83C	ID83D	ID83E
C001	0	6	0	24	9
C002	20	0	25	0	31
C003	1	0	10	0	12
C004	0	3	0	1	6
C005	18	7	51	0	0
C006	6	14	6	0	3
C007	8	37	12	14	0
C008	0	0	1	1	0
C009	26	54	17	0	0
C010	0	0	6	4	0
C010r	6	3	0	0	2
C011	0	0	5	5	2
C013	1	0	0	0	16
C014	0	15	0	1	1
F001	4	0	3	7	1
F002	0	9	0	0	0
F002r	28	19	0	14	4
F004	0	1	1	9	8
F005	0	0	2	4	5
F006	0	0	0	0	5
F007	14	9	86	0	9
F008	0	4	3	2	0
F010	0	0	5	11	1
F011	0	10	3	4	1
F012	0	8	0	0	0
F013	0	0	5	0	8
F014	0	18	2	0	1
F015	15	22	11	0	0
F016	1	13	4	8	0
F017	4	0	29	10	12
F018	0	0	0	8	4
F019	0	3	1	0	4
F020	0	26	6	0	0
F021	0	0	2	5	4
F022	0	28	5	4	4
F023	0	0	1	1	0
F024	0	0	0	2	7
F026	13	6	38	0	3
F027	2	0	5	0	3
F029	0	3	27	0	0
F031	21	6	12	2	19
F034	3	0	0	0	14
F036	1	0	31	0	16
F037	0	0	0	5	0
F038	1	0	0	0	16
F039	0	2	5	11	5
F041	0	26	0	15	5
F042	7	30	0	0	0
F043	6	17	0	1	0
F044	1	5	7	0	3
F045	0	24	2	2	0
F046	0	3	0	0	0
F048	0	0	3	0	6
F050	2	0	1	0	0
F052	1	0	1	0	4
F053	2	4	0	0	7
F054	0	2	7	1	5
F055	12	0	68	0	1
F056	3	0	0	1	0
F057	0	19	2	22	2
F058	3	43	20	21	7
F059	0	0	11	7	6
F059r	0	5	18	26	0
SJ01	25	0	0	238	0
SJ02	1	1	0	11	1
SJ03	5	6	0	26	4
SJ04	0	2	0	0	0
SJ08	4	1	11	6	3
SJ09	0	0	4	4	16
SJ10	4	6	4	0	6
SJ12	0	7	0	17	0
SJ13	2	0	0	2	0
SJ14	3	0	3	0	1
SJ17	6	10	0	3	8
SJ18	2	0	0	3	4
SJ19	0	0	14	0	14
SJ20	1	70	0	0	11
SJ25	0	2	1	6	6
SJ28	30	51	0	0	56
SJ31	3	0	0	2	60
SJ32	43	0	19	38	5
SJ33	0	9	0	6	3
T135	459	3	3	0	18
