MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	1.32E-03	2.23E-03	1.35E-03	2.21E-03	2.11E-03
1:Del:C:1	1.23E-03	1.50E-03	1.70E-03	2.29E-03	8.19E-04
1:Del:C:2	3.17E-04	9.09E-04	1.22E-03	1.20E-03	2.32E-04
1:Del:C:3	2.99E-04	4.60E-04	3.21E-04	4.11E-04	2.35E-04
1:Del:C:4	2.28E-04	4.75E-04	3.93E-04	5.57E-04	6.62E-04
1:Del:C:5	1.39E-04	5.45E-04	6.38E-04	6.59E-04	6.67E-04
1:Del:T:0	3.34E-03	1.31E-03	1.97E-03	5.62E-03	1.26E-03
1:Del:T:1	2.02E-03	1.00E-03	1.09E-03	3.00E-03	6.95E-04
1:Del:T:2	1.09E-03	1.42E-03	9.40E-04	1.42E-03	6.68E-04
1:Del:T:3	3.40E-04	1.84E-03	1.14E-03	1.32E-03	1.59E-03
1:Del:T:4	1.43E-04	1.17E-03	1.36E-03	1.38E-03	1.19E-03
1:Del:T:5	1.94E-08	2.99E-03	3.70E-03	2.34E-03	8.84E-04
1:Ins:C:0	3.44E-04	2.66E-03	1.74E-03	2.34E-03	2.21E-03
1:Ins:C:1	4.63E-04	6.37E-04	9.05E-04	1.01E-03	7.77E-04
1:Ins:C:2	2.39E-04	4.04E-04	4.12E-04	4.13E-04	4.45E-04
1:Ins:C:3	6.36E-05	4.20E-04	6.28E-04	4.80E-04	1.08E-04
1:Ins:C:4	1.55E-04	4.39E-04	2.39E-04	2.97E-04	2.81E-04
1:Ins:C:5	2.28E-04	6.65E-04	7.57E-04	8.77E-04	3.55E-04
1:Ins:T:0	7.95E-04	2.01E-03	7.12E-04	1.57E-03	3.36E-03
1:Ins:T:1	1.43E-03	2.09E-03	7.05E-04	2.22E-03	1.69E-03
1:Ins:T:2	6.74E-04	7.42E-04	4.79E-04	7.51E-04	8.31E-04
1:Ins:T:3	3.83E-04	8.20E-04	9.76E-04	9.56E-04	7.97E-04
1:Ins:T:4	2.74E-05	4.71E-04	5.12E-04	3.83E-04	4.17E-04
1:Ins:T:5	8.34E-04	3.99E-03	4.54E-03	4.83E-03	1.59E-03
2:Del:R:0	7.43E-04	1.48E-03	1.09E-03	1.43E-03	1.38E-03
2:Del:R:1	9.92E-04	3.88E-03	2.09E-03	2.38E-03	2.69E-03
