MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	2.08E-03	1.80E-03	2.08E-03	2.18E-03	2.18E-03	2.71E-03
1:Del:C:1	1.36E-03	1.61E-03	2.41E-03	1.70E-03	2.46E-03	7.70E-04
1:Del:C:2	3.44E-04	1.43E-03	1.13E-03	8.16E-04	1.22E-03	5.49E-04
1:Del:C:3	3.53E-04	3.61E-04	4.13E-04	4.82E-04	4.77E-04	1.92E-04
1:Del:C:4	2.41E-04	4.35E-04	5.96E-04	4.95E-04	6.92E-04	6.74E-04
1:Del:C:5	1.87E-04	7.71E-04	4.68E-04	5.47E-04	8.77E-04	6.49E-04
1:Del:T:0	3.00E-03	1.43E-03	4.34E-03	1.41E-03	2.10E-03	1.37E-03
1:Del:T:1	2.30E-03	8.84E-04	3.04E-03	8.92E-04	1.42E-03	6.23E-04
1:Del:T:2	1.59E-03	1.16E-03	1.27E-03	1.84E-03	1.55E-03	5.38E-04
1:Del:T:3	6.42E-04	1.45E-03	9.58E-04	2.15E-03	1.09E-03	1.59E-03
1:Del:T:4	2.38E-04	1.75E-03	1.22E-03	1.26E-03	1.34E-03	1.49E-03
1:Del:T:5	6.78E-04	4.17E-03	2.44E-03	2.49E-03	2.26E-03	1.66E-03
1:Ins:C:0	9.11E-04	1.85E-03	1.36E-03	2.59E-03	3.71E-03	2.70E-03
1:Ins:C:1	6.82E-04	8.92E-04	9.00E-04	7.11E-04	1.51E-03	9.10E-04
1:Ins:C:2	4.19E-04	4.49E-04	2.64E-04	4.61E-04	4.98E-04	5.15E-04
1:Ins:C:3	6.62E-05	7.54E-04	4.20E-04	2.05E-04	7.17E-04	1.69E-04
1:Ins:C:4	2.36E-04	3.00E-04	1.75E-04	4.19E-04	4.78E-04	2.89E-04
1:Ins:C:5	2.61E-04	8.46E-04	8.05E-04	7.03E-04	1.03E-03	4.04E-04
1:Ins:T:0	1.18E-03	8.54E-04	7.88E-04	2.29E-03	2.31E-03	4.07E-03
1:Ins:T:1	2.13E-03	8.48E-04	1.80E-03	2.12E-03	2.56E-03	2.15E-03
1:Ins:T:2	7.85E-04	5.30E-04	6.96E-04	8.52E-04	1.01E-03	9.90E-04
1:Ins:T:3	6.06E-04	1.23E-03	8.99E-04	7.50E-04	1.25E-03	8.97E-04
1:Ins:T:4	1.19E-04	5.61E-04	3.17E-04	5.19E-04	6.92E-04	3.86E-04
1:Ins:T:5	7.95E-04	5.33E-03	4.60E-03	2.59E-03	6.65E-03	1.45E-03
2:Del:R:0	1.13E-03	1.19E-03	1.31E-03	1.72E-03	1.68E-03	1.65E-03
2:Del:R:1	1.43E-03	2.19E-03	1.32E-03	4.20E-03	3.01E-03	1.89E-03
2:Del:R:2	5.36E-04	1.19E-03	8.78E-04	1.38E-03	1.80E-03	5.08E-04
2:Del:R:3	4.06E-04	2.20E-04	3.79E-04	3.80E-04	5.58E-04	3.69E-04
2:Del:R:4	6.59E-05	1.80E-04	1.72E-04	1.85E-04	1.53E-04	1.45E-04
2:Del:R:5	3.18E-05	3.64E-04	1.28E-04	3.62E-04	2.79E-04	1.83E-04
3:Del:R:0	6.88E-04	2.83E-04	8.73E-04	6.31E-04	8.31E-04	1.00E-03
3:Del:R:1	8.89E-04	2.40E-03	1.13E-03	2.58E-03	3.00E-03	1.49E-03
3:Del:R:2	3.46E-04	3.99E-04	2.57E-04	8.76E-04	6.85E-04	8.49E-04
3:Del:R:3	2.17E-04	2.41E-04	3.29E-04	5.12E-04	7.23E-04	6.10E-04
3:Del:R:4	8.50E-05	1.82E-04	1.18E-04	2.25E-04	2.40E-04	1.36E-04
3:Del:R:5	1.65E-04	9.45E-05	1.42E-04	1.52E-04	1.33E-04	1.02E-04
4:Del:R:0	6.22E-04	4.30E-04	4.13E-04	4.91E-04	6.03E-04	3.31E-04
4:Del:R:1	9.87E-04	6.26E-04	8.46E-04	1.01E-03	1.44E-03	1.17E-03
4:Del:R:2	2.16E-04	4.39E-04	2.49E-04	8.41E-04	4.94E-04	4.22E-04
4:Del:R:3	1.84E-04	5.11E-05	1.36E-04	1.44E-04	1.82E-04	2.69E-04
4:Del:R:4	6.12E-08	7.00E-08	8.30E-08	6.93E-08	9.81E-08	6.74E-08
4:Del:R:5	6.12E-08	7.00E-08	8.30E-08	6.93E-08	9.81E-08	6.74E-08
5:Del:R:0	2.09E-03	1.19E-03	1.49E-03	1.63E-03	1.43E-03	1.14E-03
