Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
C001	3.08E-01	6.11E-01	4.60E-01	6.97E-01	4.68E-01	5.67E-01	5.32E-01
C002	7.05E-01	6.04E-01	1.04E+00	7.50E-01	8.55E-01	9.38E-01	8.94E-01
C003	2.06E-01	1.93E-01	3.20E-01	3.19E-01	2.71E-01	2.82E-01	1.84E-01
C004	1.16E-01	9.99E-02	1.40E-01	1.77E-01	2.00E-01	1.88E-01	2.23E-01
C005	5.69E-01	8.50E-01	1.25E+00	7.66E-01	1.22E+00	2.71E-01	6.85E-01
C006	2.95E-01	3.13E-01	4.03E-01	4.82E-01	3.66E-01	2.97E-01	4.28E-01
C007	6.91E-01	6.94E-01	1.00E+00	9.91E-01	1.08E+00	3.15E-01	8.95E-01
C008	5.00E-03	3.41E-02	5.67E-02	2.10E-02	6.01E-02	4.75E-02	4.73E-02
C009	1.14E+00	6.76E-01	1.23E+00	1.44E+00	9.64E-01	5.59E-01	9.98E-01
C010	1.02E-01	2.21E-01	2.19E-01	1.13E-01	2.28E-01	7.25E-02	1.74E-01
C010r	2.75E-01	1.11E-01	1.15E-01	2.38E-01	1.76E-01	1.58E-01	2.35E-01
C011	8.91E-02	1.24E-01	1.55E-01	1.55E-01	2.83E-01	1.84E-01	2.29E-01
C013	7.96E-02	1.46E-01	7.07E-02	1.59E-01	1.31E-01	3.21E-01	2.25E-01
C014	1.72E-01	1.68E-01	1.55E-01	3.05E-01	3.26E-01	2.13E-01	3.60E-01
F001	2.48E-01	2.89E-01	2.01E-01	1.37E-01	2.74E-01	1.76E-01	3.07E-01
F002	9.87E-02	8.17E-02	1.39E-01	1.97E-01	1.32E-01	1.77E-01	2.35E-01
F002r	1.16E+00	9.72E-01	6.38E-01	6.92E-01	7.34E-01	4.18E-01	1.13E+00
F004	2.35E-01	1.84E-01	2.01E-01	3.35E-01	3.33E-01	3.02E-01	4.11E-01
