MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	1.91E-03	2.31E-03	1.76E-03	2.50E-03	2.24E-03	3.05E-03	3.11E-03
1:Del:C:1	1.34E-03	2.58E-03	1.44E-03	1.48E-03	2.47E-03	7.13E-04	1.70E-03
1:Del:C:2	2.88E-04	1.19E-03	1.51E-03	1.06E-03	1.43E-03	4.42E-04	1.03E-03
1:Del:C:3	4.15E-04	4.45E-04	3.77E-04	5.25E-04	5.16E-04	7.30E-05	4.75E-04
1:Del:C:4	2.43E-04	6.29E-04	4.46E-04	5.65E-04	6.41E-04	6.43E-04	7.64E-04
1:Del:C:5	1.11E-04	5.78E-04	7.79E-04	6.55E-04	8.27E-04	8.32E-04	8.92E-04
1:Del:T:0	2.84E-03	4.65E-03	1.89E-03	1.54E-03	2.23E-03	1.17E-03	2.18E-03
1:Del:T:1	2.27E-03	3.34E-03	1.28E-03	8.15E-04	1.51E-03	7.42E-04	2.13E-03
1:Del:T:2	1.53E-03	1.32E-03	1.21E-03	1.88E-03	1.80E-03	6.03E-04	2.23E-03
1:Del:T:3	5.22E-04	7.01E-04	1.53E-03	2.24E-03	1.40E-03	2.03E-03	1.82E-03
1:Del:T:4	1.66E-05	1.35E-03	1.87E-03	1.55E-03	1.88E-03	1.52E-03	1.46E-03
1:Del:T:5	4.96E-04	2.11E-03	5.18E-03	2.25E-03	3.87E-03	7.99E-04	2.73E-03
1:Ins:C:0	4.37E-04	1.06E-03	1.83E-03	2.81E-03	3.63E-03	2.74E-03	4.55E-03
1:Ins:C:1	6.32E-04	9.85E-04	7.32E-04	4.07E-04	1.37E-03	1.16E-03	1.68E-03
1:Ins:C:2	3.02E-04	1.16E-04	5.20E-04	3.80E-04	5.02E-04	4.22E-04	7.92E-04
1:Ins:C:3	2.28E-04	4.84E-04	8.64E-04	3.63E-04	7.99E-04	9.19E-05	5.43E-04
1:Ins:C:4	2.68E-04	2.44E-04	3.38E-04	4.52E-04	4.31E-04	3.28E-04	5.55E-04
1:Ins:C:5	2.28E-04	1.04E-03	8.58E-04	7.77E-04	1.08E-03	3.72E-04	1.06E-03
1:Ins:T:0	8.19E-04	8.38E-04	7.25E-04	2.14E-03	1.90E-03	4.86E-03	2.91E-03
1:Ins:T:1	1.86E-03	2.11E-03	1.23E-03	2.44E-03	1.52E-03	2.06E-03	4.18E-03
1:Ins:T:2	7.65E-04	8.44E-04	5.95E-04	8.07E-04	1.12E-03	1.20E-03	1.13E-03
1:Ins:T:3	5.82E-04	9.75E-04	1.24E-03	6.89E-04	1.63E-03	1.02E-03	1.31E-03
