Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
C001	0	12	2	4	0	13	4	2	2
C002	19	2	10	3	9	0	16	0	17
C003	3	0	8	2	2	0	8	0	0
C004	0	0	0	0	0	0	4	6	0
C005	14	2	35	0	4	0	0	21	0
C006	0	3	7	8	0	10	1	0	0
C007	7	0	2	5	7	0	0	50	0
C008	0	0	0	0	2	0	0	0	0
C009	30	0	18	35	6	0	0	0	8
C010	0	3	3	0	4	0	0	0	0
C010r	5	0	0	0	0	0	1	5	0
C011	0	0	0	0	10	1	1	0	0
C013	0	2	0	0	0	0	15	0	0
C014	0	0	0	4	1	10	0	2	0
F001	0	1	2	0	0	12	0	0	0
F002	0	0	0	2	0	3	0	0	4
F002r	0	3	0	0	4	58	0	0	0
F004	0	1	0	0	1	0	0	0	17
F005	0	1	0	0	1	0	2	5	2
F006	0	0	0	0	0	0	5	0	0
F007	0	9	55	0	1	0	0	34	19
F008	0	0	0	0	4	0	0	0	5
F010	2	1	0	0	12	0	2	0	0
F011	1	0	0	5	7	0	1	0	4
F012	0	0	0	4	1	0	0	0	3
F013	0	0	2	0	1	0	3	0	7
F014	0	1	3	14	0	0	3	0	0
F015	11	0	6	11	9	11	0	0	0
F016	2	0	0	2	9	0	0	13	0
F017	5	5	15	0	19	0	10	0	1
F018	0	3	0	0	3	2	4	0	0
F019	0	0	2	3	0	0	3	0	0
F020	0	0	3	17	9	0	0	3	0
F021	2	0	0	0	6	0	3	0	0
F022	0	0	4	16	10	7	4	0	0
F023	0	0	0	0	2	0	0	0	0
F024	0	0	0	0	2	1	6	0	0
F026	10	4	32	6	0	0	1	0	7
F027	2	0	3	0	2	0	2	0	1
F029	0	0	24	5	0	1	0	0	0
F031	12	0	5	2	6	20	9	0	6
F034	0	0	0	0	0	0	1	0	16
F036	0	2	22	0	0	0	9	9	6
F037	0	5	0	0	0	0	0	0	0
F038	0	0	0	0	0	5	11	1	0
F039	0	1	0	2	14	2	4	0	0
F041	0	5	0	13	6	0	5	17	0
F042	8	0	0	23	4	0	2	0	0
F043	0	2	1	9	0	11	0	1	0
F044	0	0	4	0	0	0	0	0	12
F045	0	1	4	15	2	3	0	0	3
F046	0	0	0	3	0	0	0	0	0
F048	0	0	1	0	1	0	3	0	4
F050	1	0	0	0	2	0	0	0	0
F052	1	0	0	0	2	0	2	0	1
F053	3	0	2	4	0	0	4	0	0
F054	0	0	3	3	4	2	3	0	0
F055	6	6	41	0	22	0	0	0	6
F056	0	2	0	0	0	2	0	0	0
F057	0	6	0	6	11	0	0	11	11
F058	0	16	18	29	4	0	6	21	0
F059	0	0	1	0	15	0	3	0	5
F059r	0	2	1	0	29	0	0	17	0
SJ01	15	203	17	0	28	0	0	0	0
SJ02	2	4	0	0	3	1	1	3	0
SJ03	0	11	1	0	0	16	1	12	0
SJ04	0	0	0	0	0	0	0	0	2
SJ08	0	6	9	2	0	6	0	0	2
SJ09	0	0	0	0	4	0	7	1	12
SJ10	3	0	3	4	1	4	3	0	2
SJ12	0	4	0	0	4	0	0	16	0
SJ13	1	2	0	0	0	0	0	1	0
SJ14	0	0	3	0	0	4	0	0	0
SJ17	2	1	0	0	0	0	0	7	17
SJ18	0	5	0	0	0	0	4	0	0
SJ19	0	0	7	0	7	0	10	0	4
SJ20	1	3	6	54	4	3	11	0	0
SJ25	0	4	2	3	0	0	4	2	0
SJ28	28	0	7	41	0	0	33	0	28
SJ31	0	5	0	2	0	15	43	0	0
SJ32	15	24	13	0	6	46	1	0	0
SJ33	2	0	0	2	3	0	2	9	0
T135	381	41	0	0	0	51	10	0	0
