Samples	ID1	ID2	ID4	ID6	ID8	ID9	ID14	ID19	ID23
C001	0	0	0	0	0	0	13	0	26
C002	12	0	0	0	27	37	0	0	0
C003	0	4	9	0	6	0	4	0	0
C004	0	0	10	0	0	0	0	0	0
C005	11	17	15	0	15	18	0	0	0
C006	0	5	13	0	0	0	0	0	11
C007	11	0	35	0	25	0	0	0	0
C008	2	0	0	0	0	0	0	0	0
C009	9	10	42	0	36	0	0	0	0
C010	4	2	0	0	0	0	0	4	0
C010r	0	0	0	0	11	0	0	0	0
C011	12	0	0	0	0	0	0	0	0
C013	0	0	0	0	0	17	0	0	0
C014	0	0	10	0	0	0	0	7	0
F001	0	0	0	0	0	0	0	15	0
F002	0	0	9	0	0	0	0	0	0
F002r	0	0	0	0	0	65	0	0	0
F004	0	0	0	0	0	12	7	0	0
F005	0	0	0	0	0	0	6	0	5
F006	0	0	0	0	0	5	0	0	0
F007	10	24	21	18	0	0	21	0	24
F008	4	0	0	0	0	0	5	0	0
F010	8	0	0	0	9	0	0	0	0
F011	18	0	0	0	0	0	0	0	0
F012	0	0	5	0	0	0	3	0	0
F013	0	13	0	0	0	0	0	0	0
F014	0	0	21	0	0	0	0	0	0
F015	7	0	24	0	17	0	0	0	0
F016	5	0	9	0	7	5	0	0	0
F017	13	9	0	16	0	0	0	0	17
F018	0	0	0	0	0	0	5	7	0
F019	0	2	6	0	0	0	0	0	0
F020	7	0	25	0	0	0	0	0	0
F021	0	0	0	0	0	5	6	0	0
F022	9	0	32	0	0	0	0	0	0
F023	0	0	0	0	0	0	2	0	0
F024	0	0	0	0	0	0	0	9	0
F026	7	18	18	0	0	17	0	0	0
F027	2	2	0	0	0	0	0	6	0
F029	5	14	11	0	0	0	0	0	0
F031	0	0	19	0	16	25	0	0	0
F034	0	0	0	0	0	17	0	0	0
F036	0	15	0	0	0	15	18	0	0
F037	0	0	0	0	0	0	0	0	5
F038	0	0	0	0	0	17	0	0	0
F039	10	0	0	0	0	0	0	0	13
F041	7	0	23	0	0	0	0	0	16
F042	0	0	19	0	11	0	7	0	0
F043	0	0	11	0	0	8	5	0	0
F044	0	16	0	0	0	0	0	0	0
F045	3	3	16	0	0	6	0	0	0
F046	0	0	2	1	0	0	0	0	0
F048	0	0	0	0	0	0	9	0	0
F050	1	0	0	1	1	0	0	0	0
F052	1	0	0	0	0	0	0	5	0
F053	0	0	6	0	7	0	0	0	0
F054	5	0	10	0	0	0	0	0	0
F055	20	22	0	16	0	0	0	0	23
F056	0	0	0	0	0	0	0	1	3
F057	5	0	15	0	0	0	10	0	15
F058	12	11	42	0	0	29	0	0	0
F059	13	0	0	0	0	11	0	0	0
F059r	18	0	15	0	0	16	0	0	0
SJ01	34	0	0	39	0	0	0	0	190
SJ02	4	0	0	0	0	10	0	0	0
SJ03	4	0	0	0	0	0	0	13	24
SJ04	0	0	0	0	0	0	2	0	0
SJ08	4	7	0	0	0	14	0	0	0
SJ09	4	0	11	0	0	9	0	0	0
SJ10	0	0	10	0	0	10	0	0	0
SJ12	5	0	9	0	0	0	0	0	10
SJ13	0	0	0	0	2	0	0	0	2
SJ14	0	7	0	0	0	0	0	0	0
SJ17	0	0	14	0	0	8	5	0	0
SJ18	0	0	0	0	0	0	0	0	9
SJ19	16	12	0	0	0	0	0	0	0
SJ20	0	0	53	0	0	29	0	0	0
SJ25	0	0	7	0	0	0	0	0	8
SJ28	0	0	64	33	0	40	0	0	0
SJ31	0	0	0	0	0	65	0	0	0
SJ32	10	0	0	25	0	0	0	22	48
SJ33	0	0	6	0	6	0	6	0	0
T135	0	0	0	72	137	81	0	65	128
