Samples	ID83A	ID83B
C001	19	20
C002	47	29
C003	20	3
C004	7	3
C005	57	19
C006	19	10
C007	47	24
C008	2	0
C009	59	38
C010	7	3
C010r	3	8
C011	11	1
C013	8	9
C014	13	4
F001	5	10
F002	7	2
F002r	20	45
F004	12	7
F005	10	1
F006	4	1
F007	102	16
F008	9	0
F010	10	7
F011	14	4
F012	8	0
F013	13	0
F014	19	2
F015	27	21
F016	18	8
F017	40	15
F018	4	8
F019	8	0
F020	28	4
F021	7	4
F022	36	5
F023	2	0
F024	6	3
F026	47	13
F027	6	4
F029	30	0
F031	29	31
F034	10	7
F036	45	3
F037	0	5
F038	12	5
F039	16	7
F041	34	12
F042	24	13
F043	13	11
F044	14	2
F045	24	4
F046	2	1
F048	9	0
F050	1	2
F052	3	3
F053	9	4
F054	14	1
F055	67	14
F056	0	4
F057	30	15
F058	68	26
F059	21	3
F059r	36	13
SJ01	42	221
SJ02	5	9
SJ03	16	25
SJ04	2	0
SJ08	16	9
SJ09	20	4
SJ10	13	7
SJ12	14	10
SJ13	0	4
SJ14	5	2
SJ17	13	14
SJ18	1	8
SJ19	28	0
SJ20	66	16
SJ25	10	5
SJ28	83	54
SJ31	41	24
SJ32	30	75
SJ33	12	6
T135	0	483
