MutationType	ID83A	ID83B
1:Del:C:0	0.04012976	0.07567605
1:Del:C:1	0.01966799	0.04478905
1:Del:C:2	0.01400778	0.00850950
1:Del:C:3	0.00239077	0.00538635
1:Del:C:4	0.00458317	0.00414793
1:Del:C:5	0.00980558	0.00112871
1:Del:T:0	0.00880429	0.09624027
1:Del:T:1	0.00373328	0.05497376
1:Del:T:2	0.01048289	0.03145847
1:Del:T:3	0.02783414	0.00532717
1:Del:T:4	0.02230245	0.00468641
1:Del:T:5	0.08578372	0.00485628
1:Ins:C:0	0.04096953	0.00763903
1:Ins:C:1	0.00736404	0.01028535
1:Ins:C:2	0.00389586	0.00273810
1:Ins:C:3	0.00676788	0.00163759
1:Ins:C:4	0.00356910	0.00149297
1:Ins:C:5	0.00798193	0.00585719
1:Ins:T:0	0.05195717	0.01836646
1:Ins:T:1	0.01311747	0.04631613
1:Ins:T:2	0.00519144	0.01413428
1:Ins:T:3	0.01175901	0.00904740
1:Ins:T:4	0.00586306	0.00021941
1:Ins:T:5	0.10176388	0.04066273
2:Del:R:0	0.02062369	0.02211524
2:Del:R:1	0.06321173	0.01934233
2:Del:R:2	0.01634189	0.00242819
2:Del:R:3	0.00155659	0.00547509
2:Del:R:4	0.00092166	0.00102863
2:Del:R:5	0.00347133	0.00006425
3:Del:R:0	0.00659412	0.01099141
3:Del:R:1	0.04272019	0.00706825
3:Del:R:2	0.00896335	0.00098891
3:Del:R:3	0.00468053	0.00084930
3:Del:R:4	0.00152523	0.00033149
3:Del:R:5	0.00057479	0.00134801
4:Del:R:0	0.00251350	0.00747113
4:Del:R:1	0.01044782	0.00706448
4:Del:R:2	0.00661295	0.00027255
4:Del:R:3	0.00069733	0.00183919
4:Del:R:4	0.00000382	0.00000126
4:Del:R:5	0.00000382	0.00000126
5:Del:R:0	0.00857295	0.04157948
5:Del:R:1	0.01156589	0.00787594
5:Del:R:2	0.00154088	0.00262915
5:Del:R:3	0.00104531	0.00208962
5:Del:R:4	0.00017870	0.00046572
5:Del:R:5	0.00000382	0.00000126
2:Ins:R:0	0.03038957	0.00509063
2:Ins:R:1	0.01122057	0.00891185
2:Ins:R:2	0.00098692	0.00678277
2:Ins:R:3	0.00244418	0.00398588
2:Ins:R:4	0.00225272	0.00141064
2:Ins:R:5	0.00216809	0.00656209
3:Ins:R:0	0.00518940	0.00427448
3:Ins:R:1	0.00127353	0.00633920
3:Ins:R:2	0.00259939	0.00096394
3:Ins:R:3	0.00000382	0.00000126
3:Ins:R:4	0.00005643	0.00128295
3:Ins:R:5	0.00181286	0.00060336
4:Ins:R:0	0.00678734	0.00442672
4:Ins:R:1	0.00523049	0.00718512
4:Ins:R:2	0.00041769	0.00082905
4:Ins:R:3	0.00143133	0.00103503
4:Ins:R:4	0.00093339	0.00355083
4:Ins:R:5	0.00558883	0.00694380
5:Ins:R:0	0.00175007	0.03139412
5:Ins:R:1	0.01837479	0.01113904
5:Ins:R:2	0.00115195	0.00314574
5:Ins:R:3	0.00214349	0.00088111
5:Ins:R:4	0.00079178	0.00522013
5:Ins:R:5	0.00123151	0.00254462
2:Del:M:1	0.06493994	0.01639588
3:Del:M:1	0.00303331	0.01300536
3:Del:M:2	0.02263942	0.00708153
4:Del:M:1	0.00726406	0.00772124
4:Del:M:2	0.00852235	0.00243010
4:Del:M:3	0.01574300	0.00661774
5:Del:M:1	0.01495267	0.05831437
5:Del:M:2	0.00608700	0.06002205
5:Del:M:3	0.00285593	0.02930735
5:Del:M:4	0.00911455	0.01216259
5:Del:M:5	0.01451959	0.02353863
