Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
C001	1.60E+00	5.64E+00	2.89E+00	6.27E+00	4.25E+00	4.19E+00	3.80E-01	6.91E-01	1.28E+00	4.29E+00
C002	1.32E+00	3.94E+00	3.14E+00	5.52E+00	5.02E+00	4.52E+00	1.64E+00	2.73E-01	1.41E+00	3.51E+00
C003	9.07E-01	3.39E+00	2.04E+00	3.43E+00	2.01E+00	2.19E+00	1.61E-01	2.88E-01	7.91E-01	1.27E+00
C004	5.86E-02	2.67E-01	2.56E-01	2.15E-01	2.65E-01	3.29E-01	2.81E-01	2.30E-01	1.19E-01	3.89E-01
C005	1.67E+00	5.35E+00	2.47E+00	4.51E+00	2.96E+00	6.44E+00	3.85E+00	3.99E+00	3.29E+00	3.36E+00
C006	7.52E-01	3.44E+00	1.29E+00	3.28E+00	7.72E-01	1.89E+00	1.85E-01	1.77E+00	3.86E-01	1.48E+00
C007	1.20E+00	4.82E+00	2.05E+00	4.28E+00	8.73E-01	2.77E+00	8.96E-01	3.00E+00	4.54E-01	2.05E+00
C008	1.69E-01	4.00E-02	6.95E-02	4.50E-02	4.02E-02	1.12E-02	0.00E+00	1.84E-01	8.34E-02	4.93E-02
C009	1.55E+00	5.18E+00	3.70E+00	5.11E+00	4.68E+00	5.47E+00	1.24E+00	1.26E+00	1.33E+00	3.27E+00
C010	2.79E-01	5.62E-01	4.62E-01	2.83E-01	2.33E-01	5.17E-01	2.78E-01	4.85E-01	2.10E-01	5.58E-01
C010r	3.32E-01	8.89E-01	6.28E-01	7.35E-01	2.89E-01	9.74E-01	1.15E-01	3.49E-01	8.89E-01	9.89E-01
C011	2.60E-01	3.28E-01	1.18E-01	4.56E-01	8.13E-02	7.26E-01	3.53E-01	6.42E-01	4.62E-01	4.57E-01
C013	3.69E-01	4.97E-01	7.01E-01	6.12E-01	8.03E-01	7.22E-01	5.39E-01	8.94E-01	2.57E-01	3.27E-01
C014	3.60E-01	1.88E+00	1.23E+00	1.65E+00	1.23E+00	1.26E+00	5.28E-01	7.19E-01	2.13E-01	9.15E-01
F001	1.78E-01	1.55E+00	8.19E-01	1.01E+00	9.74E-01	1.36E+00	5.14E-01	8.35E-01	7.31E-01	1.45E+00
F002	0.00E+00	9.19E-01	5.01E-01	1.15E+00	6.23E-01	8.12E-01	4.19E-01	3.51E-01	7.85E-02	7.24E-01
F002r	1.31E+00	4.51E+00	3.24E+00	4.99E+00	3.33E+00	4.60E+00	1.35E+00	1.89E+00	6.49E-01	3.42E+00
F004	1.24E-01	6.90E-01	3.88E-01	6.99E-01	5.77E-01	5.73E-01	7.95E-02	7.14E-01	3.59E-01	5.19E-01
F005	2.14E-01	1.47E+00	7.29E-01	1.54E+00	2.19E-01	1.13E+00	2.88E-01	1.25E+00	4.16E-01	8.46E-01
F006	0.00E+00	1.19E-01	7.49E-02	6.64E-02	1.00E-02	1.16E-01	0.00E+00	1.58E-02	1.24E-01	2.09E-01
F007	2.22E+00	1.08E+01	6.82E+00	1.12E+01	8.65E+00	1.01E+01	3.21E+00	5.63E+00	7.04E+00	5.93E+00
F008	1.49E-01	2.16E+00	1.46E+00	2.42E+00	9.18E-01	1.30E+00	1.07E+00	6.33E-01	0.00E+00	1.03E+00
F010	5.63E-01	1.62E+00	7.77E-01	1.42E+00	6.78E-01	1.36E+00	5.26E-01	1.05E+00	4.32E-01	1.20E+00
F011	4.00E-01	1.46E+00	5.35E-01	1.08E+00	1.50E-02	1.06E+00	2.27E-01	1.35E+00	1.50E-02	8.95E-01
F012	5.38E-01	1.61E+00	8.54E-01	1.63E+00	7.08E-01	1.03E+00	7.34E-02	8.02E-01	7.20E-02	9.01E-01
F013	2.32E-01	4.06E-01	1.99E-01	2.11E-01	2.53E-01	2.90E-01	1.80E-01	2.91E-02	0.00E+00	4.55E-01
F014	4.77E-01	2.62E+00	1.41E+00	2.34E+00	2.69E-01	1.73E+00	1.80E-01	1.64E+00	6.25E-02	1.31E+00
F015	1.04E+00	6.31E+00	2.31E+00	6.56E+00	2.48E+00	2.93E+00	1.08E+00	1.07E+00	1.03E+00	1.84E+00
F016	6.68E-01	2.76E+00	1.65E+00	2.37E+00	1.26E+00	2.01E+00	5.95E-01	1.50E+00	2.87E-01	1.58E+00
F017	1.54E+00	3.02E+00	2.35E+00	2.19E+00	2.48E+00	7.14E+00	3.91E+00	2.64E+00	3.35E+00	1.22E+00
F018	0.00E+00	3.14E-01	1.31E-01	2.56E-01	4.23E-01	5.76E-01	6.33E-01	7.29E-01	1.32E-01	2.66E-01
F019	0.00E+00	1.48E-01	5.05E-02	1.59E-01	1.13E-01	1.61E-01	1.19E-01	1.31E-01	1.10E-01	1.57E-01
F020	7.42E-01	5.38E+00	2.55E+00	5.74E+00	2.86E+00	2.77E+00	9.98E-01	1.80E-01	5.64E-01	2.05E+00
F021	3.74E-02	2.11E-01	1.43E-01	1.59E-01	8.23E-02	1.51E-01	0.00E+00	5.10E-02	0.00E+00	1.98E-01
F022	8.39E-01	4.52E+00	2.24E+00	4.40E+00	1.49E+00	2.11E+00	3.44E-01	7.76E-01	8.72E-01	1.58E+00
F023	2.16E-01	4.45E-01	2.18E-01	3.29E-01	2.08E-01	4.39E-01	3.92E-02	5.40E-01	1.44E-01	3.08E-01
F024	2.16E-02	4.74E-02	5.12E-02	9.32E-02	9.47E-02	6.49E-02	3.07E-02	2.33E-02	2.28E-02	1.27E-01
F026	2.04E+00	4.22E+00	3.13E+00	4.12E+00	4.85E+00	2.08E+01	4.81E+00	4.58E+00	1.33E+01	3.09E+00
F027	1.40E-01	3.16E-01	3.97E-01	5.63E-01	6.37E-02	4.15E-01	2.91E-02	4.62E-01	1.16E-01	5.59E-01
F029	7.05E-01	3.30E+00	1.95E+00	3.10E+00	2.69E-01	2.70E+00	1.51E+00	1.56E+00	1.40E+00	2.55E+00
F031	1.89E+00	6.57E+00	3.60E+00	6.79E+00	3.25E+00	3.67E+00	8.31E-01	1.73E+00	1.29E+00	2.21E+00
F034	5.13E-01	1.77E+00	9.00E-01	1.31E+00	8.45E-01	1.21E+00	2.60E-01	9.87E-01	1.78E-01	1.16E+00
