Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
C001	39	27	0	0	33	0	350	0	2	28	90
C002	20	32	100	0	422	0	60	42	0	21	33
C003	20	8	0	0	11	89	118	0	0	15	0
C004	0	0	0	1	1	10	0	5	1	0	3
C005	30	0	0	170	38	219	28	326	136	116	1
C006	12	0	100	0	0	19	65	0	75	0	8
C007	19	19	228	18	0	28	34	9	159	1	10
C008	5	0	0	0	0	0	0	0	7	0	0
C009	23	43	0	62	114	204	314	22	0	24	10
C010	0	3	0	0	0	21	0	1	8	2	0
C010r	5	0	0	0	0	37	0	0	0	13	8
C011	5	0	0	13	1	0	3	2	23	1	6
C013	3	14	0	0	16	0	0	10	43	0	0
C014	2	3	0	0	20	74	15	6	11	1	0
F001	0	0	0	19	2	72	0	5	17	5	19
F002	0	0	0	0	0	0	52	13	1	0	0
F002r	7	77	0	54	29	144	112	17	39	0	62
F004	0	0	0	0	7	11	11	0	33	5	0
F005	0	9	0	0	0	6	33	2	44	4	17
F006	0	0	0	0	0	0	0	0	0	1	7
F007	0	104	471	26	249	0	0	62	149	935	63
F008	0	0	16	0	0	0	95	60	1	0	0
F010	10	0	11	16	0	35	20	1	17	1	13
F011	7	0	0	0	0	51	0	0	42	0	0
F012	12	1	15	0	9	24	24	0	21	0	0
F013	3	0	0	0	0	7	0	3	0	0	10
F014	2	11	72	2	0	31	5	0	66	0	9
F015	0	8	354	0	34	43	28	29	0	11	0
F016	5	2	46	0	12	116	8	9	39	0	2
F017	26	60	8	343	0	0	0	118	30	1	0
F018	0	0	0	0	4	0	0	12	42	0	0
F019	0	0	0	0	0	0	2	1	1	1	3
F020	10	8	53	0	15	101	168	29	0	0	0
F021	0	1	0	0	0	6	0	0	0	0	1
F022	0	46	142	0	0	0	82	0	9	18	9
F023	6	0	6	0	1	0	0	0	19	0	0
F024	0	0	0	0	0	0	1	0	0	0	3
F026	53	0	0	733	23	0	0	52	21	514	0
F027	0	5	0	0	0	0	9	0	10	0	7
F029	2	20	19	0	0	113	0	78	38	35	23
F031	75	18	310	15	62	141	0	0	15	14	0
F034	0	18	19	10	4	67	1	0	10	0	0
F036	0	25	19	443	0	0	35	155	50	0	9
F037	1	0	0	0	1	0	0	0	0	0	7
F038	13	0	58	12	1	68	0	2	10	12	0
F039	0	0	100	0	0	0	0	13	0	5	32
F041	30	0	103	0	199	0	324	0	43	4	0
F042	0	32	165	14	35	0	79	2	20	2	0
F043	12	0	23	0	0	14	78	18	18	63	34
F044	0	0	7	0	3	0	3	0	12	0	42
F045	11	10	108	0	0	8	45	38	27	59	0
F046	0	6	0	0	2	0	11	1	3	5	0
F048	0	0	0	1	0	0	0	3	0	1	23
F050	0	5	0	0	2	0	0	0	0	0	0
F052	4	0	0	0	0	20	18	0	0	0	2
F053	11	0	33	0	0	0	28	0	14	12	27
F054	4	0	11	0	0	9	7	0	3	0	7
F055	42	70	5	6	113	0	0	795	63	29	32
F056	6	0	16	0	16	17	0	0	4	0	19
F057	21	0	5	9	71	146	74	0	78	7	0
F058	40	26	261	0	144	165	59	49	82	42	28
F059	0	0	52	0	0	0	19	0	134	4	8
F059r	17	0	0	0	0	0	78	9	200	14	1
SJ01	1913	169	0	121	2	0	0	406	137	13	2
SJ02	26	24	166	0	28	0	0	11	25	0	24
SJ03	8	12	14	0	24	266	0	27	119	0	0
SJ04	0	0	0	0	0	0	0	0	0	0	19
SJ08	4	6	118	38	7	45	0	0	75	3	0
SJ09	0	0	13	0	0	52	4	6	14	0	44
SJ10	9	15	0	294	0	0	33	82	21	131	9
SJ12	25	2	49	0	58	46	39	3	39	3	12
SJ13	1	1	0	0	86	23	0	6	2	7	0
SJ14	0	0	0	30	35	23	12	0	23	0	0
SJ17	13	0	0	22	68	0	175	19	0	9	29
SJ18	7	17	0	6	16	0	65	0	29	0	16
SJ19	23	0	115	0	0	24	43	9	28	14	48
SJ20	52	98	9	145	648	476	0	37	68	67	0
SJ25	5	9	0	6	15	17	0	6	6	100	40
SJ28	33	58	261	184	151	0	0	1	45	29	305
SJ31	1	0	0	0	16	0	0	4	11	0	92
SJ32	9	163	56	332	57	16	65	163	175	27	0
SJ33	17	0	55	5	13	45	8	0	0	0	12
T135	1644	2613	0	0	232	0	37	145	0	118	127
