Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
C001	33	26	39	0	36	0	0	0	341	1	24	69
C002	15	40	67	67	406	0	40	0	38	0	22	35
C003	19	8	0	45	12	1	0	42	122	0	12	0
C004	0	0	0	0	1	1	4	11	0	1	0	3
C005	30	0	0	207	47	173	316	23	13	135	99	21
C006	14	0	11	99	0	0	0	0	82	73	0	0
C007	25	8	192	94	0	10	9	28	0	147	2	10
C008	5	0	0	0	0	0	0	0	0	7	0	0
C009	17	40	69	107	114	47	22	95	271	0	20	14
C010	0	4	0	11	0	1	1	4	0	9	1	4
C010r	6	0	0	12	0	0	0	22	0	0	13	10
C011	5	0	0	1	1	11	2	0	5	22	1	6
C013	3	12	0	0	14	0	10	0	6	41	0	0
C014	3	2	0	68	21	0	9	6	11	11	1	0
F001	0	0	0	28	0	17	4	47	0	16	4	23
F002	0	0	4	0	0	0	12	0	49	1	0	0
F002r	1	69	0	0	17	30	14	209	119	35	0	47
F004	0	0	0	11	6	0	0	0	12	33	5	0
F005	0	7	0	0	0	0	2	6	41	43	3	13
F006	0	0	0	0	0	0	0	0	0	0	1	7
F007	14	72	280	227	235	118	50	0	0	139	888	36
F008	0	0	100	0	0	0	56	0	16	0	0	0
F010	10	0	0	4	0	10	0	38	35	17	1	9
F011	6	0	0	6	0	0	0	49	0	39	0	0
F012	11	1	37	4	7	0	0	29	0	17	0	0
F013	3	0	0	0	0	0	3	7	0	0	0	10
F014	4	8	0	105	0	2	0	0	16	63	0	0
F015	3	3	251	121	31	0	23	64	0	0	11	0
F016	5	0	38	39	6	0	8	103	0	34	0	6
F017	21	61	0	0	6	276	111	78	0	33	0	0
F018	0	0	0	0	4	4	11	0	0	39	0	0
F019	0	0	2	0	0	0	1	0	0	1	1	3
F020	11	5	0	98	14	0	30	35	191	0	0	0
F021	0	0	0	0	0	0	0	8	0	0	0	0
F022	0	42	13	137	0	0	0	0	91	9	14	0
F023	6	0	6	0	1	0	0	0	0	19	0	0
F024	0	0	0	0	0	0	0	0	1	0	0	3
F026	52	0	0	33	37	684	42	0	57	26	465	0
F027	0	4	5	0	0	0	0	0	6	10	0	6
F029	1	13	0	15	0	0	73	136	0	35	37	18
F031	78	12	172	140	51	5	0	168	0	9	15	0
F034	1	16	0	81	6	12	0	0	1	10	0	2
F036	0	16	121	0	6	375	147	0	0	44	0	27
F037	1	0	0	0	1	0	0	0	0	0	0	7
F038	13	0	0	73	1	8	3	50	7	10	11	0
F039	0	0	31	77	0	0	13	0	2	0	5	22
F041	22	0	303	0	196	0	0	0	152	23	7	0
F042	0	22	211	0	31	7	0	60	3	8	7	0
F043	8	0	51	0	0	3	14	58	34	11	60	21
F044	0	0	6	5	2	0	0	0	3	11	0	40
F045	11	2	142	0	0	0	34	39	0	19	59	0
F046	0	5	0	0	1	0	1	0	14	3	4	0
F048	0	0	2	0	0	2	2	0	0	0	1	21
F050	0	4	1	0	2	0	0	0	0	0	0	0
F052	3	0	0	0	0	0	0	20	21	0	0	0
F053	9	0	69	0	0	0	0	0	0	9	11	27
F054	4	0	0	30	0	0	0	0	0	2	0	5
F055	40	63	0	7	109	55	756	0	0	66	22	37
F056	6	1	0	34	16	0	0	0	0	4	0	17
F057	16	0	50	13	62	2	0	166	26	68	8	0
F058	46	24	38	293	142	0	53	50	120	85	38	7
F059	0	0	43	26	0	0	0	0	11	128	3	6
F059r	15	0	58	0	0	0	8	0	34	187	12	5
SJ01	1829	240	0	0	0	113	409	0	25	137	9	1
SJ02	32	12	171	0	26	0	10	0	0	20	0	33
SJ03	4	9	8	28	7	0	22	285	0	107	0	0
SJ04	0	0	0	0	0	0	0	0	0	0	0	19
SJ08	7	6	26	138	13	32	1	0	0	73	0	0
SJ09	0	0	0	51	0	0	7	2	13	15	0	45
SJ10	10	12	0	0	0	267	75	0	85	24	115	6
SJ12	24	2	79	37	53	4	2	21	0	31	3	20
SJ13	0	4	0	22	81	0	7	1	0	3	8	0
SJ14	0	0	0	27	35	24	0	0	14	23	0	0
SJ17	10	0	0	0	63	15	19	0	216	0	6	6
SJ18	5	14	27	0	15	3	1	0	53	25	0	13
SJ19	24	0	90	83	0	0	10	0	13	24	14	46
SJ20	31	103	0	0	572	104	29	627	9	53	72	0
SJ25	4	10	0	0	13	14	4	23	0	6	94	36
SJ28	35	53	163	163	145	176	0	0	0	35	22	275
SJ31	1	0	0	0	14	0	3	0	0	11	0	95
SJ32	7	141	66	0	51	274	153	110	72	166	23	0
SJ33	17	0	6	36	11	0	0	60	18	0	0	7
T135	1586	2404	66	90	228	0	145	0	141	0	135	121
