Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
C001	1.52E+00	2.30E+00	5.90E+00	3.89E+00	3.71E+00	2.20E+00	4.59E-01	3.53E+00	6.76E+00	6.39E-01	1.54E+00	3.63E+00
C002	1.22E+00	3.19E+00	4.34E+00	3.50E+00	5.02E+00	2.88E+00	1.54E+00	3.83E+00	4.95E+00	2.69E-01	1.55E+00	2.98E+00
C003	8.54E-01	1.16E+00	2.74E+00	3.14E+00	1.90E+00	1.17E+00	7.91E-02	2.95E+00	3.12E+00	3.08E-01	7.32E-01	1.03E+00
C004	9.94E-02	2.21E-01	2.03E-01	2.84E-01	2.02E-01	3.20E-01	2.51E-01	3.71E-01	2.22E-01	1.98E-01	4.81E-02	3.26E-01
C005	1.67E+00	9.28E-01	4.54E+00	5.13E+00	2.83E+00	6.12E+00	4.02E+00	5.10E+00	4.36E+00	3.74E+00	3.07E+00	2.76E+00
C006	6.82E-01	4.47E-01	3.20E+00	3.02E+00	5.37E-01	6.28E-01	1.57E-01	2.47E+00	2.75E+00	1.69E+00	4.08E-01	1.09E+00
C007	1.19E+00	1.14E+00	4.42E+00	4.24E+00	5.06E-01	1.75E+00	8.00E-01	3.88E+00	2.86E+00	3.20E+00	5.62E-01	1.67E+00
C008	1.65E-01	6.27E-02	1.12E-02	2.33E-02	2.68E-02	4.16E-02	0.00E+00	4.30E-02	0.00E+00	1.81E-01	8.96E-02	4.86E-02
C009	1.34E+00	3.11E+00	4.96E+00	4.51E+00	4.06E+00	3.41E+00	1.17E+00	4.99E+00	5.45E+00	9.28E-01	1.24E+00	2.92E+00
C010	2.19E-01	3.42E-01	2.01E-01	6.85E-01	1.81E-01	4.62E-01	2.27E-01	6.15E-01	1.74E-01	4.56E-01	1.83E-01	4.20E-01
C010r	3.33E-01	2.48E-01	5.08E-01	1.01E+00	2.83E-01	4.64E-01	1.30E-01	9.30E-01	6.79E-01	2.59E-01	8.55E-01	9.50E-01
C011	2.60E-01	7.58E-02	4.16E-01	3.63E-01	8.52E-02	7.11E-01	2.84E-01	3.84E-01	4.05E-01	6.35E-01	3.68E-01	4.17E-01
C013	3.43E-01	5.79E-01	7.58E-01	3.55E-01	7.64E-01	7.51E-01	5.51E-01	8.28E-01	5.97E-01	9.18E-01	2.43E-01	2.30E-01
C014	3.90E-01	7.01E-01	1.42E+00	1.78E+00	1.17E+00	7.89E-01	4.69E-01	1.63E+00	1.41E+00	6.78E-01	1.75E-01	6.18E-01
F001	1.84E-01	1.45E-01	1.11E+00	1.38E+00	8.05E-01	1.01E+00	4.54E-01	1.66E+00	1.28E+00	7.88E-01	7.56E-01	1.29E+00
F002	0.00E+00	2.23E-01	9.07E-01	8.69E-01	4.01E-01	4.42E-01	4.12E-01	8.24E-01	1.27E+00	3.00E-01	7.80E-02	5.80E-01
F002r	1.04E+00	2.51E+00	3.82E+00	3.55E+00	2.81E+00	3.22E+00	1.28E+00	4.98E+00	4.20E+00	1.74E+00	6.46E-01	3.19E+00
F004	9.59E-02	2.25E-01	6.01E-01	6.52E-01	5.14E-01	4.07E-01	5.82E-02	7.45E-01	5.53E-01	6.74E-01	3.26E-01	5.39E-01
F005	1.99E-01	4.67E-01	1.13E+00	1.31E+00	8.16E-02	5.19E-01	2.40E-01	1.59E+00	1.34E+00	1.27E+00	2.96E-01	7.05E-01
F006	0.00E+00	3.00E-02	5.00E-03	1.52E-01	1.00E-02	9.39E-02	0.00E+00	1.69E-01	1.06E-01	5.00E-03	1.13E-01	2.43E-01
F007	2.07E+00	4.40E+00	9.51E+00	8.65E+00	7.12E+00	1.07E+01	2.88E+00	8.17E+00	6.95E+00	4.99E+00	7.80E+00	4.65E+00
F008	9.49E-02	7.43E-01	2.58E+00	1.80E+00	7.72E-01	1.12E+00	1.15E+00	1.23E+00	2.46E+00	5.83E-01	2.76E-01	8.69E-01
F010	5.66E-01	2.62E-01	1.34E+00	1.41E+00	5.43E-01	1.06E+00	4.50E-01	1.52E+00	1.28E+00	9.61E-01	2.95E-01	1.22E+00
F011	4.11E-01	2.06E-02	1.08E+00	1.41E+00	7.04E-02	5.34E-01	1.87E-01	1.53E+00	6.97E-01	1.25E+00	3.52E-02	6.72E-01
F012	4.89E-01	2.52E-01	1.67E+00	1.49E+00	5.67E-01	5.85E-01	6.09E-02	1.43E+00	1.26E+00	7.35E-01	9.84E-02	5.95E-01
F013	2.09E-01	1.19E-01	1.95E-01	3.46E-01	2.39E-01	2.24E-01	1.76E-01	4.33E-01	1.50E-01	0.00E+00	1.17E-01	4.39E-01
F014	4.49E-01	8.14E-01	2.09E+00	2.77E+00	1.83E-01	6.98E-01	1.39E-01	1.48E+00	1.90E+00	1.56E+00	2.13E-01	1.01E+00
F015	9.52E-01	1.40E+00	6.00E+00	5.17E+00	2.18E+00	1.41E+00	1.10E+00	4.44E+00	4.74E+00	8.38E-01	9.94E-01	1.42E+00
F016	6.77E-01	8.55E-01	2.51E+00	2.46E+00	1.22E+00	1.02E+00	4.63E-01	2.87E+00	1.80E+00	1.33E+00	2.60E-01	1.31E+00
F017	1.49E+00	2.17E+00	2.70E+00	2.47E+00	2.00E+00	6.36E+00	3.59E+00	3.22E+00	1.91E+00	2.14E+00	2.90E+00	9.77E-01
F018	0.00E+00	1.67E-01	4.54E-01	1.61E-01	4.19E-01	6.13E-01	5.18E-01	3.95E-01	1.50E-01	7.20E-01	1.54E-01	2.56E-01
F019	0.00E+00	4.40E-02	1.25E-01	1.22E-01	8.95E-02	1.35E-01	9.90E-02	1.45E-01	1.51E-01	1.27E-01	1.13E-01	1.75E-01
F020	8.27E-01	1.30E+00	4.77E+00	4.91E+00	2.25E+00	1.11E+00	1.08E+00	3.98E+00	5.07E+00	1.31E-01	5.65E-01	1.48E+00
F021	2.17E-02	1.03E-01	1.27E-01	1.62E-01	6.17E-02	1.01E-01	0.00E+00	2.05E-01	1.80E-01	2.00E-02	1.00E-02	1.67E-01
F022	5.62E-01	1.49E+00	3.98E+00	3.86E+00	1.13E+00	7.90E-01	3.17E-01	2.07E+00	3.65E+00	7.43E-01	9.74E-01	1.15E+00
F023	2.22E-01	1.08E-01	4.92E-01	4.45E-01	2.19E-01	1.92E-01	4.30E-02	3.66E-01	2.15E-01	5.30E-01	8.82E-02	3.13E-01
F024	7.05E-03	2.53E-02	5.49E-02	6.54E-02	8.87E-02	4.28E-02	1.65E-02	6.43E-02	8.81E-02	0.00E+00	2.23E-02	1.30E-01
F026	1.89E+00	1.93E+00	3.26E+00	4.48E+00	4.06E+00	1.84E+01	4.11E+00	4.39E+00	4.18E+00	3.34E+00	1.32E+01	3.05E+00
F027	1.13E-01	2.75E-01	5.54E-01	2.37E-01	1.14E-01	2.56E-01	3.00E-02	4.00E-01	5.03E-01	4.21E-01	4.37E-02	4.99E-01
F029	6.91E-01	1.21E+00	2.71E+00	3.15E+00	0.00E+00	1.24E+00	1.63E+00	3.66E+00	2.83E+00	1.47E+00	1.59E+00	1.98E+00
