NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	128.763	72.079	19.205	53.893	0.595	0.712	80000.0
2	122.766	70.446	18.173	53.224	0.564	0.718	160000.0
3	125.575	72.86	18.547	54.264	0.593	0.708	80000.0
4	121.621	72.329	17.967	53.977	0.592	0.703	120000.0
5	127.391	74.302	18.916	54.713	0.611	0.701	140000.0
6	126.022	72.266	18.851	53.844	0.577	0.717	60000.0
7	123.421	72.189	18.338	53.376	0.598	0.716	80000.0
8	124.009	73.196	18.52	54.377	0.616	0.702	60000.0
9	129.367	73.3	19.112	54.229	0.589	0.709	80000.0
10	124.282	72.254	18.724	54.201	0.595	0.704	140000.0
11	124.34	71.934	18.099	53.097	0.583	0.72	100000.0
12	132.687	71.445	20.132	53.731	0.574	0.719	120000.0
13	127.322	72.156	19.003	53.987	0.574	0.716	80000.0
14	126.209	71.451	18.726	53.781	0.566	0.717	100000.0
15	125.015	70.783	18.535	53.198	0.57	0.72	60000.0
16	126.082	73.226	18.789	54.029	0.606	0.706	60000.0
17	127.213	71.78	19.091	53.612	0.571	0.716	80000.0
18	126.138	73.163	18.486	53.916	0.596	0.712	80000.0
19	124.569	72.532	18.307	53.996	0.589	0.706	60000.0
20	124.055	72.041	18.415	53.948	0.57	0.713	120000.0
21	124.595	71.956	18.556	53.298	0.578	0.717	100000.0
22	129.161	72.7	19.205	54.419	0.579	0.713	140000.0
23	127.087	72.723	18.963	53.966	0.595	0.712	100000.0
24	126.521	72.45	18.541	54.303	0.578	0.708	100000.0
25	123.564	71.055	18.448	53.521	0.563	0.718	80000.0
26	124.448	72.18	18.548	53.928	0.585	0.713	140000.0
27	123.822	71.853	18.585	53.732	0.579	0.715	160000.0
28	131.669	72.169	19.732	53.726	0.583	0.716	80000.0
29	125.092	73.061	18.488	54.257	0.597	0.708	80000.0
30	123.236	72.485	18.249	54.131	0.591	0.705	140000.0
31	123.408	73.587	18.174	54.733	0.606	0.697	80000.0
32	123.138	71.917	18.373	53.403	0.575	0.72	100000.0
33	125.072	72.141	18.545	53.714	0.578	0.714	80000.0
34	125.598	73.479	18.82	54.896	0.592	0.701	80000.0
35	126.057	72.644	18.638	53.968	0.601	0.713	140000.0
36	127.454	72.325	19.055	54.304	0.58	0.709	100000.0
37	125.2	72.526	18.35	54.46	0.581	0.702	60000.0
38	124.219	72.847	18.427	53.849	0.588	0.711	120000.0
39	123.794	72.236	18.411	53.971	0.579	0.71	80000.0
40	122.78	72.627	18.278	54.06	0.602	0.706	140000.0
41	126.275	72.912	18.519	53.526	0.594	0.718	80000.0
42	123.872	71.18	18.485	53.371	0.568	0.722	60000.0
43	124.879	72.507	18.593	54.159	0.593	0.707	100000.0
44	126.418	72.334	18.654	53.768	0.591	0.712	80000.0
45	124.816	72.361	18.745	53.91	0.585	0.716	80000.0
46	126.918	71.982	19.001	53.619	0.573	0.721	100000.0
47	126.315	72.237	18.781	53.875	0.583	0.711	60000.0
48	124.556	73.984	18.487	54.899	0.607	0.698	100000.0
49	133.804	72.996	20.891	54.545	0.6	0.701	60000.0
50	125.254	71.734	18.649	54.102	0.578	0.704	100000.0
51	125.113	72.453	18.581	53.946	0.605	0.703	100000.0
52	124.224	70.726	18.308	52.942	0.565	0.724	100000.0
53	128.252	73.32	19.717	54.736	0.604	0.702	80000.0
54	123.948	71.244	18.566	53.769	0.562	0.714	120000.0
55	129.576	73.125	19.593	54.49	0.596	0.708	80000.0
56	125.24	73.806	18.536	54.323	0.607	0.704	140000.0
57	126.083	72.01	18.947	53.904	0.58	0.718	160000.0
58	122.182	72.878	18.118	54.036	0.61	0.705	120000.0
59	126.149	72.685	18.868	54.53	0.586	0.705	60000.0
60	123.28	71.507	18.357	54.016	0.587	0.71	100000.0
61	126.219	72.776	18.578	54.332	0.578	0.71	120000.0
62	132.685	73.171	19.968	54.693	0.6	0.701	160000.0
63	127.342	72.967	18.847	54.173	0.593	0.712	140000.0
64	124.502	73.081	18.632	54.231	0.588	0.711	120000.0
65	123.816	71.902	18.553	53.495	0.58	0.71	60000.0
66	128.041	74.329	19.083	54.884	0.615	0.697	160000.0
67	123.067	72.346	18.167	53.524	0.582	0.715	120000.0
