Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
C001	31	24	47	0	0	0	18	0	0	329	0	22	39	59
C002	16	24	109	399	39	0	56	0	7	20	0	19	0	41
C003	16	10	45	0	0	0	0	32	46	101	0	11	0	0
C004	0	0	0	0	4	1	0	0	0	0	1	0	15	0
C005	12	0	0	15	292	139	0	0	329	15	117	97	48	0
C006	14	0	123	0	0	0	13	25	8	30	65	0	0	1
C007	22	1	84	0	6	11	152	43	53	0	131	2	0	20
C008	5	0	0	0	0	0	0	0	0	0	7	0	0	0
C009	11	43	118	81	19	20	28	14	141	250	0	20	55	16
C010	1	3	0	0	0	0	0	0	0	0	7	1	23	0
C010r	6	0	9	0	0	0	0	4	0	0	0	11	29	4
C011	5	0	0	0	2	9	0	0	6	6	20	0	0	6
C013	3	11	0	13	9	0	0	6	0	6	38	0	0	0
C014	3	0	55	22	7	0	0	0	14	0	9	0	22	0
F001	0	0	0	0	0	11	0	0	48	0	12	4	62	2
F002	0	0	0	0	11	0	5	0	0	49	1	0	0	0
F002r	3	55	0	2	10	21	0	205	0	110	28	0	82	25
F004	0	0	15	6	0	0	0	7	0	6	28	5	0	0
F005	0	6	6	0	1	0	0	5	9	29	39	3	0	17
F006	0	0	0	0	0	0	0	0	0	0	0	1	1	6
F007	15	46	287	241	38	203	194	65	0	0	122	808	0	40
F008	0	0	0	0	53	0	95	0	0	24	0	0	0	0
F010	9	0	12	0	0	5	0	0	21	20	14	0	43	0
F011	6	0	0	0	0	0	0	60	0	0	34	0	0	0
F012	10	0	0	3	0	0	29	44	0	4	15	0	0	1
F013	2	0	0	0	3	0	0	0	9	0	0	0	0	9
F014	7	1	127	0	0	7	0	0	0	0	56	0	0	0
F015	0	2	73	20	16	0	204	51	120	0	0	14	0	7
F016	0	4	0	0	4	0	27	31	134	0	27	0	0	12
F017	12	69	0	9	108	220	0	0	137	0	31	0	0	0
F018	0	0	0	6	10	6	0	0	0	0	36	0	0	0
F019	0	0	0	0	1	0	1	0	0	0	0	1	5	0
F020	8	2	124	8	27	0	0	87	17	111	0	0	0	0
F021	0	1	0	0	0	0	0	0	4	0	0	0	3	0
F022	0	37	223	20	0	0	0	0	0	5	8	13	0	0
F023	5	0	0	0	0	1	5	0	5	0	16	0	0	0
F024	0	0	0	0	0	0	0	0	0	1	0	0	2	1
F026	52	0	101	60	43	605	0	0	0	52	30	414	27	12
F027	0	4	0	0	0	0	2	0	0	9	9	0	0	7
F029	3	0	0	0	70	0	0	167	0	0	32	35	0	21
F031	76	0	83	39	0	13	151	235	33	0	4	16	0	0
F034	0	15	30	1	0	1	0	0	52	0	8	0	22	0
F036	0	13	13	20	142	306	81	72	0	0	48	0	0	41
F037	1	0	0	1	0	0	0	0	0	0	0	0	0	7
F038	8	0	12	0	0	1	0	0	137	1	5	12	0	0
F039	0	0	96	0	13	0	5	0	0	0	0	4	20	12
F041	20	0	0	149	0	0	263	0	0	232	24	9	0	6
F042	0	16	0	21	0	7	159	74	24	33	7	8	0	0
F043	6	0	0	0	12	5	19	13	58	50	11	54	0	32
F044	0	0	0	0	0	0	1	0	0	0	7	0	39	20
F045	5	5	0	0	30	0	133	0	60	0	16	57	0	0
F046	0	4	0	0	0	0	0	0	0	16	4	4	0	0
F048	0	0	0	0	2	2	0	2	0	0	0	0	0	22
F050	0	3	0	2	0	0	2	0	0	0	0	0	0	0
F052	3	0	0	0	0	0	0	12	9	16	0	0	2	2
F053	8	0	0	0	0	0	63	0	0	0	8	10	0	36
F054	4	0	27	0	0	0	0	0	0	0	2	0	8	0
F055	36	57	10	109	724	73	0	0	0	0	72	12	35	27
F056	5	0	0	9	0	0	14	0	5	0	1	0	42	2
F057	11	0	0	46	0	0	26	37	170	53	59	9	0	0
F058	44	11	264	137	44	0	12	78	100	33	70	35	68	0
F059	0	0	43	0	0	0	36	0	0	0	115	3	20	0
F059r	15	0	8	0	7	0	54	0	0	41	172	10	0	12
SJ01	1773	266	0	0	418	94	0	0	67	10	125	7	0	3
SJ02	28	9	0	17	8	0	152	38	0	0	16	0	0	36
SJ03	5	2	0	1	19	0	18	197	94	0	95	0	39	0
SJ04	0	0	0	0	0	0	0	0	0	0	0	0	0	19
SJ08	3	7	67	7	0	17	26	0	101	0	65	3	0	0
SJ09	0	0	38	0	3	0	0	1	0	0	9	0	67	15
SJ10	9	13	0	0	71	226	0	0	0	100	25	100	50	0
SJ12	20	0	0	38	0	0	93	0	25	0	22	3	75	0
SJ13	0	0	7	77	5	0	5	8	0	0	1	7	16	0
SJ14	0	0	0	29	0	13	0	0	38	19	21	0	0	3
SJ17	9	0	0	32	14	6	0	0	0	202	0	5	67	0
SJ18	4	12	0	5	0	0	0	41	0	58	23	0	0	13
SJ19	19	0	57	0	5	0	61	0	74	0	18	14	18	38
SJ20	42	67	0	549	23	89	4	453	52	36	45	57	183	0
SJ25	3	11	0	13	2	21	0	0	14	0	4	85	22	29
SJ28	34	35	197	164	2	134	81	0	82	0	35	13	0	290
SJ31	0	0	0	6	0	0	0	0	0	0	5	0	64	49
SJ32	8	127	5	52	152	212	6	203	0	116	163	19	0	0
SJ33	15	0	16	6	0	0	0	78	18	15	0	0	0	7
T135	1513	2363	157	241	174	0	119	0	0	72	0	123	6	148
