Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
C001	1.51E+00	2.27E+00	4.64E+00	2.77E+00	3.88E-01	6.00E-01	4.96E+00	3.15E+00	3.42E+00	6.13E+00	4.23E-01	1.43E+00	3.87E+00	3.23E+00
C002	1.17E+00	2.36E+00	3.29E+00	5.29E+00	1.50E+00	1.91E+00	4.25E+00	3.15E+00	3.77E+00	5.89E+00	2.30E-01	1.81E+00	3.48E+00	2.58E+00
C003	8.22E-01	1.12E+00	3.26E+00	1.40E+00	9.16E-02	7.85E-01	2.57E+00	2.69E+00	2.58E+00	3.20E+00	2.52E-01	8.93E-01	1.96E+00	7.39E-01
C004	1.49E-02	2.05E-01	1.67E-01	1.96E-01	2.44E-01	2.48E-01	1.74E-01	2.95E-01	2.87E-01	1.84E-01	1.61E-01	8.28E-02	3.60E-01	2.68E-01
C005	1.27E+00	1.78E+00	3.82E+00	2.58E+00	4.19E+00	4.98E+00	3.43E+00	3.12E+00	5.95E+00	3.90E+00	3.51E+00	2.93E+00	5.02E+00	2.64E+00
C006	7.31E-01	1.43E-01	2.94E+00	4.65E-01	1.34E-01	3.02E-01	2.82E+00	2.34E+00	2.41E+00	1.94E+00	1.60E+00	2.78E-01	1.59E+00	9.78E-01
C007	1.15E+00	8.80E-01	3.91E+00	5.64E-01	7.37E-01	8.72E-01	4.07E+00	3.15E+00	4.04E+00	2.67E+00	3.00E+00	5.11E-01	2.57E+00	1.62E+00
C008	1.65E-01	5.48E-02	0.00E+00	3.51E-02	0.00E+00	3.53E-02	0.00E+00	4.18E-02	4.56E-02	1.12E-02	1.84E-01	7.50E-02	7.51E-02	3.98E-02
C009	1.27E+00	2.54E+00	4.38E+00	3.72E+00	1.09E+00	2.05E+00	4.42E+00	4.25E+00	4.30E+00	4.87E+00	7.80E-01	1.59E+00	4.12E+00	2.38E+00
C010	2.14E-01	3.56E-01	5.14E-01	2.30E-01	1.25E-01	3.02E-01	1.36E-01	3.59E-01	5.92E-01	6.45E-02	4.27E-01	2.18E-01	6.78E-01	3.18E-01
C010r	3.12E-01	3.31E-01	8.62E-01	2.70E-01	1.22E-01	2.24E-01	5.59E-01	8.61E-01	9.22E-01	4.43E-01	1.78E-01	8.50E-01	9.90E-01	9.63E-01
C011	2.50E-01	7.90E-02	4.02E-01	9.83E-02	2.35E-01	6.48E-01	3.62E-01	3.89E-01	4.12E-01	3.61E-01	6.21E-01	3.18E-01	3.88E-01	4.11E-01
C013	3.49E-01	5.37E-01	3.47E-01	7.55E-01	5.15E-01	5.55E-01	5.37E-01	9.10E-01	7.45E-01	5.48E-01	8.46E-01	1.76E-01	7.18E-01	2.01E-01
C014	3.17E-01	3.53E-01	1.79E+00	1.09E+00	4.14E-01	3.39E-01	1.20E+00	1.47E+00	1.55E+00	1.26E+00	5.85E-01	1.23E-01	1.22E+00	5.42E-01
F001	1.27E-01	2.18E-01	9.96E-01	7.10E-01	4.47E-01	9.97E-01	8.24E-01	1.21E+00	1.63E+00	1.03E+00	7.42E-01	7.24E-01	1.72E+00	1.09E+00
F002	0.00E+00	1.92E-01	8.61E-01	3.92E-01	4.08E-01	2.68E-01	8.28E-01	8.36E-01	6.35E-01	1.19E+00	2.64E-01	9.60E-02	7.90E-01	5.32E-01
F002r	9.21E-01	2.11E+00	3.43E+00	2.62E+00	1.12E+00	2.26E+00	3.32E+00	4.27E+00	3.70E+00	4.30E+00	1.57E+00	4.91E-01	3.61E+00	2.80E+00
F004	1.17E-01	1.77E-01	6.59E-01	4.82E-01	5.17E-02	2.13E-01	5.39E-01	6.79E-01	5.69E-01	6.51E-01	6.20E-01	3.23E-01	4.92E-01	2.64E-01
F005	1.23E-01	3.17E-01	1.29E+00	2.26E-01	2.13E-01	2.32E-01	1.10E+00	1.27E+00	1.42E+00	1.18E+00	1.14E+00	2.83E-01	1.02E+00	6.71E-01
F006	0.00E+00	0.00E+00	8.31E-02	0.00E+00	0.00E+00	3.33E-02	3.19E-02	1.49E-01	1.25E-01	3.24E-02	0.00E+00	1.11E-01	1.78E-01	2.38E-01
F007	1.84E+00	3.70E+00	8.35E+00	7.31E+00	3.00E+00	1.03E+01	8.79E+00	7.58E+00	6.75E+00	6.58E+00	4.65E+00	8.37E+00	7.00E+00	3.97E+00
F008	1.05E-01	4.09E-01	1.79E+00	6.87E-01	1.27E+00	6.39E-01	2.90E+00	9.32E-01	1.53E+00	2.56E+00	4.20E-01	0.00E+00	1.85E+00	8.15E-01
F010	5.41E-01	2.00E-01	1.21E+00	5.15E-01	3.98E-01	7.61E-01	1.23E+00	1.36E+00	1.54E+00	1.12E+00	7.91E-01	2.20E-01	1.51E+00	8.63E-01
F011	4.07E-01	0.00E+00	1.24E+00	5.82E-02	1.70E-01	1.75E-01	1.13E+00	1.44E+00	9.04E-01	4.12E-01	1.09E+00	3.35E-02	1.03E+00	6.94E-01
F012	5.19E-01	1.96E-01	1.20E+00	4.88E-01	3.67E-02	4.13E-01	1.51E+00	1.65E+00	1.41E+00	1.03E+00	6.60E-01	3.19E-02	8.54E-01	6.35E-01
F013	1.87E-01	6.50E-02	1.89E-01	1.39E-01	1.65E-01	8.49E-02	1.76E-01	3.59E-01	4.01E-01	1.18E-01	0.00E+00	1.30E-01	4.13E-01	4.36E-01
F014	4.60E-01	7.28E-01	2.58E+00	1.39E-01	1.52E-01	3.70E-01	1.60E+00	1.30E+00	2.04E+00	8.59E-01	1.45E+00	1.09E-01	1.48E+00	8.49E-01
F015	7.79E-01	1.33E+00	5.80E+00	1.95E+00	1.04E+00	7.98E-01	4.95E+00	3.90E+00	4.65E+00	4.22E+00	6.83E-01	1.36E+00	2.38E+00	1.20E+00
F016	5.57E-01	7.19E-01	2.05E+00	1.06E+00	4.19E-01	6.70E-01	2.20E+00	2.55E+00	2.85E+00	1.68E+00	1.18E+00	6.88E-01	1.53E+00	1.28E+00
F017	1.42E+00	2.35E+00	1.66E+00	1.89E+00	3.07E+00	5.12E+00	2.42E+00	3.22E+00	3.64E+00	1.93E+00	1.98E+00	1.71E+00	3.51E+00	8.84E-01
F018	0.00E+00	2.29E-01	7.35E-02	4.17E-01	4.87E-01	5.56E-01	4.40E-01	3.82E-01	5.11E-01	1.95E-01	8.18E-01	3.46E-02	6.94E-01	2.33E-01
F019	0.00E+00	2.49E-02	1.28E-01	8.32E-02	7.02E-02	8.34E-02	1.29E-01	9.80E-02	1.47E-01	1.45E-01	1.12E-01	9.56E-02	1.67E-01	1.51E-01
F020	6.58E-01	1.02E+00	4.88E+00	1.81E+00	1.08E+00	8.22E-01	3.93E+00	4.05E+00	3.73E+00	4.34E+00	7.14E-02	7.36E-01	2.60E+00	1.04E+00
F021	3.89E-02	9.35E-02	1.04E-01	5.44E-02	0.00E+00	5.02E-02	1.24E-01	1.92E-01	1.84E-01	1.33E-01	2.06E-02	0.00E+00	1.68E-01	1.17E-01
F022	6.40E-01	1.59E+00	3.65E+00	1.01E+00	2.73E-01	4.83E-01	3.04E+00	2.44E+00	2.96E+00	2.87E+00	6.73E-01	8.92E-01	1.49E+00	1.11E+00
F023	2.05E-01	1.23E-01	3.89E-01	1.28E-01	2.33E-02	1.59E-01	5.22E-01	2.95E-01	4.76E-01	1.10E-01	5.12E-01	1.43E-01	3.25E-01	3.17E-01
F024	2.53E-02	5.00E-03	5.94E-02	7.16E-02	1.40E-02	2.38E-02	3.86E-02	5.45E-02	3.88E-02	8.59E-02	0.00E+00	2.49E-02	1.13E-01	1.22E-01
F026	1.79E+00	1.67E+00	4.59E+00	3.90E+00	3.56E+00	1.35E+01	3.03E+00	4.35E+00	3.51E+00	4.72E+00	3.40E+00	1.04E+01	4.20E+00	2.45E+00
F027	8.14E-02	2.69E-01	3.30E-01	5.00E-03	0.00E+00	2.58E-01	4.88E-01	2.98E-01	1.88E-01	4.84E-01	4.15E-01	1.04E-01	4.23E-01	5.61E-01
F029	6.11E-01	1.04E+00	3.00E+00	3.50E-02	1.58E+00	5.34E-01	2.03E+00	3.77E+00	2.23E+00	1.98E+00	1.34E+00	1.56E+00	2.58E+00	1.93E+00
F031	2.15E+00	1.60E+00	5.69E+00	2.49E+00	7.43E-01	1.27E+00	5.91E+00	6.01E+00	5.48E+00	4.25E+00	1.14E+00	1.15E+00	3.32E+00	8.40E-01
F034	4.75E-01	7.36E-01	1.57E+00	6.31E-01	1.49E-01	4.92E-01	1.25E+00	1.06E+00	1.69E+00	7.23E-01	6.77E-01	2.55E-01	1.32E+00	6.74E-01
F036	6.61E-01	2.67E+00	3.26E+00	2.33E+00	3.77E+00	6.32E+00	3.56E+00	4.81E+00	2.69E+00	3.58E+00	2.92E+00	1.94E+00	2.86E+00	2.13E+00
F037	1.06E-01	7.35E-02	5.94E-02	1.58E-01	3.47E-02	2.68E-02	5.10E-02	5.51E-02	4.88E-02	9.02E-02	0.00E+00	8.24E-02	1.68E-01	2.08E-01
F038	6.29E-01	3.35E-02	2.14E+00	5.05E-01	3.57E-01	2.62E-01	1.80E+00	1.69E+00	2.90E+00	1.16E+00	7.53E-01	6.54E-01	1.72E+00	7.95E-01
F039	1.55E-01	5.87E-01	2.33E+00	5.74E-01	5.59E-01	5.72E-01	1.34E+00	1.18E+00	1.88E+00	1.03E+00	2.91E-01	5.85E-01	1.81E+00	1.12E+00
F041	1.30E+00	1.18E+00	5.72E+00	5.09E+00	4.05E-01	1.16E+00	7.32E+00	4.48E+00	5.09E+00	7.95E+00	1.41E+00	1.46E+00	3.66E+00	2.01E+00
F042	5.93E-01	1.36E+00	3.22E+00	1.70E+00	4.31E-01	1.45E+00	3.79E+00	3.66E+00	3.23E+00	3.31E+00	9.30E-01	9.42E-01	1.91E+00	7.41E-01
F043	3.95E-01	7.94E-01	1.79E+00	7.33E-01	7.04E-01	8.57E-01	2.11E+00	2.06E+00	2.20E+00	2.18E+00	6.96E-01	1.40E+00	1.58E+00	1.71E+00
F044	1.12E-02	2.13E-01	7.35E-01	2.49E-01	1.00E-02	1.26E-01	7.11E-01	4.73E-01	5.38E-01	7.65E-01	4.17E-01	2.40E-01	1.19E+00	1.22E+00
F045	6.53E-01	9.65E-01	2.03E+00	5.87E-01	9.81E-01	7.06E-01	3.33E+00	2.22E+00	2.98E+00	2.11E+00	1.09E+00	1.59E+00	1.71E+00	8.83E-01
F046	9.40E-02	3.09E-01	3.46E-01	3.22E-01	9.52E-02	1.26E-01	3.66E-01	2.31E-01	3.12E-01	4.57E-01	1.91E-01	2.49E-01	4.17E-01	2.78E-01
