Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	569	0.972	143.107	25.151%	18.432	23.742%	0.06904	0.938
C002	730	0.979	143.987	19.724%	19.887	20.497%	0.03511	0.948
C003	261	0.918	107.053	41.016%	14.476	39.739%	0.1696	0.814
C004	21	0.609	28.361	135.052%	4.299	79.83%	1.28097	0.515
C005	1064	0.979	222.707	20.931%	30.34	20.391%	0.03315	0.956
C006	279	0.946	102.033	36.571%	14.177	32.346%	0.13282	0.906
C007	525	0.979	122.197	23.276%	16.655	20.711%	0.0687	0.962
C008	12	0.818	11.914	99.283%	2.443	61.075%	1.0063	0.807
C009	816	0.977	160.653	19.688%	21.876	21.312%	0.04243	0.933
C010	35	0.674	43.372	123.92%	6.578	74.963%	1.07406	0.61
C010r	63	0.715	59.602	94.606%	8.424	69.958%	0.78619	0.565
C011	54	0.798	47.567	88.087%	6.507	60.416%	0.69932	0.715
C013	86	0.845	56.577	65.787%	8.108	53.463%	0.47957	0.756
C014	132	0.891	72.254	54.738%	9.38	45.661%	0.30514	0.801
F001	139	0.887	72.516	52.17%	10.008	46.312%	0.29167	0.791
F002	66	0.777	51.424	77.915%	7.246	63.068%	0.62637	0.63
F002r	541	0.956	158.199	29.242%	20.679	29.277%	0.08661	0.883
F004	67	0.873	43.777	65.339%	5.957	48.802%	0.46619	0.809
F005	115	0.883	66.325	57.674%	9.639	47.546%	0.37873	0.822
F006	8	0.594	12.07	150.875%	2.332	82.449%	1.49976	0.573
F007	2059	0.996	191.915	9.321%	25.201	9.278%	0.00955	0.989
F008	172	0.897	94.38	54.872%	13.059	45.004%	0.29712	0.838
F010	124	0.853	76.263	61.502%	10.118	52.18%	0.35438	0.725
F011	100	0.886	64.028	64.028%	9.44	47.679%	0.38724	0.848
F012	106	0.853	70.766	66.76%	9.585	52.447%	0.40711	0.765
F013	23	0.677	27.762	120.704%	4.312	75.062%	1.07718	0.625
F014	198	0.954	74.148	37.448%	9.665	30.057%	0.18637	0.923
F015	507	0.97	128.64	25.373%	17.611	24.392%	0.07688	0.937
F016	239	0.93	98.864	41.366%	13.465	36.715%	0.18155	0.872
F017	586	0.961	163.574	27.914%	22.043	27.847%	0.06964	0.908
F018	58	0.846	53.098	91.548%	8.478	54.955%	0.72664	0.822
F019	8	0.338	14.185	177.312%	2.976	94.109%	2.27445	0.227
F020	384	0.943	140.329	36.544%	18.39	33.299%	0.1315	0.883
F021	8	0.401	13.732	171.65%	2.904	91.833%	2.1485	0.328
F022	306	0.963	90.733	29.651%	12.137	27.004%	0.11279	0.93
F023	32	0.777	28.847	90.147%	4.628	62.979%	0.95274	0.711
F024	4	0.384	7.179	179.475%	1.861	93.05%	2.51878	0.362
F026	1396	0.991	186.856	13.385%	24.51	13.858%	0.0163	0.974
F027	31	0.629	37.46	120.839%	5.333	77.79%	1.03676	0.482
F029	328	0.936	129.471	39.473%	17.42	35.738%	0.17015	0.882
F031	650	0.97	160.632	24.713%	22.798	24.442%	0.07205	0.94
F034	129	0.893	67.574	52.383%	9.071	45.186%	0.28168	0.804
F036	736	0.968	180.25	24.49%	24.809	25.03%	0.05826	0.926
F037	9	0.522	14.182	157.578%	2.864	86.353%	1.86838	0.481
F038	176	0.916	82.162	46.683%	11.386	40.357%	0.23147	0.855
F039	150	0.892	78.967	52.645%	10.583	45.291%	0.281	0.801
F041	703	0.976	160.596	22.844%	22.24	22.405%	0.0588	0.952
F042	349	0.957	107.132	30.697%	14.321	29.118%	0.12601	0.907
F043	260	0.922	103.166	39.679%	13.591	38.69%	0.14472	0.807
F044	67	0.838	49.599	74.028%	6.773	55.118%	0.52643	0.762
F045	306	0.939	111.272	36.363%	15.147	34.604%	0.12208	0.872
