Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
C001	35	19	0	0	0	0	36	11	0	0	0	25	336	58	49
C002	11	31	378	38	32	0	96	32	0	0	0	19	54	0	39
C003	11	8	0	0	98	0	0	0	0	82	0	8	54	0	0
C004	0	0	0	4	0	0	0	0	0	0	0	0	0	17	0
C005	14	0	18	290	225	145	0	0	0	0	120	86	2	164	0
C006	12	0	0	0	21	0	101	4	0	34	62	0	41	0	4
C007	19	0	0	1	63	8	82	112	88	16	123	2	0	0	11
C008	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0
C009	14	35	73	22	107	21	110	31	0	70	0	20	239	62	12
C010	0	3	0	0	0	0	0	0	0	0	6	1	0	25	0
C010r	6	0	0	0	0	0	2	0	0	16	0	11	0	28	0
C011	5	0	0	1	0	8	0	2	0	0	19	1	5	13	0
C013	2	9	12	8	0	0	0	0	23	0	32	0	0	0	0
C014	3	0	15	6	0	0	56	0	0	36	8	0	0	8	0
F001	0	0	0	2	43	11	0	0	0	1	13	4	0	65	0
F002	0	0	0	11	0	0	2	1	0	0	1	0	51	0	0
F002r	2	42	0	1	0	21	0	0	198	45	8	0	116	95	13
F004	0	0	4	0	0	0	13	0	0	11	28	4	7	0	0
F005	0	3	0	1	14	0	0	0	0	21	38	2	21	0	15
F006	0	0	0	0	0	0	0	0	0	0	0	1	0	3	4
F007	12	42	224	29	0	190	219	208	115	113	103	765	0	0	39
F008	0	0	0	54	0	0	0	112	0	0	0	0	6	0	0
F010	6	0	0	0	42	5	0	0	0	50	17	0	0	0	4
F011	5	0	0	0	0	0	10	0	37	0	29	0	0	19	0
F012	10	0	3	0	0	0	28	0	27	0	13	0	23	2	0
F013	2	0	0	2	5	0	0	0	0	0	0	0	0	7	7
F014	5	0	0	0	0	1	88	0	0	48	54	0	0	0	2
F015	0	8	18	17	145	0	55	203	8	0	0	10	0	43	0
F016	0	0	0	2	118	0	1	1	63	0	27	0	0	27	0
F017	7	75	13	107	126	221	0	0	0	0	35	0	0	2	0
F018	0	0	7	9	0	6	0	0	0	0	36	0	0	0	0
F019	0	0	0	1	0	0	0	2	0	1	1	1	0	0	2
F020	0	5	0	19	138	0	0	29	0	156	0	0	37	0	0
F021	0	1	0	0	1	0	0	0	0	0	0	0	0	6	0
F022	0	30	0	0	0	0	161	0	0	23	4	15	71	0	2
F023	5	0	0	0	7	1	3	0	0	0	16	0	0	0	0
F024	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1
F026	51	0	61	36	0	593	15	42	0	157	24	400	8	0	9
F027	0	3	0	0	0	0	0	4	0	0	8	0	10	0	6
F029	0	0	0	59	0	0	0	0	176	21	17	32	0	1	22
F031	72	0	44	0	19	3	235	34	191	39	0	13	0	0	0
F034	2	11	0	0	0	7	70	0	0	6	6	0	3	24	0
F036	0	8	18	132	0	304	0	58	132	0	30	0	25	7	22
F037	1	0	1	0	0	0	0	0	0	0	0	0	0	0	7
F038	5	0	0	2	143	2	0	0	0	0	13	10	0	0	1
F039	0	0	0	11	0	0	75	20	0	16	0	4	0	0	24
F041	24	0	168	0	33	0	0	287	0	0	21	10	160	0	0
F042	0	13	25	0	60	2	0	123	85	0	3	6	32	0	0
F043	1	0	0	12	93	4	0	4	26	0	11	50	23	0	36
F044	0	0	0	0	0	0	0	7	0	5	8	0	0	26	21
F045	5	12	0	32	79	0	0	103	0	0	22	53	0	0	0
F046	0	3	0	1	0	0	0	0	0	0	3	4	17	0	0
F048	0	0	0	2	0	1	0	1	2	0	0	0	0	0	22
F050	0	4	2	0	0	0	0	1	0	0	0	0	0	0	0
F052	2	0	0	0	15	0	0	0	0	18	0	0	9	0	0
F053	9	0	0	0	0	0	0	52	17	0	7	9	0	0	31
F054	3	0	0	0	0	0	27	0	0	3	1	0	0	6	1
F055	32	54	113	719	0	73	15	0	0	42	64	11	0	0	32
