Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
C001	1.61E+00	2.15E+00	2.89E+00	3.48E-01	4.01E+00	8.26E-01	2.99E+00	5.17E+00	2.66E+00	4.33E+00	4.28E-01	1.09E+00	6.21E+00	3.23E+00	3.36E+00
C002	1.11E+00	2.38E+00	5.42E+00	1.56E+00	4.53E+00	1.42E+00	3.78E+00	3.83E+00	3.10E+00	3.55E+00	2.74E-01	1.03E+00	5.69E+00	3.43E+00	3.14E+00
C003	7.99E-01	9.17E-01	1.46E+00	7.26E-02	3.21E+00	5.38E-01	2.42E+00	2.66E+00	1.89E+00	2.94E+00	2.86E-01	5.69E-01	3.04E+00	1.39E+00	8.17E-01
C004	1.00E-02	1.64E-01	2.11E-01	2.35E-01	1.95E-01	2.13E-01	2.22E-01	1.79E-01	3.35E-01	2.69E-01	1.61E-01	6.42E-02	2.15E-01	4.30E-01	2.44E-01
C005	1.27E+00	9.75E-01	2.33E+00	3.92E+00	5.38E+00	5.27E+00	4.42E+00	3.30E+00	3.55E+00	3.43E+00	3.37E+00	2.78E+00	3.44E+00	4.72E+00	1.97E+00
C006	7.03E-01	2.28E-01	3.92E-01	1.44E-01	2.60E+00	5.71E-01	3.18E+00	2.62E+00	2.18E+00	1.96E+00	1.61E+00	6.77E-02	1.79E+00	1.27E+00	1.01E+00
C007	1.13E+00	8.11E-01	3.69E-01	7.46E-01	3.70E+00	1.17E+00	4.06E+00	3.80E+00	3.64E+00	2.95E+00	3.15E+00	3.78E-01	2.15E+00	2.47E+00	1.34E+00
C008	1.61E-01	5.91E-02	2.00E-02	0.00E+00	5.00E-03	4.00E-02	2.00E-02	5.00E-02	5.65E-02	4.01E-02	1.96E-01	8.42E-02	2.86E-02	7.06E-02	3.82E-02
C009	1.22E+00	2.24E+00	3.64E+00	1.04E+00	5.05E+00	1.87E+00	3.97E+00	4.59E+00	3.61E+00	4.11E+00	7.62E-01	1.04E+00	4.79E+00	3.68E+00	2.33E+00
C010	2.00E-01	2.83E-01	2.25E-01	9.37E-02	3.45E-01	2.99E-01	6.31E-01	1.82E-01	3.55E-01	3.77E-01	4.09E-01	1.80E-01	1.05E-01	7.27E-01	3.13E-01
