Samples	SBS96A	SBS96B	SBS96C	SBS96D
C001	392	110	67	0
C002	571	0	74	85
C003	168	56	37	0
C004	4	8	0	9
C005	146	317	49	552
C006	44	224	11	0
C007	17	464	28	16
C008	0	6	4	2
C009	525	200	79	12
C010	1	23	2	9
C010r	32	19	10	2
C011	0	37	2	15
C013	0	53	4	29
C014	60	61	10	1
F001	46	73	1	19
F002	36	21	0	9
F002r	241	213	52	35
F004	0	59	0	8
F005	4	97	0	14
F006	7	1	0	0
F007	1281	49	73	656
F008	55	61	5	51
F010	31	77	12	4
F011	0	96	4	0
F012	25	66	15	0
F013	12	5	5	1
F014	3	190	5	0
F015	256	215	36	0
F016	58	166	15	0
F017	66	126	66	328
F018	0	25	0	33
F019	4	2	0	2
F020	228	120	36	0
F021	3	5	0	0
F022	181	100	25	0
F023	0	26	3	3
F024	4	0	0	0
F026	620	0	67	709
F027	0	30	0	1
F029	60	144	22	102
F031	264	258	128	0
F034	50	67	12	0
F036	111	191	17	417
F037	7	0	2	0
F038	60	96	20	0
F039	86	58	3	3
F041	460	187	56	0
F042	178	146	25	0
F043	133	66	18	43
F044	33	33	0	1
F045	100	125	28	53
F046	15	4	3	6
F048	19	2	0	7
F050	4	0	2	1
F052	22	17	5	0
F053	54	56	15	0
F054	17	19	5	0
F055	56	0	136	963
F056	41	26	11	0
F057	128	245	28	10
F058	397	357	95	47
F059	0	196	0	21
F059r	0	258	0	61
SJ01	0	423	2187	153
SJ02	108	140	56	0
SJ03	33	384	21	32
SJ04	19	0	0	0
SJ08	35	233	9	19
SJ09	47	84	0	2
SJ10	206	34	25	329
SJ12	104	135	37	0
SJ13	97	0	8	21
SJ14	45	58	0	20
SJ17	247	36	28	24
SJ18	58	83	14	1
SJ19	118	151	35	0
SJ20	986	233	167	214
SJ25	123	0	9	72
SJ28	609	269	93	96
SJ31	71	37	0	16
SJ32	179	374	73	437
SJ33	78	51	26	0
T135	1585	0	3126	205
