Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
C001	353	138	39	4	0	35
C002	46	569	38	14	57	6
C003	184	32	25	0	0	20
C004	0	8	0	6	7	0
C005	196	12	25	224	454	153
C006	142	0	10	125	0	2
C007	201	0	26	271	19	8
C008	0	0	4	8	0	0
C009	419	236	34	41	52	34
C010	0	9	2	18	3	3
C010r	31	1	8	7	0	16
C011	0	1	4	37	6	6
C013	0	10	5	54	17	0
C014	55	36	5	27	9	0
F001	54	20	0	40	13	12
F002	47	2	0	0	17	0
F002r	203	154	30	100	47	7
F004	0	13	0	50	0	4
F005	24	4	0	71	5	11
F006	5	1	0	0	0	2
F007	367	327	44	250	84	987
F008	100	0	0	0	72	0
F010	65	0	8	37	7	7
F011	14	0	7	78	1	0
F012	41	15	13	37	0	0
F013	11	5	3	0	4	0
F014	76	0	5	113	0	4
F015	393	25	11	37	41	0
F016	117	21	8	79	14	0
F017	11	62	56	125	236	96
F018	0	0	0	41	17	0
F019	1	3	0	1	2	1
F020	306	23	11	0	44	0
F021	7	1	0	0	0	0
F022	231	21	11	20	2	21
F023	0	0	5	27	0	0
F024	2	2	0	0	0	0
F026	14	131	70	210	201	770
F027	7	4	0	20	0	0
F029	121	0	11	64	99	33
F031	377	64	108	89	4	8
F034	66	19	8	29	4	3
F036	46	92	4	175	304	115
F037	0	6	2	0	0	1
F038	108	0	14	35	7	12
F039	124	0	0	0	20	6
F041	311	290	25	77	0	0
F042	210	66	11	50	10	2
F043	127	3	9	27	23	71
F044	23	22	0	20	0	2
F045	137	0	18	52	44	55
F046	3	11	2	5	1	6
F048	16	0	0	0	5	7
F050	0	5	1	0	1	0
F052	39	0	4	1	0	0
F053	65	7	11	27	0	15
F054	29	1	4	7	0	0
F055	42	66	75	0	967	5
F056	29	30	7	11	1	0
F057	125	108	20	147	7	4
F058	370	201	60	165	69	31
F059	1	0	0	208	0	8
F059r	0	0	1	282	16	20
SJ01	0	0	2131	325	307	0
SJ02	128	59	45	62	10	0
SJ03	138	55	16	219	42	0
SJ04	0	12	0	0	0	7
SJ08	103	16	9	142	11	15
SJ09	89	0	0	30	12	2
SJ10	26	56	19	96	164	233
SJ12	73	95	29	76	3	0
SJ13	0	105	2	6	10	3
SJ14	0	67	0	49	7	0
SJ17	153	129	7	0	31	15
SJ18	42	51	10	50	3	0
SJ19	193	1	24	57	14	15
SJ20	143	940	107	229	100	81
SJ25	21	38	8	14	10	113
SJ28	335	369	53	156	47	107
SJ31	17	71	0	28	7	1
SJ32	38	207	59	334	296	129
SJ33	117	10	20	6	2	0
T135	289	1261	2848	0	262	256
