Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
C001	7.04E+00	6.66E+00	1.32E+00	1.48E+00	5.40E-01	1.06E+00
C002	9.58E+00	9.06E+00	1.67E+00	5.44E-01	1.88E+00	1.28E+00
C003	3.85E+00	3.66E+00	7.94E-01	1.10E+00	2.45E-01	7.46E-01
C004	3.48E-01	3.50E-01	1.43E-01	3.22E-01	3.70E-01	1.31E-01
C005	5.17E+00	3.49E+00	1.38E+00	5.54E+00	3.85E+00	2.80E+00
C006	3.30E+00	1.50E+00	5.36E-01	2.83E+00	2.62E-01	2.94E-01
C007	5.50E+00	1.58E+00	1.06E+00	5.03E+00	1.12E+00	6.37E-01
C008	8.86E-02	3.89E-02	1.73E-01	2.08E-01	8.48E-02	1.05E-01
C009	8.37E+00	8.17E+00	1.74E+00	2.30E+00	1.71E+00	1.43E+00
C010	4.63E-01	4.27E-01	2.43E-01	5.30E-01	3.56E-01	1.99E-01
C010r	1.09E+00	6.60E-01	3.51E-01	7.82E-01	1.44E-01	6.94E-01
C011	3.70E-01	1.36E-01	2.19E-01	5.04E-01	4.57E-01	5.10E-01
C013	5.03E-01	7.18E-01	4.43E-01	8.83E-01	7.47E-01	4.19E-01
C014	1.86E+00	1.66E+00	4.08E-01	1.14E+00	6.12E-01	2.23E-01
F001	1.45E+00	1.36E+00	1.22E-01	1.09E+00	6.71E-01	8.07E-01
F002	1.19E+00	1.11E+00	0.00E+00	6.19E-01	4.68E-01	1.38E-01
F002r	4.54E+00	4.09E+00	1.40E+00	2.92E+00	1.69E+00	1.15E+00
F004	7.39E-01	6.45E-01	1.08E-01	7.12E-01	1.64E-01	2.67E-01
F005	1.71E+00	5.25E-01	1.85E-01	1.65E+00	3.67E-01	4.39E-01
F006	2.30E-01	2.08E-01	0.00E+00	1.49E-01	0.00E+00	1.80E-01
F007	9.92E+00	1.05E+01	2.46E+00	7.32E+00	3.75E+00	6.28E+00
F008	2.21E+00	1.78E+00	2.29E-01	1.26E+00	8.72E-01	1.15E-01
