Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
C001	274	26	92	0	0	151	26
C002	102	39	518	0	54	0	17
C003	174	24	40	0	0	0	23
C004	0	0	2	3	6	10	0
C005	178	32	63	211	422	0	158
C006	150	11	0	113	0	1	4
C007	209	27	0	241	20	20	8
C008	0	4	0	8	0	0	0
C009	372	28	209	31	45	97	34
C010	0	1	0	14	2	17	1
C010r	10	5	0	5	0	32	11
C011	0	4	4	35	5	0	6
C013	0	5	15	51	15	0	0
C014	49	4	31	23	8	17	0
F001	27	0	8	36	8	52	8
F002	44	0	5	0	17	0	0
F002r	120	15	86	84	32	204	0
F004	3	0	13	45	0	1	5
F005	9	0	0	62	1	36	7
F006	0	0	0	0	0	8	0
F007	414	37	309	189	69	42	999
F008	100	0	0	0	72	0	0
F010	58	9	0	32	6	12	7
F011	14	8	0	68	0	10	0
F012	44	13	17	32	0	0	0
F013	1	2	1	0	3	16	0
F014	62	4	0	98	0	34	0
F015	376	10	46	30	42	0	3
F016	106	8	20	69	13	23	0
F017	20	53	68	112	220	16	97
F018	0	0	0	42	16	0	0
F019	0	0	1	1	1	4	1
F020	280	10	36	0	43	15	0
F021	2	0	0	0	0	6	0
F022	196	4	8	18	0	62	18
F023	0	5	0	27	0	0	0
F024	0	0	0	0	0	4	0
F026	57	69	149	166	178	0	777
F027	0	0	0	15	0	16	0
F029	67	5	0	59	86	87	24
F031	369	106	84	69	7	0	15
F034	49	5	10	25	1	39	0
F036	34	0	78	160	279	74	111
F037	0	1	2	0	0	6	0
F038	106	16	2	29	8	0	15
F039	87	0	0	1	15	44	3
F041	336	26	278	60	0	0	3
F042	212	10	68	41	12	0	6
F043	103	7	4	24	19	35	68
F044	0	0	2	15	0	50	0
F045	146	17	0	41	44	0	58
F046	4	2	8	4	1	3	6
F048	0	0	0	0	2	24	2
F050	0	1	5	0	1	0	0
F052	30	3	0	1	0	10	0
F053	48	9	0	23	0	33	12
F054	20	3	0	6	0	12	0
F055	5	64	77	10	920	74	5
F056	13	5	16	9	0	35	0
F057	139	23	109	126	7	0	7
F058	358	59	189	143	65	47	35
F059	22	0	0	188	0	0	7
F059r	1	8	2	271	14	0	23
SJ01	26	2144	0	243	350	0	0
SJ02	124	41	46	51	11	31	0
SJ03	131	14	43	191	38	53	0
SJ04	0	0	0	0	0	19	0
SJ08	114	10	20	125	11	0	16
SJ09	35	0	0	27	4	67	0
SJ10	19	16	53	83	148	45	230
SJ12	81	29	82	64	4	16	0
SJ13	1	4	101	6	8	0	6
SJ14	4	0	57	43	6	13	0
SJ17	135	6	117	0	26	35	16
SJ18	34	7	35	43	1	36	0
SJ19	151	21	0	51	10	60	11
SJ20	249	110	870	176	95	0	100
SJ25	0	3	14	8	4	72	103
SJ28	149	24	211	133	16	464	70
SJ31	0	0	19	16	0	89	0
SJ32	53	49	164	298	274	102	123
SJ33	105	21	21	5	2	0	1
T135	0	2555	593	0	211	1407	150
