Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
C001	5.42E+00	1.41E+00	4.85E+00	1.17E+00	4.53E-01	5.24E+00	1.11E+00
C002	7.16E+00	1.72E+00	6.87E+00	4.16E-01	1.76E+00	4.53E+00	1.23E+00
C003	3.02E+00	8.60E-01	2.65E+00	7.84E-01	2.05E-01	2.60E+00	7.10E-01
C004	2.87E-01	1.23E-01	3.13E-01	2.77E-01	3.41E-01	3.94E-01	1.11E-01
C005	5.25E+00	1.62E+00	3.63E+00	4.74E+00	3.82E+00	5.18E+00	2.84E+00
C006	2.92E+00	6.94E-01	9.03E-01	2.13E+00	2.60E-01	2.25E+00	2.79E-01
C007	4.52E+00	1.19E+00	1.10E+00	3.76E+00	1.07E+00	3.11E+00	6.04E-01
C008	0.00E+00	1.75E-01	4.40E-02	2.03E-01	4.10E-02	6.92E-02	1.03E-01
C009	6.22E+00	1.63E+00	5.86E+00	1.73E+00	1.61E+00	5.44E+00	1.46E+00
C010	3.85E-01	2.52E-01	3.80E-01	4.82E-01	3.09E-01	5.40E-01	2.00E-01
C010r	9.69E-01	3.52E-01	6.54E-01	6.01E-01	1.24E-01	1.11E+00	7.07E-01
C011	4.30E-01	2.79E-01	1.78E-01	5.93E-01	4.56E-01	4.80E-01	5.03E-01
C013	5.15E-01	4.35E-01	7.24E-01	9.35E-01	7.36E-01	6.13E-01	3.33E-01
C014	1.78E+00	3.85E-01	1.51E+00	1.00E+00	6.25E-01	1.46E+00	1.84E-01
F001	1.56E+00	1.97E-01	1.17E+00	9.69E-01	6.03E-01	1.53E+00	8.37E-01
F002	1.09E+00	0.00E+00	8.79E-01	5.05E-01	4.67E-01	7.83E-01	1.21E-01
F002r	4.86E+00	1.48E+00	3.76E+00	2.68E+00	1.48E+00	4.15E+00	1.00E+00
F004	7.20E-01	1.29E-01	6.12E-01	6.81E-01	1.23E-01	6.39E-01	2.90E-01
F005	1.64E+00	1.94E-01	4.80E-01	1.55E+00	3.44E-01	1.28E+00	4.08E-01
F006	1.92E-01	0.00E+00	1.71E-01	9.27E-02	0.00E+00	2.52E-01	1.38E-01
F007	1.09E+01	2.39E+00	8.92E+00	7.04E+00	3.58E+00	1.02E+01	7.08E+00
F008	1.91E+00	1.59E-01	1.33E+00	9.05E-01	8.99E-01	1.62E+00	4.50E-02
F010	1.63E+00	5.21E-01	8.99E-01	1.39E+00	6.27E-01	1.20E+00	4.86E-01
F011	1.27E+00	3.99E-01	2.11E-01	1.34E+00	2.53E-01	1.05E+00	8.84E-02
F012	1.65E+00	4.73E-01	8.06E-01	1.03E+00	7.18E-02	1.10E+00	7.21E-02
F013	4.50E-01	2.21E-01	3.56E-01	2.18E-01	1.90E-01	5.19E-01	3.92E-02
F014	2.56E+00	5.19E-01	6.99E-01	2.09E+00	2.28E-01	1.81E+00	1.57E-01
F015	4.41E+00	1.14E+00	2.99E+00	1.70E+00	1.22E+00	4.44E+00	8.14E-01
F016	2.51E+00	7.61E-01	1.55E+00	1.81E+00	6.61E-01	2.12E+00	2.93E-01
F017	2.74E+00	1.51E+00	3.10E+00	3.26E+00	3.74E+00	3.79E+00	3.18E+00
F018	1.10E-01	5.00E-03	3.93E-01	6.46E-01	7.36E-01	2.23E-01	1.55E-01
F019	1.60E-01	0.00E+00	1.43E-01	1.55E-01	1.33E-01	1.72E-01	1.45E-01
F020	4.31E+00	8.59E-01	3.45E+00	4.22E-01	1.01E+00	4.25E+00	5.41E-01
F021	2.36E-01	7.83E-02	1.40E-01	1.09E-01	0.00E+00	2.18E-01	1.50E-02
F022	3.31E+00	1.08E+00	2.15E+00	1.36E+00	3.80E-01	3.42E+00	7.96E-01
F023	4.17E-01	2.12E-01	2.45E-01	5.18E-01	4.98E-02	3.49E-01	1.61E-01
F024	7.62E-02	1.12E-02	1.29E-01	4.00E-02	4.53E-02	1.27E-01	5.73E-02
F026	4.61E+00	2.08E+00	6.53E+00	5.71E+00	5.04E+00	1.06E+01	7.62E+00
