Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
C001	222	21	101	75	0	0	19	131
C002	100	34	13	506	0	52	21	4
C003	158	19	21	38	0	0	20	5
C004	0	0	0	2	3	6	0	10
C005	150	36	0	53	195	396	152	82
C006	152	11	1	0	101	0	3	11
C007	216	20	48	0	217	15	4	5
C008	0	5	0	0	7	0	0	0
C009	324	17	108	187	20	34	28	98
C010	0	3	0	1	13	2	2	14
C010r	7	9	0	0	2	0	11	34
C011	0	5	0	2	32	4	5	6
C013	0	4	11	12	47	12	0	0
C014	51	5	0	29	18	9	0	20
F001	27	2	0	8	29	10	7	56
F002	43	0	0	7	0	16	0	0
F002r	94	10	141	63	67	23	0	143
F004	8	0	1	11	41	0	5	1
F005	10	0	21	0	55	0	5	24
F006	0	0	0	0	0	0	0	8
F007	385	26	89	296	172	60	999	32
F008	100	0	0	0	0	72	0	0
F010	46	11	0	0	26	5	4	32
F011	14	9	0	0	58	0	0	19
F012	43	12	4	16	29	0	0	2
F013	0	4	0	0	0	3	0	16
F014	76	4	13	0	88	0	0	17
F015	360	4	20	56	24	38	5	0
F016	105	10	0	20	59	14	0	31
F017	0	34	122	48	109	191	82	0
F018	0	0	0	0	43	15	0	0
F019	0	0	0	0	1	1	1	5
F020	252	3	41	38	0	36	0	14
F021	1	0	2	0	0	0	0	5
F022	190	0	79	6	13	0	16	2
F023	0	6	0	1	25	0	0	0
F024	0	0	0	0	0	0	0	4
F026	17	71	23	143	159	160	762	61
F027	0	0	11	0	12	0	0	8
F029	69	9	22	0	51	86	27	64
F031	364	100	0	104	55	9	18	0
F034	52	4	21	8	20	1	0	23
F036	6	0	126	61	155	245	95	48
F037	0	2	0	1	0	0	0	6
F038	101	16	0	5	23	7	14	10
F039	87	0	0	0	0	17	4	42
F041	321	24	5	293	54	0	6	0
F042	181	0	72	56	37	2	1	0
F043	86	9	12	4	19	17	67	46
F044	0	0	0	1	12	0	0	54
F045	142	13	12	0	37	42	60	0
F046	2	0	13	4	4	0	5	0
F048	0	0	0	0	0	3	2	23
F050	0	0	6	1	0	0	0	0
F052	25	4	0	0	0	0	0	15
F053	40	11	8	1	19	0	11	35
F054	19	4	0	0	4	0	0	14
F055	0	54	73	86	33	875	17	17
F056	12	8	0	18	6	0	0	34
F057	147	23	0	109	111	6	9	6
F058	348	58	13	188	120	64	37	68
F059	39	0	0	0	169	0	6	3
F059r	23	12	0	3	248	12	21	0
SJ01	27	2097	0	17	196	393	22	11
SJ02	114	36	34	47	44	10	0	19
SJ03	138	21	0	44	166	38	0	63
SJ04	0	0	0	0	0	0	0	19
SJ08	126	10	1	23	113	9	14	0
SJ09	29	0	0	0	19	7	0	78
SJ10	0	10	73	36	79	132	219	45
SJ12	77	30	0	78	54	4	0	33
SJ13	3	4	0	99	5	8	7	0
SJ14	6	0	5	52	38	5	0	17
SJ17	104	7	19	109	0	22	13	61
SJ18	25	2	48	26	35	0	0	20
SJ19	142	26	0	0	40	12	11	73
SJ20	185	100	70	811	146	82	91	115
SJ25	0	9	0	16	4	7	105	63
SJ28	132	56	73	211	96	25	67	407
SJ31	0	0	0	6	6	5	0	107
SJ32	35	10	303	111	279	226	99	0
SJ33	89	20	0	20	1	1	0	24
T135	0	1939	2862	35	0	59	21	0
