Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
C001	235	22	79	0	72	0	0	27	134
C002	113	27	29	0	456	0	52	25	28
C003	127	17	17	55	29	0	0	11	5
C004	0	0	0	6	1	2	5	0	7
C005	79	35	0	207	42	165	361	128	47
C006	152	13	0	1	2	94	0	1	16
C007	217	24	32	16	0	200	16	3	17
C008	0	5	0	0	0	7	0	0	0
C009	272	13	90	178	155	0	22	14	72
C010	0	2	3	2	1	12	2	2	11
C010r	5	8	0	10	0	1	0	12	27
C011	0	5	0	12	0	28	3	3	3
C013	0	4	10	0	15	45	12	0	0
C014	51	5	2	3	28	18	9	0	16
F001	9	1	0	63	2	20	4	2	38
F002	42	0	0	2	5	0	15	0	2
F002r	54	8	108	163	46	46	13	0	103
F004	9	0	2	0	9	40	0	5	2
F005	13	0	15	5	0	52	1	5	24
F006	0	0	0	0	0	0	0	0	8
F007	366	26	92	0	275	180	70	997	53
F008	102	0	0	0	0	0	70	0	0
F010	27	10	0	49	0	18	0	0	20
F011	16	10	0	0	0	55	1	0	18
F012	40	13	1	8	15	26	0	0	3
F013	0	4	0	0	0	0	3	0	16
F014	79	4	16	0	0	83	0	0	16
F015	358	7	9	0	54	23	39	7	10
F016	100	10	0	10	19	54	13	0	33
F017	0	31	34	253	0	54	172	42	0
F018	0	0	0	0	0	44	14	0	0
F019	0	0	0	0	0	1	1	1	5
F020	238	5	28	22	35	0	34	0	22
F021	0	0	2	2	0	0	0	0	4
F022	184	0	72	0	7	16	0	18	9
F023	1	6	0	0	1	24	0	0	0
F024	0	0	0	0	0	0	0	0	4
F026	0	51	0	449	34	75	127	660	0
F027	0	0	9	0	0	12	0	0	10
F029	67	8	24	0	0	51	85	32	61
F031	313	97	0	114	84	37	0	5	0
F034	41	3	18	36	5	14	0	0	12
F036	0	0	18	369	4	84	216	45	0
F037	0	2	0	0	1	0	0	0	6
F038	74	15	0	60	0	14	1	6	6
F039	90	0	0	0	0	0	17	6	37
F041	349	23	0	0	271	51	0	9	0
F042	191	0	53	4	57	35	6	3	0
F043	87	11	3	0	6	20	19	67	47
F044	0	0	0	0	3	13	0	0	51
F045	141	13	13	0	0	35	43	61	0
F046	2	0	11	0	5	4	0	6	0
F048	0	0	0	0	0	0	3	2	23
F050	0	0	5	0	2	0	0	0	0
F052	18	3	0	15	0	0	0	0	8
F053	43	11	4	0	1	19	0	13	34
F054	19	5	0	0	0	5	0	0	12
F055	0	50	68	0	93	47	845	30	22
F056	15	8	0	0	18	7	0	0	30
F057	114	22	0	95	89	89	0	0	2
F058	344	56	24	0	173	117	63	40	79
F059	45	0	0	0	0	156	1	6	9
F059r	38	13	0	0	2	230	12	20	4
SJ01	0	2055	0	102	17	158	401	23	7
SJ02	116	35	31	0	41	41	12	0	28
SJ03	102	20	0	101	33	141	28	0	45
SJ04	0	0	0	0	0	0	0	0	19
SJ08	98	9	3	71	14	95	2	4	0
SJ09	34	0	0	6	0	19	8	0	66
SJ10	0	8	11	230	3	39	118	185	0
SJ12	84	29	1	1	72	50	5	1	33
SJ13	7	3	0	2	92	5	8	8	1
SJ14	0	0	1	48	41	28	1	0	4
SJ17	100	7	9	35	101	0	20	11	52
SJ18	27	3	34	13	25	33	0	0	21
SJ19	145	26	0	0	1	39	13	13	67
SJ20	49	83	66	479	686	79	42	47	69
SJ25	0	9	3	0	19	7	8	107	51
SJ28	128	48	72	143	187	85	19	58	327
SJ31	0	0	0	0	9	10	5	0	100
SJ32	0	9	204	291	69	221	205	64	0
SJ33	71	19	0	33	13	0	0	0	19
T135	0	1821	2734	0	103	0	144	114	0
