Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,58.42%,67.44%,189.25%,61.1%,100.15,0.6821,3.0577,0.276,0.813,0.53,-0.148
2,0.99,0.99,YES,5.40e-03,32.58%,61.98%,187.64%,56.39%,99.28,0.6356,3.0179,0.241,0.813,0.606,-0.061
3*,0.98,0.96,YES,1.07e-01,27.4%,59.4%,187.79%,52.36%,99.61,0.6052,2.9993,0.221,0.812,0.653,-0.067
4,0.83,0.72,NO,N/A,23.94%,57.41%,187.24%,49.56%,98.72,0.5733,2.9466,0.203,0.8,0.682,-0.056
5,0.89,0.74,YES,Most Stab Sigs,20.47%,56.96%,186.71%,48.98%,98.69,0.5612,3.0755,0.193,0.797,0.701,-0.037
6,0.77,0.38,NO,N/A,19.44%,54.54%,185.21%,48.26%,97.78,0.5426,2.8775,0.183,0.771,0.72,0.006
7,0.66,-0.23,NO,N/A,19.29%,54.42%,185.07%,47.64%,98.04,0.5271,2.8608,0.174,0.776,0.738,0.009
8,0.59,-0.08,NO,N/A,15.52%,53.21%,183.67%,46.2%,96.65,0.5055,2.796,0.166,0.738,0.749,0.058
9,0.52,-0.29,NO,N/A,14.49%,52.94%,182.87%,46.47%,96.53,0.4975,2.7971,0.163,0.733,0.754,0.077
10,0.47,-0.16,NO,N/A,13.1%,50.32%,181.96%,44.36%,96.23,0.485,2.738,0.157,0.724,0.764,0.098
11,0.44,0.01,NO,N/A,12.55%,51.19%,181.61%,45.96%,96.3,0.4785,2.717,0.153,0.724,0.772,0.101
12,0.43,-0.08,NO,N/A,12.23%,50.69%,181.53%,45.04%,96.15,0.4733,2.7323,0.15,0.72,0.778,0.106
13,0.39,-0.1,NO,N/A,11.93%,50.5%,181.51%,44.01%,96.19,0.4721,2.7239,0.147,0.722,0.785,0.105
14,0.38,-0.13,NO,N/A,11.77%,49.98%,181.66%,43.56%,96.12,0.4689,2.7638,0.145,0.72,0.789,0.105
15,0.34,-0.13,NO,N/A,11.78%,49.23%,181.47%,43.37%,96.27,0.4663,2.7268,0.142,0.724,0.794,0.103
