Samples	SBS1	SBS5	SBS17a	SBS17b	SBS18	SBS31	SBS35	SBS98
C001	0	569	0	0	0	0	0	0
C002	0	730	0	0	0	0	0	0
C003	0	261	0	0	0	0	0	0
C004	2	19	0	0	0	0	0	0
C005	102	645	0	0	317	0	0	0
C006	26	253	0	0	0	0	0	0
C007	57	468	0	0	0	0	0	0
C008	4	0	0	0	0	8	0	0
C009	0	816	0	0	0	0	0	0
C010	5	30	0	0	0	0	0	0
C010r	0	63	0	0	0	0	0	0
C011	12	42	0	0	0	0	0	0
C013	18	68	0	0	0	0	0	0
C014	2	130	0	0	0	0	0	0
F001	11	128	0	0	0	0	0	0
F002	0	66	0	0	0	0	0	0
F002r	14	527	0	0	0	0	0	0
F004	11	56	0	0	0	0	0	0
F005	17	98	0	0	0	0	0	0
F006	0	8	0	0	0	0	0	0
F007	113	1569	143	234	0	0	0	0
F008	0	121	0	0	51	0	0	0
F010	8	116	0	0	0	0	0	0
F011	14	86	0	0	0	0	0	0
F012	9	97	0	0	0	0	0	0
F013	0	23	0	0	0	0	0	0
F014	23	175	0	0	0	0	0	0
F015	0	507	0	0	0	0	0	0
F016	13	226	0	0	0	0	0	0
F017	66	336	0	0	184	0	0	0
F018	25	19	0	0	14	0	0	0
F019	0	8	0	0	0	0	0	0
F020	0	384	0	0	0	0	0	0
F021	0	8	0	0	0	0	0	0
F022	0	306	0	0	0	0	0	0
F023	8	24	0	0	0	0	0	0
F024	0	4	0	0	0	0	0	0
F026	75	758	58	144	0	0	0	361
F027	4	27	0	0	0	0	0	0
F029	16	241	0	0	71	0	0	0
F031	3	540	0	0	0	107	0	0
F034	4	125	0	0	0	0	0	0
F036	77	442	0	0	217	0	0	0
F037	0	9	0	0	0	0	0	0
F038	4	172	0	0	0	0	0	0
F039	0	150	0	0	0	0	0	0
F041	4	699	0	0	0	0	0	0
F042	2	347	0	0	0	0	0	0
F043	9	231	0	20	0	0	0	0
F044	5	62	0	0	0	0	0	0
F045	12	275	0	19	0	0	0	0
F046	2	26	0	0	0	0	0	0
F048	0	28	0	0	0	0	0	0
F050	0	3	0	0	0	0	4	0
F052	0	44	0	0	0	0	0	0
F053	4	121	0	0	0	0	0	0
F054	0	41	0	0	0	0	0	0
F055	64	348	0	0	743	0	0	0
F056	3	75	0	0	0	0	0	0
F057	29	382	0	0	0	0	0	0
F058	28	868	0	0	0	0	0	0
F059	45	172	0	0	0	0	0	0
F059r	74	245	0	0	0	0	0	0
SJ01	68	0	0	0	561	2134	0	0
SJ02	4	300	0	0	0	0	0	0
SJ03	44	426	0	0	0	0	0	0
SJ04	0	19	0	0	0	0	0	0
SJ08	32	264	0	0	0	0	0	0
SJ09	4	129	0	0	0	0	0	0
SJ10	35	263	18	36	121	0	0	121
SJ12	10	266	0	0	0	0	0	0
SJ13	0	126	0	0	0	0	0	0
SJ14	13	110	0	0	0	0	0	0
SJ17	0	335	0	0	0	0	0	0
SJ18	7	149	0	0	0	0	0	0
SJ19	10	294	0	0	0	0	0	0
SJ20	33	1567	0	0	0	0	0	0
SJ25	13	142	22	27	0	0	0	0
SJ28	26	1041	0	0	0	0	0	0
SJ31	7	117	0	0	0	0	0	0
SJ32	106	729	0	0	228	0	0	0
SJ33	0	155	0	0	0	0	0	0
T135	0	1455	0	0	0	1507	1954	0
