Gene	occurrence	OncoKB	Oncogene	TSG
ABL1	25	7	Yes	Yes	No
ABL2	27	3	Yes	Yes	No
ABRAXAS1	84142	3	Yes	No	Yes
ACTG1	71	2	Yes	No	Yes
ACVR1	90	4	Yes	Yes	No
ADHFE1	137872	1	Yes	Yes	No
AFF4	27125	3	Yes	Yes	No
AGO1	26523	2	Yes	Yes	No
AGO2	27161	3	Yes	No	No
AJUBA	84962	1	Yes	No	Yes
AKT1	207	7	Yes	Yes	No
AKT2	208	6	Yes	Yes	No
AKT3	10000	5	Yes	Yes	No
ALB	213	2	Yes	No	No
ALDH2	217	1	Yes	No	Yes
ALK	238	7	Yes	Yes	No
ALOX12B	242	4	Yes	Yes	Yes
AMER1	139285	7	Yes	No	Yes
ANKRD11	29123	3	Yes	No	Yes
APC	324	7	Yes	No	Yes
APLNR	187	2	Yes	Yes	Yes
AR	367	7	Yes	Yes	No
ARAF	369	5	Yes	Yes	No
ARHGAP35	2909	2	Yes	Yes	Yes
ARHGEF28	64283	2	Yes	Yes	No
ARID1A	8289	7	Yes	No	Yes
ARID1B	57492	5	Yes	No	Yes
ARID2	196528	6	Yes	No	Yes
ARID3A	1820	2	Yes	No	Yes
ARID3B	10620	2	Yes	Yes	No
ARID3C	138715	2	Yes	No	No
ARID4A	5926	2	Yes	No	Yes
ARID4B	51742	2	Yes	No	Yes
ARID5A	10865	2	Yes	No	No
ARID5B	84159	3	Yes	No	Yes
ASXL1	171023	7	Yes	No	Yes
ASXL2	55252	3	Yes	No	Yes
ATF1	466	3	Yes	Yes	No
ATM	472	7	Yes	No	Yes
ATP1A1	476	2	Yes	Yes	Yes
ATP6AP1	537	2	Yes	No	No
ATP6V1B2	526	2	Yes	No	Yes
ATR	545	6	Yes	No	Yes
ATRIP	84126	1	Yes	No	Yes
ATRX	546	7	Yes	No	Yes
ATXN2	6311	2	Yes	No	Yes
ATXN7	6314	2	Yes	Yes	No
AURKA	6790	5	Yes	Yes	No
AURKB	9212	5	Yes	Yes	No
AXIN1	8312	7	Yes	No	Yes
AXIN2	8313	4	Yes	No	Yes
AXL	558	5	Yes	Yes	No
B2M	567	6	Yes	No	Yes
BAALC	79870	1	Yes	Yes	No
BABAM1	29086	3	Yes	No	No
BACH2	60468	2	Yes	No	Yes
BAP1	8314	7	Yes	No	Yes
BARD1	580	6	Yes	No	Yes
BBC3	27113	3	Yes	No	Yes
BCL10	8915	5	Yes	No	Yes
BCL11B	64919	4	Yes	No	Yes
BCL2	596	7	Yes	Yes	No
BCL2L1	598	4	Yes	No	No
BCL2L11	10018	3	Yes	No	Yes
BCL3	602	3	Yes	Yes	No
BCL6	604	6	Yes	Yes	No
BCL9	607	3	Yes	Yes	No
BCOR	54880	7	Yes	No	Yes
BCORL1	63035	5	Yes	No	Yes
BCR	613	5	Yes	Yes	No
BIRC3	330	5	Yes	No	No
BLM	641	5	Yes	No	Yes
BMPR1A	657	4	Yes	No	Yes
BRAF	673	7	Yes	Yes	No
BRCA1	672	7	Yes	No	Yes
BRCA2	675	7	Yes	No	Yes
BRD3	8019	2	Yes	Yes	No
BRD4	23476	6	Yes	Yes	No
BRIP1	83990	6	Yes	No	Yes
BRSK1	84446	2	Yes	No	Yes
BTG1	694	5	Yes	No	Yes
BTG2	7832	3	Yes	No	Yes
BTK	695	6	Yes	Yes	No
CALR	811	6	Yes	Yes	No
CARD11	84433	7	Yes	Yes	No
CARM1	10498	3	Yes	No	No
CASP8	841	6	Yes	No	Yes
CBFB	865	6	Yes	No	Yes
CBL	867	7	Yes	No	Yes
CCNB3	85417	1	Yes	Yes	No
CCND1	595	6	Yes	Yes	No
CCND2	894	6	Yes	Yes	No
CCND3	896	6	Yes	Yes	No
CCNE1	898	6	Yes	Yes	No
CCNQ	92002	3	Yes	No	Yes
CD274	29126	6	Yes	Yes	No
CD276	80381	3	Yes	Yes	No
CD28	940	2	Yes	Yes	No
CD58	965	3	Yes	No	Yes
CD79A	973	6	Yes	Yes	No
