Hugo Symbol	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)	Gene Aliases
ABL1	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"ABL, JTK7, c-ABL"
AKT1	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"AKT, PKB, PRKBA, RAC, RAC-alpha"
ALK	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	CD246
AMER1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"FAM123B, FLJ39827, RP11-403E24.2, WTX"
APC	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"DP2.5, PPP1R46"
AR	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"AIS, DHTR, HUMARA, NR3C4, SBMA, SMAX1"
ARID1A	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"B120, BAF250, BAF250a, C10rf4, C1orf4, P270, SMARCF1"
ASXL1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KIAA0978
ATM	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"ATA, ATC, ATD, ATDC, TEL1, TELO1"
ATRX	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"JMS, MRX52, RAD54, XH2, XNP"
AXIN1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	PPP1R49
BAP1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"KIAA0272, UCHL2, hucep-6"
BCL2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"Bcl-2, PPP1R50"
BCOR	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"FLJ20285, KIAA1575"
BRAF	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	BRAF1
BRCA1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"FANCS, PPP1R53, RNF53"
BRCA2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"FAD1, FANCD1, XRCC11"
CARD11	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"BIMP3, CARMA1"
CBL	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"CBL2, RNF55, c-Cbl"
CDC73	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"C1orf28, FIHP, HRPT1, HRPT2, parafibromin"
CDH1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"CD324, UVO, uvomorulin"
CDKN2A	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"ARF, CDKN2, CMM2, INK4, INK4a, MLM, p14, p14ARF, p16, p16INK4a, p19Arf"
CEBPA	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"C/EBP-alpha, CEBP"
CIC	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KIAA0306
CREBBP	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"KAT3A, RSTS, RTS"
CTNNB1	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"CTNNB, armadillo, beta-catenin"
DAXX	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	DAP6
DNMT3A	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
EGFR	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"ERBB, ERBB1, ERRP"
EP300	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"KAT3B, p300"
ERBB2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"CD340, HER-2, HER2, NGL"
EZH2	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"ENX-1, KMT6, KMT6A"
FBXW7	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"AGO, CDC4, FBW7, FBX30, FBXW6, FLJ11071, SEL-10, SEL10"
FGFR2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"BEK, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25"
FGFR3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"ACH, CD333, CEK2, JTK4"
FLT3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"CD135, FLK2, STK1"
FOXL2	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"BPES, BPES1"
GATA3	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	HDR
GNA11	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"FBH, FBH2, FHH2, HHC2"
GNAQ	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"G-ALPHA-q, GAQ"
