AID	order	PRDM2__exp	old	zscore1	zscore2	zscore3	zscore4	zscoreMean
F030	1	9.329581884	3	0	3.568408067	2.478739659	5.793540612	11.84068834
F007	2	10.05249243	1	3.696849294	1.958167521	2.478739659	5.30978573	13.4435422
SJ32	3	10.34316458	70	-0.721990711	-0.779241407	-0.593473572	-0.301770903	-2.396476593
F026	4	9.787532356	5	2.220288919	0.750487112	2.806442404	1.439746673	7.216965108
F017	5	9.44394372	7	0.524737946	2.038679548	2.396813973	1.439746673	6.39997814
SJ01	6	9.082997265	2	4.989110649	3.326871985	4.117253382	0.278734956	12.71197097
C005	7	10.49401365	9	1.556812451	0.830999139	3.175107991	0.762489838	6.325409419
F055	8	9.903914345	8	1.745447917	1.314071303	1.700445641	1.342995696	6.102960557
SJ10	9	10.1785021	6	0.533410841	1.233559275	1.536594268	2.794260343	6.097824727
SJ25	10	NA	11	-0.294850632	0.267414948	1.659482797	0.665738862	2.297785975
F036	11	NA	10	0.836962166	0.589463057	1.29081721	0.375485932	3.092728365
F028	12	10.1601426	4	0	2.360727657	1.208891524	0.085233003	3.654852184
F029	13	10.24903189	12	-0.025990887	0.025878866	-0.388659356	0.375485932	-0.013285445
F045	14	9.670413697	13	-0.0910376	-0.054633161	0.184820447	-0.011517973	0.027631713
F056	15	11.04727489	14	-0.568046825	-0.537705325	-0.470585042	-0.205019926	-1.781357118
F038	16	10.74246716	15	-0.359897345	-0.618217352	-0.552510729	-0.301770903	-1.832396329
F037	17	NA	16	-0.717654264	-0.779241407	-0.552510729	-0.301770903	-2.351177303
F042	18	10.36635269	20	0.006532469	1.153047248	-0.183845141	-0.301770903	0.673963673
F058	19	11.39030119	23	1.162195728	0.18690292	-0.429622199	-0.301770903	0.617705546
C002	20	11.11895475	33	0.832625718	2.682775767	0.922151622	-0.301770903	4.135782204
F041	21	10.82787379	32	0.787093019	2.441239685	0.348671819	-0.301770903	3.27523362
C001	22	11.25140045	34	0.492214589	0.589463057	-0.142882298	-0.301770903	0.637024445
F015	23	11.03256518	35	0.362121164	0.589463057	-0.060956612	-0.301770903	0.588856706
F049	24	11.67732904	19	0	0.50895103	-0.060956612	-0.301770903	0.146223515
SJ19	25	10.79531554	36	-0.078028257	0.830999139	-0.511547886	-0.301770903	-0.060347907
SJ17	26	11.37553165	38	-0.010813321	0.025878866	-0.224807984	-0.301770903	-0.511513342
SJ08	27	10.89035761	39	-0.095374047	0.025878866	-0.142882298	-0.301770903	-0.514148382
SJ02	28	11.07662053	37	-0.078028257	-0.296169243	0.020969074	-0.301770903	-0.654999329
F043	29	10.20973124	40	-0.182102997	0.025878866	-0.347696513	-0.301770903	-0.805691547
F008	30	9.665799099	41	-0.36857024	-0.296169243	-0.019993769	-0.301770903	-0.986504155
C003	31	11.31286925	43	-0.171261879	-0.135145189	-0.552510729	-0.301770903	-1.1606887
